timestamp,git_commit,git_branch,dirty,mode,shape_id,device_config,op_type,M,K,N,grid,fusion_summary,best_M_block,best_K_block,best_N_block,best_sb_h,best_sb_w,best_duration_ns,best_duration_us,ideal_us,limiter,speedup,n_measured,n_skipped,status,sweep_csv_path
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_m1216_k4096,bh_4x8,ag,1216,4096,8,12x9,-,4,76,0,0,0,105526,105.53,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_m1216_k4096.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_m1216_k2048,bh_4x8,ag,1216,2048,1024,12x9,-,4,38,0,0,0,59723,59.72,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_m1216_k2048.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_m4864_k4096,bh_4x8,ag,4864,4096,8,12x9,-,4,1216,0,0,0,389375,389.37,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_m4864_k4096.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_m4864_k2048,bh_4x8,ag,4864,2048,1024,12x9,-,4,152,0,0,0,199018,199.02,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_m4864_k2048.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_m32_k2048,bh_4x8,ag,32,2048,8,12x9,-,1,4,0,0,0,6988,6.99,,,,9,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_m32_k2048.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_m256_k2048,bh_4x8,ag,256,2048,1024,12x9,-,2,4,0,0,0,22308,22.31,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_m256_k2048.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_ring8_m32_k256,bh_4x8_ring8,ag,32,256,6144,12x9,-,1,1,0,0,0,8016,8.02,,,,3,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_ring8_m32_k256.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_ring8_m32_k6144,bh_4x8_ring8,ag,32,6144,6144,12x9,-,1,1,0,0,0,15354,15.35,,,,9,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_ring8_m32_k6144.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_ring8_m512_k15360,bh_4x8_ring8,ag,512,15360,768,12x9,-,4,30,0,0,0,185040,185.04,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_ring8_m512_k15360.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_ring8_m1024_k6144,bh_4x8_ring8,ag,1024,6144,2304,12x9,-,4,24,0,0,0,149756,149.76,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_ring8_m1024_k6144.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_ring8_m512_k6144,bh_4x8_ring8,ag,512,6144,2304,12x9,-,4,12,0,0,0,84074,84.07,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_ring8_m512_k6144.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_ring8_m1024_k2304,bh_4x8_ring8,ag,1024,2304,6144,12x9,-,4,9,0,0,0,66781,66.78,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_ring8_m1024_k2304.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_ring8_m512_k2304,bh_4x8_ring8,ag,512,2304,6144,12x9,-,2,4,0,0,0,44097,44.10,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_ring8_m512_k2304.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_ring8_m1024_k3072,bh_4x8_ring8,ag,1024,3072,6144,12x9,-,4,12,0,0,0,83729,83.73,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_ring8_m1024_k3072.csv
2026-07-16_12-57-05,96c02baa223,cglagovich/agmm_analysis,True,full,ag_bh_4x8_ring8_m512_k3072,bh_4x8_ring8,ag,512,3072,6144,12x9,-,4,6,0,0,0,51135,51.14,,,,12,,OK,agmm/sweeps/96c02baa223_2026-07-16_12-57-05/ag_bh_4x8_ring8_m512_k3072.csv
