timestamp,model,label,batch,in_ch,out_ch,H,W,filter,stride,shard,abh,fp32_accum,bias,mode,per_core_M,per_core_N,sbm,trm,used,median_ns,min_ns,max_ns,n,spread_pct,pcc,status
2026-06-10T17:01:36,resnet50,rn50_L1_64<-64_56x56_s1_HS,20,64,64,56,56,3,1,HS,,false,true,main,18,2,3x2,,3x2,25806,25759,25854,2,0.4,0.9998773557271555,ok
2026-06-10T17:01:57,resnet50,rn50_L1_64<-64_56x56_s1_HS,20,64,64,56,56,3,1,HS,,false,true,helper_sbm,18,2,3x2,,3x2,25500,25500,25501,2,0.0,0.9998773557271555,ok
2026-06-10T17:02:18,resnet50,rn50_L1_64<-64_56x56_s1_HS,20,64,64,56,56,3,1,HS,,false,true,helper_trm,18,2,3x2,,3x2,25599,25588,25610,2,0.1,0.9998773557271555,ok
2026-06-10T17:02:39,resnet50,rn50_L2a_128<-128_56x56_s2_HS,20,128,128,56,56,3,2,HS,,false,true,main,5,4,1x4,,1x4,20418,20393,20442,2,0.2,0.9998659506306756,ok
2026-06-10T17:02:59,resnet50,rn50_L2a_128<-128_56x56_s2_HS,20,128,128,56,56,3,2,HS,,false,true,helper_sbm,5,4,1x4,,1x4,20072,20036,20107,2,0.4,0.9998659506306756,ok
2026-06-10T17:03:20,resnet50,rn50_L2a_128<-128_56x56_s2_HS,20,128,128,56,56,3,2,HS,,false,true,helper_trm,5,4,1x4,,1x4,20031,20020,20042,2,0.1,0.9998659506306756,ok
2026-06-10T17:03:40,resnet50,rn50_L2b_128<-128_28x28_s1_HS,20,128,128,28,28,3,1,HS,,false,true,main,5,4,1x4,,1x4,20367,20366,20368,2,0.0,0.9998639588619391,ok
2026-06-10T17:04:01,resnet50,rn50_L2b_128<-128_28x28_s1_HS,20,128,128,28,28,3,1,HS,,false,true,helper_sbm,5,4,1x4,,1x4,20045,20041,20049,2,0.0,0.9998639588619391,ok
2026-06-10T17:04:21,resnet50,rn50_L2b_128<-128_28x28_s1_HS,20,128,128,28,28,3,1,HS,,false,true,helper_trm,5,4,1x4,,1x4,20058,20057,20058,2,0.0,0.9998639588619391,ok
2026-06-10T17:04:41,resnet50,rn50_L3a_256<-256_28x28_s2_BS,20,256,256,28,28,3,2,BS,,false,true,main,13,1,1x1,,1x1,102628,102613,102644,2,0.0,0.999855953152251,ok
2026-06-10T17:05:02,resnet50,rn50_L3a_256<-256_28x28_s2_BS,20,256,256,28,28,3,2,BS,,false,true,helper_sbm,13,1,1x1,,1x1,100482,100468,100497,2,0.0,0.999855953152251,ok
2026-06-10T17:05:22,resnet50,rn50_L3a_256<-256_28x28_s2_BS,20,256,256,28,28,3,2,BS,,false,true,helper_trm,13,1,1x1,,1x1,100481,100472,100490,2,0.0,0.999855953152251,ok
2026-06-10T17:05:42,resnet50,rn50_L3b_256<-256_14x14_s1_BS,20,256,256,14,14,3,1,BS,,false,true,main,13,1,1x1,,1x1,102816,102811,102821,2,0.0,0.9998569843394857,ok
2026-06-10T17:06:02,resnet50,rn50_L3b_256<-256_14x14_s1_BS,20,256,256,14,14,3,1,BS,,false,true,helper_sbm,13,1,1x1,,1x1,100500,100492,100507,2,0.0,0.9998569843394857,ok
2026-06-10T17:06:23,resnet50,rn50_L3b_256<-256_14x14_s1_BS,20,256,256,14,14,3,1,BS,,false,true,helper_trm,13,1,1x1,,1x1,100480,100478,100481,2,0.0,0.9998569843394857,ok
2026-06-10T17:06:45,resnet50,rn50_L4a_512<-512_14x14_s2_BS,20,512,512,14,14,3,2,BS,,false,true,main,4,2,4x2,,4x2,70144,70135,70152,2,0.0,0.9998531294269348,ok
2026-06-10T17:07:06,resnet50,rn50_L4a_512<-512_14x14_s2_BS,20,512,512,14,14,3,2,BS,,false,true,helper_sbm,4,2,4x2,,4x2,62744,62741,62747,2,0.0,0.9998531294269348,ok
2026-06-10T17:07:26,resnet50,rn50_L4a_512<-512_14x14_s2_BS,20,512,512,14,14,3,2,BS,,false,true,helper_trm,4,2,4x2,,4x2,62750,62714,62785,2,0.1,0.9998531294269348,ok
2026-06-10T17:07:48,resnet50,rn50_L4b_512<-512_7x7_s1_BS,20,512,512,7,7,3,1,BS,,false,true,main,4,2,4x2,,4x2,70179,70127,70231,2,0.1,0.999854020156493,ok
2026-06-10T17:08:08,resnet50,rn50_L4b_512<-512_7x7_s1_BS,20,512,512,7,7,3,1,BS,,false,true,helper_sbm,4,2,4x2,,4x2,62784,62781,62786,2,0.0,0.999854020156493,ok
2026-06-10T17:08:28,resnet50,rn50_L4b_512<-512_7x7_s1_BS,20,512,512,7,7,3,1,BS,,false,true,helper_trm,4,2,4x2,,4x2,62779,62777,62781,2,0.0,0.999854020156493,ok
2026-06-10T17:08:50,resnet50,rn50_DS1_256<-64_56x56_1x1s2_HS,20,64,256,56,56,1,2,HS,,false,true,main,5,8,1x8,,1x8,5622,5619,5624,2,0.1,0.9999114394267676,ok
2026-06-10T17:09:12,resnet50,rn50_DS1_256<-64_56x56_1x1s2_HS,20,64,256,56,56,1,2,HS,,false,true,helper_sbm,5,8,1x8,,1x8,5704,5697,5710,2,0.2,0.9999114394267676,ok
2026-06-10T17:09:33,resnet50,rn50_DS1_256<-64_56x56_1x1s2_HS,20,64,256,56,56,1,2,HS,,false,true,helper_trm,5,8,1x8,,1x8,5702,5699,5704,2,0.1,0.9999114394267676,ok
2026-06-10T17:09:55,resnet50,rn50_DS2_1024<-512_28x28_1x1s2_BS,20,512,1024,28,28,1,2,BS,,false,true,main,13,3,1x3,,1x3,34663,34656,34670,2,0.0,0.9998763895221982,ok
2026-06-10T17:10:17,resnet50,rn50_DS2_1024<-512_28x28_1x1s2_BS,20,512,1024,28,28,1,2,BS,,false,true,helper_sbm,13,3,1x3,,1x3,35120,35117,35122,2,0.0,0.9998763895221982,ok
2026-06-10T17:10:38,resnet50,rn50_DS2_1024<-512_28x28_1x1s2_BS,20,512,1024,28,28,1,2,BS,,false,true,helper_trm,13,3,1x3,,1x3,35126,35122,35129,2,0.0,0.9998763895221982,ok
2026-06-10T17:11:00,resnet50,rn50_DS3_2048<-1024_14x14_1x1s2_BS,20,1024,2048,14,14,1,2,BS,,false,true,main,4,6,1x6,,1x6,29783,29749,29817,2,0.2,0.9998718315137599,ok
2026-06-10T17:11:22,resnet50,rn50_DS3_2048<-1024_14x14_1x1s2_BS,20,1024,2048,14,14,1,2,BS,,false,true,helper_sbm,4,6,1x6,,1x6,27884,27873,27895,2,0.1,0.9998718315137599,ok
2026-06-10T17:11:42,resnet50,rn50_DS3_2048<-1024_14x14_1x1s2_BS,20,1024,2048,14,14,1,2,BS,,false,true,helper_trm,4,6,1x6,,1x6,27838,27795,27882,2,0.3,0.9998718315137599,ok
2026-06-10T17:12:05,resnet50,rn50_stem_64<-16_115x115_4x4s1_HS,16,16,64,115,115,4,1,HS,256,false,true,main,8,2,4x2,,4x2,81180,81178,81181,2,0.0,0.9998881814618187,ok
2026-06-10T17:12:28,resnet50,rn50_stem_64<-16_115x115_4x4s1_HS,16,16,64,115,115,4,1,HS,256,false,true,helper_sbm,8,2,4x2,,4x2,81136,81135,81136,2,0.0,0.9998881814618187,ok
2026-06-10T17:12:50,resnet50,rn50_stem_64<-16_115x115_4x4s1_HS,16,16,64,115,115,4,1,HS,256,false,true,helper_trm,8,2,4x2,,4x2,81166,81134,81199,2,0.1,0.9998881814618187,ok
2026-06-10T17:13:13,sdxl_unet,sdxl_384<-1152_128x128_s1,1,1152,384,128,128,3,1,BS,none,false,true,main,52,2,4x2,,4x2,,,,0,,,OOM
2026-06-10T17:13:37,sdxl_unet,sdxl_384<-1152_128x128_s1,1,1152,384,128,128,3,1,BS,none,false,true,helper_sbm,52,2,4x2,,4x2,,,,0,,,OOM
2026-06-10T17:13:59,sdxl_unet,sdxl_384<-1152_128x128_s1,1,1152,384,128,128,3,1,BS,none,false,true,helper_trm,52,2,4x2,,4x2,,,,0,,,OOM
2026-06-10T17:14:23,sdxl_unet,sdxl_768<-1152_64x64_s1,1,1152,768,64,64,3,1,BS,none,false,true,main,13,3,1x3,,1x3,577097,577022,577172,2,0.0,0.9967778981364203,ok
2026-06-10T17:14:46,sdxl_unet,sdxl_768<-1152_64x64_s1,1,1152,768,64,64,3,1,BS,none,false,true,helper_sbm,13,3,1x3,,1x3,570522,570497,570547,2,0.0,0.9967778981364203,ok
2026-06-10T17:15:07,sdxl_unet,sdxl_768<-1152_64x64_s1,1,1152,768,64,64,3,1,BS,none,false,true,helper_trm,13,3,1x3,,1x3,570572,570425,570719,2,0.1,0.9967778981364203,ok
2026-06-10T17:15:32,sdxl_unet,sdxl_1536<-1536_16x16_s1,1,1536,1536,16,16,3,1,BS,none,false,true,main,1,5,1x5,,1x5,195986,195475,196496,2,0.5,0.9949579078592198,ok
2026-06-10T17:15:55,sdxl_unet,sdxl_1536<-1536_16x16_s1,1,1536,1536,16,16,3,1,BS,none,false,true,helper_sbm,1,5,1x5,,1x5,193778,193536,194021,2,0.3,0.9949579078592198,ok
2026-06-10T17:16:18,sdxl_unet,sdxl_1536<-1536_16x16_s1,1,1536,1536,16,16,3,1,BS,none,false,true,helper_trm,1,5,1x5,,1x5,195732,195710,195755,2,0.0,0.9949579078592198,ok
2026-06-10T17:16:42,sdxl_unet,sdxl_1536<-1536_32x32_s1,1,1536,1536,32,32,3,1,BS,none,false,true,main,4,5,1x5,,1x5,387110,386348,387871,2,0.4,0.9948430136484676,ok
