Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 120
Sorting CSV by 'HOST START TS' column...
Using operations after 'decode_1_start'.
Using operations until 'decode_1_end'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                        Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 11664    0.0 %         TilizeWithValPaddingDeviceOperation                 15         3 μs                    1                                                     INT32 => INT32
 11689    0.4 %         BinaryNgDeviceOperation                             10         2 μs     24,053 μs    120                                               INT32, INT32 => BF16
 11721    0.2 %         TypecastDeviceOperation                             10         1 μs     11,984 μs      1                                                    INT32 => UINT32
 11772    0.1 %         ReshapeViewDeviceOperation                          24         4 μs      6,554 μs      1                                                   UINT32 => UINT32
 11800    0.1 %         UntilizeWithUnpaddingDeviceOperation                23         1 μs      4,676 μs      1                                                   UINT32 => UINT32
 11842    0.2 %         EmbeddingsDeviceOperation                           17         6 μs     11,731 μs      1                                               UINT32, BF16 => BF16
 11873    0.0 %         TypecastDeviceOperation                             18         2 μs      1,014 μs     28                                                       BF16 => FP32
 11877    0.2 %         LayerNormPreAllGatherDeviceOperation                 0        15 μs     11,549 μs      1                                                       FP32 => FP32
 11914    0.1 %         SliceDeviceOperation                                10         1 μs      6,542 μs      1                                                       FP32 => FP32
 11941    0.7 %         AllBroadcastDeviceOperation                         16        60 μs     40,666 μs      2                                                       FP32 => FP32
 11991    0.2 %         UntilizeWithUnpaddingDeviceOperation                30        10 μs     11,111 μs      1                                                       FP32 => FP32
 12009    0.0 %         UntilizeWithUnpaddingDeviceOperation                11        10 μs      1,232 μs      1                                                       FP32 => FP32
 12048    0.0 %         UntilizeWithUnpaddingDeviceOperation                 7        10 μs        102 μs      1                                                       FP32 => FP32
 12100    0.0 %         UntilizeWithUnpaddingDeviceOperation                16        10 μs         91 μs      1                                                       FP32 => FP32
 12125    0.0 %         UntilizeWithUnpaddingDeviceOperation                24        10 μs         98 μs      1                                                       FP32 => FP32
 12133    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0        10 μs         84 μs      1                                                       FP32 => FP32
 12194    0.0 %         UntilizeWithUnpaddingDeviceOperation                18        10 μs         75 μs      1                                                       FP32 => FP32
 12208    0.0 %         UntilizeWithUnpaddingDeviceOperation                 7        10 μs         75 μs      1                                                       FP32 => FP32
 12229    0.2 %         PermuteDeviceOperation                               0         2 μs     11,597 μs      1                                                       FP32 => FP32
 12261    0.0 %         PermuteDeviceOperation                               0         2 μs      1,167 μs      1                                                       FP32 => FP32
 12303    0.0 %         PermuteDeviceOperation                               6         2 μs        124 μs      1                                                       FP32 => FP32
 12334    0.0 %         PermuteDeviceOperation                               5         2 μs        111 μs      1                                                       FP32 => FP32
 12387    0.0 %         PermuteDeviceOperation                              17         2 μs        108 μs      1                                                       FP32 => FP32
 12396    0.0 %         PermuteDeviceOperation                               8         2 μs        107 μs      1                                                       FP32 => FP32
 12428    0.0 %         PermuteDeviceOperation                               8         2 μs        106 μs      1                                                       FP32 => FP32
 12468    0.0 %         PermuteDeviceOperation                              12         2 μs        115 μs      1                                                       FP32 => FP32
 12487    0.1 %         ConcatDeviceOperation                                2         1 μs      5,962 μs      8                                                 FP32, FP32 => FP32
 12543    0.1 %         PermuteDeviceOperation                              26         3 μs      7,442 μs      1                                                       FP32 => FP32
 12561    0.1 %         TilizeWithValPaddingDeviceOperation                 15         4 μs      5,279 μs      1                                                       FP32 => FP32
 12608    0.2 %         FillPadDeviceOperation                              27         7 μs     12,669 μs      1                                                       FP32 => FP32
 12629    0.2 %         ReduceDeviceOperation                               28         1 μs     11,382 μs      1                                                       FP32 => FP32
 12650    0.6 %         BinaryNgDeviceOperation                             10         4 μs     35,433 μs    120                                                 FP32, FP32 => FP32
 12705    0.2 %         BinaryNgDeviceOperation                             19         4 μs     12,198 μs    120                                                 FP32, FP32 => FP32
 12723    0.2 %         UnaryDeviceOperation                                13         2 μs     14,175 μs    120                                                       FP32 => FP32
 12772    0.1 %         BinaryNgDeviceOperation                             16         8 μs      6,508 μs    120                                                 FP32, FP32 => FP32
 12800    0.2 %         BinaryNgDeviceOperation                             27        13 μs     14,179 μs    120                                                 FP32, FP32 => BF16
