pair	position	arm	us
1	1	current_disabled	52351
1	2	current_enabled	54325
1	3	baseline_original	51919
1	4	baseline_noop	54972
2	1	baseline_noop	51339
2	2	baseline_original	50959
2	3	current_enabled	59831
2	4	current_disabled	53193
3	1	current_disabled	52141
3	2	current_enabled	52407
3	3	baseline_original	52233
3	4	baseline_noop	51504
4	1	baseline_noop	53380
4	2	baseline_original	52361
4	3	current_enabled	52101
4	4	current_disabled	50213
5	1	current_disabled	52309
5	2	current_enabled	50977
5	3	baseline_original	51466
5	4	baseline_noop	52325
6	1	baseline_noop	51356
6	2	baseline_original	51808
6	3	current_enabled	65664
6	4	current_disabled	50245
7	1	current_disabled	51309
7	2	current_enabled	51828
7	3	baseline_original	50535
7	4	baseline_noop	51980
8	1	baseline_noop	51004
8	2	baseline_original	52024
8	3	current_enabled	51298
8	4	current_disabled	52123
9	1	current_disabled	52016
9	2	current_enabled	52599
9	3	baseline_original	52370
9	4	baseline_noop	50575
10	1	baseline_noop	51292
10	2	baseline_original	51470
10	3	current_enabled	50725
10	4	current_disabled	57555
11	1	current_disabled	51396
11	2	current_enabled	52875
11	3	baseline_original	51398
11	4	baseline_noop	51595
12	1	baseline_noop	51285
12	2	baseline_original	51227
12	3	current_enabled	53321
12	4	current_disabled	50074
13	1	current_disabled	51878
13	2	current_enabled	52766
13	3	baseline_original	50574
13	4	baseline_noop	51427
14	1	baseline_noop	52288
14	2	baseline_original	51527
14	3	current_enabled	52054
14	4	current_disabled	50063
15	1	current_disabled	53217
15	2	current_enabled	53010
15	3	baseline_original	52062
15	4	baseline_noop	51835
16	1	baseline_noop	50650
16	2	baseline_original	50542
16	3	current_enabled	53188
16	4	current_disabled	51313
17	1	current_disabled	51841
17	2	current_enabled	52660
17	3	baseline_original	52056
17	4	baseline_noop	51652
18	1	baseline_noop	50947
18	2	baseline_original	51404
18	3	current_enabled	59687
18	4	current_disabled	49560
19	1	current_disabled	49778
19	2	current_enabled	51539
19	3	baseline_original	51443
19	4	baseline_noop	51558
20	1	baseline_noop	52140
20	2	baseline_original	50876
20	3	current_enabled	51558
20	4	current_disabled	51078
21	1	current_disabled	52089
21	2	current_enabled	53067
21	3	baseline_original	51591
21	4	baseline_noop	50455
22	1	baseline_noop	53463
22	2	baseline_original	51444
22	3	current_enabled	54926
22	4	current_disabled	54741
23	1	current_disabled	52573
23	2	current_enabled	65201
23	3	baseline_original	51753
23	4	baseline_noop	51666
24	1	baseline_noop	50506
24	2	baseline_original	51129
24	3	current_enabled	52706
24	4	current_disabled	49914
25	1	current_disabled	51984
25	2	current_enabled	54324
25	3	baseline_original	50173
25	4	baseline_noop	51373
26	1	baseline_noop	50628
26	2	baseline_original	51578
26	3	current_enabled	53227
26	4	current_disabled	50407
