pair	baseline	disabled	enabled
1	50702	54761	55299
2	51199	51905	57079
3	51569	62831	56854
4	52175	56137	53479
5	52059	54974	51570
6	52512	54559	53859
7	54002	50754	54451
8	51210	54746	55914
9	51819	55489	55917
10	50462	54287	55699
11	51190	51260	52726
12	51434	52080	51870
13	50746	51594	52174
14	52323	51095	52754
15	50788	54625	52027
16	51708	52255	52844
17	51991	54648	54913
18	51922	51978	52416
19	51523	51954	52883
20	51477	55735	61199
21	50980	52061	52289
22	51078	51375	52274
23	51119	53747	53670
24	50989	51288	52266
25	50957	55186	51947
26	52314	54867	54393
27	51887	52386	53720
28	51510	54433	52576
29	53358	55033	52264
30	50956	54155	55405
