Running main() from gmock_main.cc
[==========] Running 3 tests from 1 test suite.
[----------] Global test environment set-up.
[----------] 3 tests from Cluster
[ RUN      ] Cluster.ReportIntermeshLinks
2026-01-26 21:29:06.287 | info     |             UMD | Established firmware bundle version: 19.3.99 (topology_discovery.cpp:368)
2026-01-26 21:29:06.309 | warning  |             UMD | Board 0x47100000000 has 6 chips, but expected 32 chips for board type ubb_blackhole. (cluster_descriptor.cpp:1275)
2026-01-26 21:29:06.309 | warning  |             UMD | Board 0x47131831011 has 26 chips, but expected 32 chips for board type ubb_blackhole. (cluster_descriptor.cpp:1275)
2026-01-26 21:29:06.323 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:223)
2026-01-26 21:29:06.379 | info     |             UMD | Established firmware bundle version: 19.3.99 (topology_discovery.cpp:368)
2026-01-26 21:29:06.401 | warning  |             UMD | Board 0x47100000000 has 6 chips, but expected 32 chips for board type ubb_blackhole. (cluster_descriptor.cpp:1275)
2026-01-26 21:29:06.401 | warning  |             UMD | Board 0x47131831011 has 26 chips, but expected 32 chips for board type ubb_blackhole. (cluster_descriptor.cpp:1275)
2026-01-26 21:29:06.761 | info     |             UMD | Established firmware bundle version: 19.3.99 (topology_discovery.cpp:368)
2026-01-26 21:29:06.783 | warning  |             UMD | Board 0x47100000000 has 6 chips, but expected 32 chips for board type ubb_blackhole. (cluster_descriptor.cpp:1275)
2026-01-26 21:29:06.783 | warning  |             UMD | Board 0x47131831011 has 26 chips, but expected 32 chips for board type ubb_blackhole. (cluster_descriptor.cpp:1275)
2026-01-26 21:29:06.788 | info     |             UMD | Harvesting masks for chip 31 tensix: 0x100 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:06.916 | info     |             UMD | Harvesting masks for chip 30 tensix: 0x400 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:06.928 | info     |             UMD | Harvesting masks for chip 29 tensix: 0x2000 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:06.939 | info     |             UMD | Harvesting masks for chip 12 tensix: 0x400 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:06.949 | info     |             UMD | Harvesting masks for chip 11 tensix: 0x20 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:06.960 | info     |             UMD | Harvesting masks for chip 10 tensix: 0x2 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:06.971 | info     |             UMD | Harvesting masks for chip 9 tensix: 0x100 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:06.982 | info     |             UMD | Harvesting masks for chip 8 tensix: 0x800 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:06.993 | info     |             UMD | Harvesting masks for chip 7 tensix: 0x2000 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.004 | info     |             UMD | Harvesting masks for chip 6 tensix: 0x800 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.015 | info     |             UMD | Harvesting masks for chip 5 tensix: 0x10 dram: 0x0 eth: 0x110 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.026 | info     |             UMD | Harvesting masks for chip 4 tensix: 0x40 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.037 | info     |             UMD | Harvesting masks for chip 3 tensix: 0x1000 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.048 | info     |             UMD | Harvesting masks for chip 2 tensix: 0x100 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.059 | info     |             UMD | Harvesting masks for chip 1 tensix: 0x20 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.070 | info     |             UMD | Harvesting masks for chip 0 tensix: 0x8 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.081 | info     |             UMD | Harvesting masks for chip 13 tensix: 0x10 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.092 | info     |             UMD | Harvesting masks for chip 14 tensix: 0x20 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.103 | info     |             UMD | Harvesting masks for chip 15 tensix: 0x800 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.114 | info     |             UMD | Harvesting masks for chip 16 tensix: 0x100 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
2026-01-26 21:29:07.124 | info     |             UMD | Harvesting masks for chip 17 tensix: 0x20 dram: 0x0 eth: 0x120 pcie: 0x1 l2cpu: 0x0 (cluster.cpp:339)
