Channels,Use Precomputed Grid,Test Type,Batch Output Channels,Split Reader OFF (μs),Split Reader ON (μs),Improvement
32,False,sharded_grid_batching,False,1654.3,833.0,49.6%
32,False,sharded_grid_batching,True,1654.4,832.9,49.7%
32,True,sharded_grid_batching,False,354.3,180.9,49.0%
32,True,sharded_grid_batching,True,354.3,180.9,49.0%
64,False,sharded_grid_batching,False,1652.7,832.7,49.6%
64,False,sharded_grid_batching,True,1652.8,833.0,49.6%
64,True,sharded_grid_batching,False,355.1,180.9,49.0%
64,True,sharded_grid_batching,True,354.9,180.9,49.0%
96,False,sharded_grid_batching,False,1654.8,832.6,49.7%
96,False,sharded_grid_batching,True,1656.7,832.8,49.7%
96,True,sharded_grid_batching,False,357.6,189.0,47.1%
96,True,sharded_grid_batching,True,357.7,189.0,47.2%
128,False,sharded_grid_batching,False,1652.4,832.1,49.6%
128,False,sharded_grid_batching,True,1652.4,831.9,49.7%
128,True,sharded_grid_batching,False,356.8,228.7,35.9%
128,True,sharded_grid_batching,True,356.9,228.7,35.9%
160,False,sharded_grid_batching,False,1652.7,833.4,49.6%
160,False,sharded_grid_batching,True,1653.4,833.4,49.6%
160,True,sharded_grid_batching,False,356.8,268.4,24.8%
160,True,sharded_grid_batching,True,356.8,268.4,24.8%
192,False,sharded_grid_batching,False,1654.1,832.6,49.7%
192,False,sharded_grid_batching,True,1654.4,832.8,49.7%
192,True,sharded_grid_batching,False,357.8,308.1,13.9%
192,True,sharded_grid_batching,True,357.6,308.1,13.8%
224,False,sharded_grid_batching,False,1657.1,833.1,49.7%
224,False,sharded_grid_batching,True,1657.1,833.1,49.7%
224,True,sharded_grid_batching,False,360.4,347.9,3.5%
224,True,sharded_grid_batching,True,360.3,347.9,3.5%
256,False,sharded_grid_batching,False,1658.3,834.7,49.7%
256,False,sharded_grid_batching,True,1657.5,834.5,49.7%
256,True,sharded_grid_batching,False,364.6,387.6,-6.3%
256,True,sharded_grid_batching,True,364.6,387.6,-6.3%
