OP CODE,OP TYPE,GLOBAL CALL COUNT,DEVICE ID,DEVICE ARCH,ATTRIBUTES,MATH FIDELITY,CORE COUNT,AVAILABLE WORKER CORE COUNT,SUB DEVICE ID,PARALLELIZATION STRATEGY,HOST START TS,HOST END TS,HOST DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns],DEVICE FW DURATION [ns],DEVICE KERNEL DURATION [ns],DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DURATION PER CORE MIN [ns],DEVICE KERNEL DURATION PER CORE MAX [ns],DEVICE KERNEL DURATION PER CORE AVG [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],DEVICE COMPUTE CB WAIT FRONT [ns],DEVICE COMPUTE CB RESERVE BACK [ns],DISPATCH TOTAL CQ CMD OP TIME [ns],DISPATCH GO SEND WAIT TIME [ns],INPUT_0_W_PAD[LOGICAL],INPUT_0_Z_PAD[LOGICAL],INPUT_0_Y_PAD[LOGICAL],INPUT_0_X_PAD[LOGICAL],INPUT_0_LAYOUT,INPUT_0_DATATYPE,INPUT_0_MEMORY,INPUT_1_W_PAD[LOGICAL],INPUT_1_Z_PAD[LOGICAL],INPUT_1_Y_PAD[LOGICAL],INPUT_1_X_PAD[LOGICAL],INPUT_1_LAYOUT,INPUT_1_DATATYPE,INPUT_1_MEMORY,INPUT_2_W_PAD[LOGICAL],INPUT_2_Z_PAD[LOGICAL],INPUT_2_Y_PAD[LOGICAL],INPUT_2_X_PAD[LOGICAL],INPUT_2_LAYOUT,INPUT_2_DATATYPE,INPUT_2_MEMORY,OUTPUT_0_W_PAD[LOGICAL],OUTPUT_0_Z_PAD[LOGICAL],OUTPUT_0_Y_PAD[LOGICAL],OUTPUT_0_X_PAD[LOGICAL],OUTPUT_0_LAYOUT,OUTPUT_0_DATATYPE,OUTPUT_0_MEMORY,OUTPUT_1_W_PAD[LOGICAL],OUTPUT_1_Z_PAD[LOGICAL],OUTPUT_1_Y_PAD[LOGICAL],OUTPUT_1_X_PAD[LOGICAL],OUTPUT_1_LAYOUT,OUTPUT_1_DATATYPE,OUTPUT_1_MEMORY,OUTPUT_2_W_PAD[LOGICAL],OUTPUT_2_Z_PAD[LOGICAL],OUTPUT_2_Y_PAD[LOGICAL],OUTPUT_2_X_PAD[LOGICAL],OUTPUT_2_LAYOUT,OUTPUT_2_DATATYPE,OUTPUT_2_MEMORY,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,COMPUTE KERNEL SOURCE,COMPUTE KERNEL HASH,DATA MOVEMENT KERNEL SOURCE,DATA MOVEMENT KERNEL HASH,PROGRAM HASH,PROGRAM CACHE HIT,TENSIX DM 0 MAX KERNEL SIZE [B],TENSIX DM 1 MAX KERNEL SIZE [B],TENSIX COMPUTE 0 MAX KERNEL SIZE [B],TENSIX COMPUTE 1 MAX KERNEL SIZE [B],TENSIX COMPUTE 2 MAX KERNEL SIZE [B],ACTIVE ETH DM 0 MAX KERNEL SIZE [B],ACTIVE ETH DM 1 MAX KERNEL SIZE [B],IDLE ETH DM 0 MAX KERNEL SIZE [B],IDLE ETH DM 1 MAX KERNEL SIZE [B],PM IDEAL [ns],PM COMPUTE [ns],PM BANDWIDTH [ns],PM REQ I BW,PM REQ O BW,PM FPU UTIL (%),NOC UTIL (%),MULTICAST NOC UTIL (%),DRAM BW UTIL (%),DRAM BW UTIL PER CTRL (%),ETH BW UTIL (%),NPE CONG IMPACT (%),TT_DNN_DEVICE_OP_TT_HOST_FUNC [ns]
TilizeDeviceOperation,tt_dnn_device,1027,3,blackhole,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_low_perf': 'false'; 'use_multicore': 'true'},HiFi4,90,110,,,3495229778,3495339878,110100,605867534173,605867764647,0,0,170721,163799,163799,,,,436,163797,162251,162346,149181,162550,,,,,,1[1],1[1],2048[2048],5120[5120],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,1[1],1[1],2048[2048],5120[5120],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize_wh.cpp'],['tilize_wh/3462646505101473433/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id_wh.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_multicore_both_dims.cpp'],['writer_unary_interleaved_start_id_wh/13185733169617654874/'; 'reader_unary_pad_multicore_both_dims/16987907450872916548/'],7906080297439492770,False,744,3032,1384,828,2184,0,0,0,0,1,1,1,[],[],0.001,,,,,,,110100
TilizeDeviceOperation,tt_dnn_device,2051,3,blackhole,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_low_perf': 'false'; 'use_multicore': 'true'},HiFi4,91,110,,,3515982777,3516061767,78990,605895563805,605895783037,20604808,20604808,162394,149554,149554,,,,256,149550,148187,148296,134692,148499,,,,,,1[1],1[1],4096[4096],2048[2048],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,1[1],1[1],4096[4096],2048[2048],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize_wh.cpp'],['tilize_wh/8015709473972964319/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id_wh.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_multicore_both_dims.cpp'],['writer_unary_interleaved_start_id_wh/4949688895654721602/'; 'reader_unary_pad_multicore_both_dims/16983970179483948642/'],12048250130100943949,False,744,3024,1380,1044,2156,0,0,0,0,1,1,1,[],[],0.001,,,,,,,78990
TilizeWithValPaddingDeviceOperation,tt_dnn_device,3075,3,blackhole,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'output_padded_shape': 'Shape([1; 1; 32; 2048])'; 'pad_value': '0'; 'sub_core_grids': 'std::nullopt'; 'use_multicore': 'true'},HiFi4,64,110,,,3521295336,3521363185,67849,605902694916,605902700754,5121496,5121496,4324,3310,3310,,,,193,3310,2850,2877,247,2915,,,,,,1[1],1[1],1[1],2048[2048],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,1[1],1[1],32[1],2048[2048],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize_wh.cpp'],['tilize_wh/14307883186269081375/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id_wh.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_multicore_both_dims.cpp'],['writer_unary_interleaved_start_id_wh/4992277251710934477/'; 'reader_unary_pad_multicore_both_dims/16704570900907146508/'],16411171134496090032,False,744,3028,1220,728,1548,0,0,0,0,1,1,1,[],[],0.03,,,,,,,67849
TilizeDeviceOperation,tt_dnn_device,4099,3,blackhole,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_low_perf': 'false'; 'use_multicore': 'true'},HiFi4,64,110,,,3526872078,3526934336,62258,605910224650,605910233436,5574264,5574264,6508,5500,5500,,,,185,5499,4590,4653,259,4764,,,,,,1[1],1[1],2048[2048],128[128],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,1[1],1[1],2048[2048],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/kernel/compute/tilize.cpp'],['tilize/9207119747511123796/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/dataflow/reader_unary_stick_layout_split_rows_multicore.cpp'],['writer_unary_interleaved_start_id/12823350331057913928/'; 'reader_unary_stick_layout_split_rows_multicore/5137991844069086675/'],14665545546871093180,False,1000,860,1168,768,2012,0,0,0,0,1,1,1,[],[],0.018,,,,,,,62258
TilizeDeviceOperation,tt_dnn_device,5123,3,blackhole,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_low_perf': 'false'; 'use_multicore': 'true'},HiFi4,110,110,,,3644483265,3644551495,68230,606069027716,606071404243,117626979,117626979,1760390,1758827,1758827,,,,440,1758825,1754380,1756025,1755907,1756298,,,,,,1[1],128[128],2048[2048],768[768],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,1[1],128[128],2048[2048],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/kernel/compute/tilize.cpp'],['tilize/12146125137977213421/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/dataflow/reader_unary_stick_layout_split_rows_multicore.cpp'],['writer_unary_interleaved_start_id/12823350331057913928/'; 'reader_unary_stick_layout_split_rows_multicore/9165835070369018247/'],3546313562684507322,False,1000,860,1308,928,2324,0,0,0,0,1,1,1,[],[],0.0,,,,,,,68230
TilizeDeviceOperation,tt_dnn_device,6147,3,blackhole,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_low_perf': 'false'; 'use_multicore': 'true'},HiFi4,110,110,,,3756493363,3756508462,15099,606220194583,606222562591,110216660,110216644,1754080,1752519,1752518,,,,263,1752518,1748047,1749721,1749599,1749990,,,,,,1[1],128[128],2048[2048],768[768],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,1[1],128[128],2048[2048],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/kernel/compute/tilize.cpp'],['tilize/12146125137977213421/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/dataflow/reader_unary_stick_layout_split_rows_multicore.cpp'],['writer_unary_interleaved_start_id/12823350331057913928/'; 'reader_unary_stick_layout_split_rows_multicore/9165835070369018247/'],3546313562684507322,False,1000,860,1308,928,2324,0,0,0,0,1,1,1,[],[],0.0,,,,,,,15099
TilizeDeviceOperation,tt_dnn_device,7171,3,blackhole,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_low_perf': 'false'; 'use_multicore': 'true'},HiFi4,110,110,,,3864878006,3864948079,70073,606366559051,606369132603,106665625,106665625,1906335,1904779,1904779,,,,267,1904779,1892596,1898188,1898067,1898451,,,,,,1[1],128[128],768[768],2048[2048],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,1[1],128[128],768[768],2048[2048],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/kernel/compute/tilize.cpp'],['tilize/8499559687976835721/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/dataflow/reader_unary_stick_layout_split_rows_multicore.cpp'],['writer_unary_interleaved_start_id/12823350331057913928/'; 'reader_unary_stick_layout_split_rows_multicore/16118258048622377923/'],11023446373212214921,False,1000,856,1312,792,2144,0,0,0,0,1,1,1,[],[],0.0,,,,,,,70073
TilizeDeviceOperation,tt_dnn_device,8195,3,blackhole,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_low_perf': 'false'; 'use_multicore': 'true'},HiFi4,64,110,,,3885543598,3885611227,67629,606394417741,606394454550,18730599,18730599,27266,26242,26242,,,,204,26240,25713,25729,263,13884,,,,,,1[1],1[1],128[128],2048[2048],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,1[1],1[1],128[128],2048[2048],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize_wh.cpp'],['tilize_wh/4510407878363710737/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id_wh.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_multicore_both_dims.cpp'],['writer_unary_interleaved_start_id_wh/10562345093094060962/'; 'reader_unary_pad_multicore_both_dims/14053381996748147242/'],17140516520337088125,False,744,3024,1228,788,2116,0,0,0,0,1,1,1,[],[],0.004,,,,,,,67629
TilizeDeviceOperation,tt_dnn_device,9219,3,blackhole,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_low_perf': 'false'; 'use_multicore': 'true'},HiFi4,4,110,,,3886450996,3886502755,51759,606395603721,606395607299,851899,851778,2650,2029,2025,,,,110,2003,1173,1248,177,1322,,,,,,1[1],1[1],128[128],128[128],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,1[1],1[1],128[128],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/kernel/compute/tilize.cpp'],['tilize/9207119747511123796/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/dataflow/reader_unary_stick_layout_split_rows_multicore.cpp'],['writer_unary_interleaved_start_id/12823350331057913928/'; 'reader_unary_stick_layout_split_rows_multicore/5137991844069086675/'],3325616434601753784,False,1000,860,1168,768,2012,0,0,0,0,1,1,1,[],[],0.049,,,,,,,51759
TilizeDeviceOperation,tt_dnn_device,10243,3,blackhole,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_low_perf': 'false'; 'use_multicore': 'true'},HiFi4,4,110,,,3886576115,3886580683,4568,606395778492,606395782060,127437,127421,2643,2029,2028,,,,111,2020,1180,1237,187,1350,,,,,,1[1],1[1],128[128],128[128],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,1[1],1[1],128[128],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/kernel/compute/tilize.cpp'],['tilize/9207119747511123796/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/dataflow/reader_unary_stick_layout_split_rows_multicore.cpp'],['writer_unary_interleaved_start_id/12823350331057913928/'; 'reader_unary_stick_layout_split_rows_multicore/5137991844069086675/'],3325616434601753784,False,1000,860,1168,768,2012,0,0,0,0,1,1,1,[],[],0.049,,,,,,,4568
