ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
173,0.3048630685439304,,LayerNormDeviceOperation,3,33.877,,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,52227.0
174,14.797886143538431,SLOW,MatmulDeviceOperation b={32} x 32 x 2048 x 5120,3,1643.813,0.558,80.0,21.688345328817814,4.236004947034729,13.064038598064379,5.906412126584373,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,53251.0
175,0.4354672458258048,,ReshapeViewDeviceOperation,3,47.841,0.549,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,54275.0
176,0.24240020114825125,,NLPCreateQKVHeadsDecodeDeviceOperation,3,26.478,0.458,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,55299.0
177,0.019375097752902623,,InterleavedToShardedDeviceOperation,3,1.624,0.529,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,56323.0
178,0.01879015518256418,,InterleavedToShardedDeviceOperation,3,1.541,0.547,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,57347.0
179,0.030938962412670325,,RotaryEmbeddingHfDeviceOperation,3,2.929,0.509,33,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,58371.0
180,0.030965959762070557,,RotaryEmbeddingHfDeviceOperation,3,2.916,0.525,33,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,59395.0
181,0.07258687342076756,,PagedUpdateCacheDeviceOperation,3,7.553,0.513,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,60419.0
182,0.06789833374159325,,PagedUpdateCacheDeviceOperation,3,6.997,0.548,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,61443.0
183,0.1566746176860356,,SdpaDecodeDeviceOperation,3,16.871,0.539,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,62467.0
184,0.018970137511899084,,InterleavedToShardedDeviceOperation,3,1.558,0.55,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,63491.0
185,0.05500259984474725,,NLPConcatHeadsDecodeDeviceOperation,3,5.568,0.544,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,64515.0
