GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
1027,,,3,blackhole,,90,110,,,420,169456,13056077269943,13056077498709,162796,13056077278780,13056077498554,162796,13056077278780,13056077498554,162796,161258,161353,147962,161559,,0,0
2051,,,3,blackhole,,91,110,,,254,160627,13056106308381,13056106525228,148333,13056106324833,13056106525082,148333,13056106324833,13056106525082,148330,146910,147010,133630,147221,,21352858,21352858
3075,,,3,blackhole,,64,110,,,145,4272,13056113686151,13056113691918,3274,13056113687350,13056113691770,3274,13056113687350,13056113691770,3274,2830,2862,221,2902,,5305264,5305264
4099,,,3,blackhole,,96,110,,,247,121216,13056126515263,13056126678904,120161,13056126516539,13056126678756,120161,13056126516539,13056126678756,120159,119034,119068,105420,119268,,9499849,9499849
5123,,,3,blackhole,,96,110,,,239,120725,13056131465781,13056131628760,119681,13056131467044,13056131628614,119681,13056131467045,13056131628614,119674,118558,118604,105089,118784,,3546866,3546888
6147,,,3,blackhole,,96,110,,,214,63829,13056143884587,13056143970756,62787,13056143885839,13056143970601,62787,13056143885839,13056143970601,62787,48181,49469,49339,49730,,9079474,9079474
7171,,,3,blackhole,,108,110,,,453,182537,13056175691924,13056175938349,173904,13056175703430,13056175938201,173904,13056175703430,13056175938201,173904,172364,172464,158510,172676,,23505739,23505739
8195,,,3,blackhole,,64,110,,,155,4264,13056178638520,13056178644276,3263,13056178639723,13056178644128,3263,13056178639723,13056178644128,3263,2837,2860,227,2911,,2001150,2001150
9219,,,3,blackhole,,1,110,,,72,6151,13056184360375,13056184368679,5600,13056184360971,13056184368531,5593,13056184360980,13056184368531,5530,4787,4837,112,4876,,4234699,4234453
10243,,,3,blackhole,,1,110,,,108,6127,13056184554741,13056184563012,5601,13056184555302,13056184562863,5593,13056184555313,13056184562863,5499,4796,4787,107,4841,,138355,138367
11267,,,3,blackhole,,1,110,,,191,26596,13056191316226,13056191352130,26042,13056191316824,13056191351981,25947,13056191316953,13056191351981,25851,12407,25014,25082,25293,,5002891,5003094
12291,,,3,blackhole,,80,110,,,282,57556,13056635881774,13056635959475,55741,13056635884064,13056635959315,55741,13056635884064,13056635959315,55739,53010,54950,54884,55061,,329280180,329280180
13315,,,3,blackhole,,1,110,,,87,26053,13056639744609,13056639779780,25479,13056639745227,13056639779623,25479,13056639745227,13056639779623,25391,25419,,,,,2804432,2804432
14339,,,3,blackhole,,1,110,,,47,1096,13056642410579,13056642412059,570,13056642411142,13056642411912,570,13056642411142,13056642411912,523,556,,,,,1948008,1948008
15363,,,3,blackhole,,1,110,,,1,1145,13056642550370,13056642551916,598,13056642550963,13056642551770,598,13056642550963,13056642551770,597,565,,,,,103039,103039
16387,,,3,blackhole,,1,110,,,199,2356,13056647385784,13056647388965,1809,13056647386343,13056647388785,1656,13056647386550,13056647388785,,59,1628,1459,1563,,3581385,3582280
17411,,,3,blackhole,,1,110,,,210,2413,13056647730553,13056647733811,1863,13056647731113,13056647733628,1720,13056647731306,13056647733628,,52,1686,1506,1609,,253581,253719
18435,,,3,blackhole,,1,110,,,302,5589,13056653315747,13056653323292,5077,13056653316294,13056653323148,4904,13056653316528,13056653323148,4801,2867,4202,4224,4298,,4135278,4135731
19459,,,3,blackhole,,1,110,,,239,5603,13056653416181,13056653423745,5065,13056653416760,13056653423598,4927,13056653416947,13056653423598,4845,2857,4232,4209,4342,,69340,69485
20483,,,3,blackhole,,110,110,,,813,8816,13056660393146,13056660405048,8151,13056660393888,13056660404892,7908,13056660394216,13056660404892,7766,2756,5370,5661,5576,,5163107,5163324
21507,,,3,blackhole,,1,110,,,16,1124,13056660554892,13056660556410,575,13056660555454,13056660556230,575,13056660555454,13056660556230,559,567,,,,,111563,111563
22531,,,3,blackhole,,32,110,,,201,2241,13056663135246,13056663138271,1318,13056663136350,13056663138129,1318,13056663136350,13056663138129,1318,1196,,,,,1911522,1911522
23555,,,3,blackhole,,32,110,,,231,44520,13057093715867,13057093775969,43600,13057093716948,13057093775808,43599,13057093716950,13057093775808,43599,41864,42960,42895,43127,,318947273,318950797
24579,,,3,blackhole,,64,110,,,127,2243,13057097124423,13057097127451,1245,13057097125627,13057097127308,1245,13057097125627,13057097127308,1245,863,,,,,2480978,2480978
25603,,,3,blackhole,,110,110,,,167,2276,13057100333675,13057100336747,1679,13057100334333,13057100336600,1679,13057100334333,13057100336600,1666,1184,,,,,2375207,2375207
26627,,,3,blackhole,,96,110,,,290,71850,13057506257222,13057506354219,69952,13057506259627,13057506354062,69950,13057506259630,13057506354062,69950,66829,67103,67039,67211,,300684361,300685318
27651,,,3,blackhole,,96,110,,,166,2447,13057507045531,13057507048835,1409,13057507046789,13057507048691,1409,13057507046789,13057507048691,1408,941,,,,,513172,513172
28675,,,3,blackhole,,96,110,,,161,2434,13057507513169,13057507516455,1394,13057507514431,13057507516313,1394,13057507514431,13057507516313,1387,946,,,,,344974,344974
29699,,,3,blackhole,,110,110,,,177,4402,13057513946387,13057513952330,3817,13057513947028,13057513952181,3811,13057513947036,13057513952181,3787,1689,2832,3373,2679,,4763446,4763360
30723,,,3,blackhole,,64,110,,,253,56944,13057943145758,13057943222632,55107,13057943148078,13057943222473,55107,13057943148078,13057943222473,55105,53847,54017,53956,54078,,317920536,317920536
31747,,,3,blackhole,,110,110,,,176,2399,13057949421552,13057949424791,1815,13057949422193,13057949424643,1810,13057949422199,13057949424643,1793,1360,1364,273,382,,4592854,4591450
32771,,,3,blackhole,,110,110,,,181,2442,13057949679783,13057949683080,1856,13057949680426,13057949682931,1847,13057949680438,13057949682931,1814,1407,1426,272,426,,189514,189512
33795,0,1,3,blackhole,,1,110,,,207,26613,13057965300976,13057965336904,26084,13057965301544,13057965336758,25961,13057965301710,13057965336758,25885,12359,25054,25124,25293,,11569146,11569251
33795,0,2,3,blackhole,,1,110,,,204,26471,13057965763228,13057965798964,25939,13057965763801,13057965798818,25832,13057965763945,13057965798818,25735,12150,24892,24973,25172,,3624,3730
33795,0,3,3,blackhole,,1,110,,,199,26509,13057966225367,13057966261154,25977,13057966225937,13057966261006,25867,13057966226086,13057966261006,25779,12193,24948,25012,25196,,3621,3732
33795,0,4,3,blackhole,,1,110,,,209,26553,13057966928864,13057966964711,26011,13057966929451,13057966964566,25920,13057966929574,13057966964566,25802,12242,24952,25045,25249,,183727,183819
33795,0,5,3,blackhole,,1,110,,,201,26594,13057967452191,13057967488093,26076,13057967452747,13057967487949,25964,13057967452897,13057967487949,25874,12358,25040,25110,25291,,49712,49821
34819,0,1,3,blackhole,,80,110,,,1164,75769,13057965311321,13057965413609,56268,13057965337491,13057965413453,56268,13057965337491,13057965413453,56268,53593,53987,53904,54096,,543,543
34819,0,2,3,blackhole,,80,110,,,1212,75700,13057965773105,13057965875300,56014,13057965799522,13057965875141,56013,13057965799523,13057965875141,56012,53341,54003,53941,54104,,521,522
34819,0,3,3,blackhole,,80,110,,,1173,75741,13057966235156,13057966337407,55942,13057966261725,13057966337247,55942,13057966261725,13057966337247,55942,53252,53944,53877,54048,,533,533
34819,0,4,3,blackhole,,80,110,,,1183,75885,13057966939183,13057967041628,56430,13057966965284,13057967041465,56429,13057966965286,13057967041465,56429,53687,54064,53996,54167,,532,533
34819,0,5,3,blackhole,,80,110,,,1161,75638,13057967462459,13057967564570,56102,13057967488670,13057967564408,56102,13057967488670,13057967564408,56101,53461,54122,54059,54226,,534,534
35843,0,1,3,blackhole,,1,110,,,111,26025,13057965414929,13057965450063,25453,13057965415553,13057965449914,25453,13057965415553,13057965449914,25341,25365,,,,,1556,1556
35843,0,2,3,blackhole,,1,110,,,91,25930,13057965876677,13057965911682,25344,13057965877307,13057965911521,25344,13057965877307,13057965911521,25253,25318,,,,,1604,1604
35843,0,3,3,blackhole,,1,110,,,78,26077,13057966338775,13057966373979,25501,13057966339404,13057966373830,25501,13057966339404,13057966373830,25423,25298,,,,,1598,1598
35843,0,4,3,blackhole,,1,110,,,98,25996,13057967043022,13057967078117,25425,13057967043642,13057967077966,25425,13057967043642,13057967077966,25327,25386,,,,,1613,1613
35843,0,5,3,blackhole,,1,110,,,93,25971,13057967565937,13057967600998,25387,13057967566567,13057967600839,25387,13057967566567,13057967600839,25293,25356,,,,,1599,1599
36867,0,1,3,blackhole,,1,110,,,46,1059,13057965451511,13057965452940,576,13057965452009,13057965452786,576,13057965452009,13057965452786,530,568,,,,,1553,1553
36867,0,2,3,blackhole,,1,110,,,67,1124,13057965913144,13057965914661,673,13057965913603,13057965914511,673,13057965913603,13057965914511,606,659,,,,,1543,1543
36867,0,3,3,blackhole,,1,110,,,77,999,13057966375445,13057966376793,562,13057966375888,13057966376647,562,13057966375888,13057966376647,485,555,,,,,1524,1524
36867,0,4,3,blackhole,,1,110,,,55,1029,13057967079580,13057967080969,570,13057967080042,13057967080812,570,13057967080042,13057967080812,516,563,,,,,1537,1537
36867,0,5,3,blackhole,,1,110,,,55,1005,13057967602450,13057967603807,555,13057967602912,13057967603661,555,13057967602912,13057967603661,500,547,,,,,1536,1536
37891,0,1,3,blackhole,,1,110,,,67,999,13057965454392,13057965455740,553,13057965454811,13057965455558,553,13057965454811,13057965455558,486,546,,,,,1499,1499
37891,0,2,3,blackhole,,1,110,,,61,1001,13057965916113,13057965917464,553,13057965916530,13057965917276,553,13057965916530,13057965917276,492,545,,,,,1497,1497
37891,0,3,3,blackhole,,1,110,,,67,993,13057966378233,13057966379573,578,13057966378656,13057966379436,578,13057966378656,13057966379436,510,564,,,,,1489,1489
37891,0,4,3,blackhole,,1,110,,,56,997,13057967082417,13057967083763,550,13057967082835,13057967083577,550,13057967082835,13057967083577,493,542,,,,,1500,1500
37891,0,5,3,blackhole,,1,110,,,64,1005,13057967605247,13057967606604,556,13057967605669,13057967606419,556,13057967605669,13057967606419,492,548,,,,,1489,1489
38915,0,1,3,blackhole,,1,110,,,324,2369,13057965457174,13057965460372,1904,13057965457627,13057965460198,1667,13057965457947,13057965460198,,52,1607,1564,1526,,1532,1769
38915,0,2,3,blackhole,,1,110,,,319,2359,13057965918911,13057965922096,1899,13057965919351,13057965921915,1674,13057965919655,13057965921915,,52,1599,1520,1509,,1537,1762
38915,0,3,3,blackhole,,1,110,,,347,2365,13057966381015,13057966384208,1927,13057966381425,13057966384026,1687,13057966381748,13057966384026,,52,1610,1553,1507,,1474,1712
38915,0,4,3,blackhole,,1,110,,,347,2329,13057967085205,13057967088349,1900,13057967085612,13057967088177,1673,13057967085919,13057967088177,,52,1575,1536,1490,,1507,1735
38915,0,5,3,blackhole,,1,110,,,323,2360,13057967608056,13057967611242,1916,13057967608479,13057967611066,1676,13057967608803,13057967611066,,52,1609,1523,1502,,1526,1766
39939,0,1,3,blackhole,,1,110,,,271,2353,13057965461814,13057965464991,1889,13057965462259,13057965464809,1653,13057965462577,13057965464809,,52,1618,1551,1593,,1527,1762
39939,0,2,3,blackhole,,1,110,,,279,2262,13057965923529,13057965926583,1825,13057965923939,13057965926403,1559,13057965924298,13057965926403,,53,1560,1490,1513,,1499,1765
39939,0,3,3,blackhole,,1,110,,,288,2267,13057966385648,13057966388709,1831,13057966386063,13057966388535,1595,13057966386382,13057966388535,,53,1559,1494,1510,,1509,1745
39939,0,4,3,blackhole,,1,110,,,271,2241,13057967089784,13057967092810,1806,13057967090197,13057967092635,1557,13057967090533,13057967092635,,52,1556,1469,1503,,1496,1745
39939,0,5,3,blackhole,,1,110,,,264,2270,13057967612675,13057967615739,1817,13057967613113,13057967615566,1600,13057967613406,13057967615566,,54,1561,1479,1522,,1516,1733
40963,0,1,3,blackhole,,1,110,,,350,5638,13057965466423,13057965474034,5201,13057965466867,13057965473888,4969,13057965467180,13057965473888,4851,2893,4250,4344,4398,,1525,1756
40963,0,2,3,blackhole,,1,110,,,365,5577,13057965928013,13057965935542,5159,13057965928419,13057965935384,4909,13057965928757,13057965935384,4794,3002,4220,4307,4334,,1493,1744
40963,0,3,3,blackhole,,1,110,,,370,5616,13057966390146,13057966397728,5197,13057966390558,13057966397574,4951,13057966390890,13057966397574,4827,3004,4244,4341,4365,,1499,1744
40963,0,4,3,blackhole,,1,110,,,370,5593,13057967094243,13057967101794,5161,13057967094665,13057967101632,4919,13057967094991,13057967101632,4791,2927,4228,4307,4346,,1504,1745
40963,0,5,3,blackhole,,1,110,,,357,5756,13057967617178,13057967624948,5320,13057967617606,13057967624788,5070,13057967617944,13057967624788,4963,3014,4414,4464,4493,,1511,1762
41987,0,1,3,blackhole,,1,110,,,342,5421,13057965475485,13057965482803,5026,13057965475877,13057965482662,4807,13057965476172,13057965482662,4715,2834,4120,4181,4215,,1473,1692
41987,0,2,3,blackhole,,1,110,,,377,5484,13057965936978,13057965944382,5101,13057965937352,13057965944238,4862,13057965937674,13057965944238,4782,2941,4173,4256,4256,,1458,1696
41987,0,3,3,blackhole,,1,110,,,351,5467,13057966399176,13057966406557,5079,13057966399556,13057966406413,4823,13057966399902,13057966406413,4744,2864,4157,4236,4265,,1468,1724
41987,0,4,3,blackhole,,1,110,,,358,5449,13057967103234,13057967110590,5050,13057967103631,13057967110449,4817,13057967103946,13057967110449,4741,2855,4134,4199,4216,,1481,1714
41987,0,5,3,blackhole,,1,110,,,334,5444,13057967626383,13057967633733,5050,13057967626773,13057967633591,4818,13057967627087,13057967633591,4739,2851,4173,4207,4253,,1470,1703
43011,0,1,3,blackhole,,110,110,,,1690,14939,13057965475744,13057965495912,9179,13057965483379,13057965495771,9179,13057965483380,13057965495771,9179,3706,6921,6725,7006,,531,532
43011,0,2,3,blackhole,,110,110,,,1663,14879,13057965937238,13057965957324,9057,13057965944956,13057965957183,9056,13057965944957,13057965957183,9056,3582,6818,6609,6887,,532,533
43011,0,3,3,blackhole,,110,110,,,1689,14810,13057966399460,13057966419453,9028,13057966407124,13057966419312,9028,13057966407124,13057966419312,9028,3570,6777,6590,6850,,527,527
43011,0,4,3,blackhole,,110,110,,,1716,14836,13057967103505,13057967123533,9069,13057967111148,13057967123391,9069,13057967111148,13057967123391,9069,3716,6821,6623,6891,,518,518
43011,0,5,3,blackhole,,110,110,,,1640,14782,13057967626654,13057967646610,9003,13057967634314,13057967646468,9003,13057967634314,13057967646468,9003,3554,6760,6549,6833,,536,536
