GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
1027,,,3,blackhole,,90,110,,,424,170587,15004878712661,15004878942954,163919,15004878721508,15004878942799,163919,15004878721508,15004878942799,163919,162374,162482,148960,162679,,0,0
2051,,,3,blackhole,,91,110,,,247,159815,15004902594710,15004902810460,147503,15004902611181,15004902810310,147503,15004902611181,15004902810310,147499,146060,146172,132284,146372,,17532139,17532139
3075,,,3,blackhole,,64,110,,,136,4428,15004908454987,15004908460965,3410,15004908456205,15004908460809,3410,15004908456205,15004908460809,3410,2960,2996,221,3030,,4181690,4181690
4099,,,3,blackhole,,64,110,,,144,6567,15004914464611,15004914473477,5591,15004914465784,15004914473332,5590,15004914465786,15004914473332,5582,4403,4476,236,4575,,4448041,4448426
5123,,,3,blackhole,,110,110,,,416,1785402,15005071070857,15005073481150,1783852,15005071072802,15005073481002,1783850,15005071072804,15005073481002,1783850,1779361,1781053,1780930,1781323,,115999617,115999585
6147,,,3,blackhole,,110,110,,,241,1775073,15005229218946,15005231615295,1773518,15005229220898,15005231615147,1773516,15005229220901,15005231615147,1773514,1769054,1770723,1770600,1770987,,115362900,115362917
7171,,,3,blackhole,,110,110,,,267,1892306,15005377856270,15005380410883,1890745,15005377858225,15005380410731,1890745,15005377858225,15005380410731,1890745,1878602,1884147,1884033,1884421,,108328195,108328195
8195,,,3,blackhole,,110,110,,,276,3724010,15005700637747,15005705665160,3722467,15005700639681,15005705665012,3722467,15005700639681,15005705665012,3722467,3713344,3717393,3717272,3717677,,237206604,237206604
9219,,,3,blackhole,,64,110,,,210,27079,15005763697744,15005763734300,26079,15005763698947,15005763734154,26078,15005763698949,15005763734154,26073,25631,25660,238,13811,,42987673,42988468
10243,,,3,blackhole,,4,110,,,121,2642,15005765101223,15005765104790,2033,15005765101895,15005765104639,2024,15005765101906,15005765104639,1999,1163,1242,185,1339,,1013345,1012927
11267,,,3,blackhole,,4,110,,,104,2630,15005765318200,15005765321751,2030,15005765318865,15005765321605,2026,15005765318870,15005765321605,1999,1172,1242,178,1336,,158715,158695
12291,,,3,blackhole,,4,110,,,283,26830,15005771758758,15005771794979,26310,15005771759305,15005771794823,26162,15005771759504,15005771794823,26073,12537,25238,25337,25499,,4768734,4768774
13315,,,3,blackhole,,80,110,,,284,63605,15005778852988,15005778938855,61785,15005778855286,15005778938696,61785,15005778855286,15005778938696,61785,52927,54127,54099,54547,,5229957,5229957
14339,,,3,blackhole,,4,110,,,79,67344,15005781675052,15005781765967,66731,15005781675730,15005781765817,66731,15005781675730,15005781765817,66729,66407,,,,,2027429,2027429
15363,,,3,blackhole,,110,110,,,450,30233,15005790012818,15005790053633,28642,15005790014821,15005790053488,28641,15005790014823,15005790053488,28636,28064,28275,28151,28169,,6110326,6110430
16387,,,3,blackhole,,16,110,,,363,8540,15005790478183,15005790489712,7859,15005790478953,15005790489563,7844,15005790478973,15005790489563,7776,7246,7445,7361,7308,,315149,315156
17411,,,3,blackhole,,16,110,,,124,2207,15005793326738,15005793329718,1517,15005793327526,15005793329574,1517,15005793327526,15005793329574,1517,829,,,,,2102143,2102143
18435,,,3,blackhole,,16,110,,,132,2157,15005793431575,15005793434487,1464,15005793432368,15005793434344,1464,15005793432368,15005793434344,1464,795,,,,,76159,76159
19459,,,3,blackhole,,110,110,,,493,29072,15005801315737,15005801354984,28407,15005801316482,15005801354831,28407,15005801316482,15005801354831,28305,26601,27762,27810,27690,,5838689,5838689
20483,,,3,blackhole,,4,110,,,73,53950,15005804023024,15005804095856,53333,15005804023711,15005804095711,53333,15005804023711,15005804095711,53333,53062,,,,,1976936,1976936
21507,,,3,blackhole,,64,110,,,283,97446,15005811617156,15005811748708,95583,15005811619509,15005811748546,95582,15005811619510,15005811748546,95571,91406,91693,91629,91941,,5573186,5573171
22531,,,3,blackhole,,16,110,,,104,46036,15005821090573,15005821152722,44219,15005821092873,15005821152568,44219,15005821092873,15005821152568,44204,43507,43705,43633,43759,,6921799,6921799
23555,,,3,blackhole,,4,110,,,229,25406,15005828135872,15005828170170,24853,15005828136472,15005828170024,24853,15005828136472,15005828170024,24758,16728,24075,24119,24304,,5173193,5173193
24579,,,3,blackhole,,4,110,,,84,1413,15005830879464,15005830881372,815,15005830880130,15005830881230,815,15005830880130,15005830881230,815,641,,,,,2007942,2007942
