Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
66.04,MatmulDeviceOperation (in0:dram_interleaved),1650.04,3,Compute,6.12,9.29,7.23,1.79,8.18
8.00,BinaryNgDeviceOperation (in0:dram_interleaved),200.00,4,Compute,,,,,
4.01,RepeatDeviceOperation (in0:dram_interleaved),100.23,1,Other,,,,,
3.89,MatmulDeviceOperation (in0:width_sharded),97.21,2,Compute,17.10,20.27,18.69,2.24,18.73
3.86,ReshapeViewDeviceOperation (in0:dram_interleaved),96.55,5,Other,,,,,
2.97,SliceDeviceOperation (in0:dram_interleaved),74.14,4,TM,,,,,
2.27,UnaryDeviceOperation (in0:dram_interleaved),56.61,3,Compute,,,,,
2.02,FastReduceNCDeviceOperation (in0:dram_interleaved),50.37,1,Other,,,,,
1.43,LayerNormDeviceOperation (in0:dram_interleaved),35.78,1,Compute,,,,,
1.06,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),26.50,1,Other,,,,,
0.98,TopKDeviceOperation (in0:dram_interleaved),24.59,1,Other,,,,,
0.76,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),19.07,2,TM,,,,,
0.71,TransposeDeviceOperation (in0:dram_interleaved),17.74,2,TM,,,,,
0.50,SdpaDecodeDeviceOperation (in0:height_sharded),12.50,1,Other,,,,,
0.49,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),12.36,2,DM,,,,,
0.22,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),5.47,1,TM,,,,,
0.16,ScatterDeviceOperation (in0:dram_interleaved),4.05,1,Other,,,,,
0.16,UntilizeDeviceOperation (in0:dram_interleaved),3.89,1,TM,,,,,
0.12,InterleavedToShardedDeviceOperation (in0:dram_interleaved),3.04,2,DM,,,,,
0.12,ShardedToInterleavedDeviceOperation (in0:width_sharded),3.03,2,DM,,,,,
0.08,TilizeDeviceOperation (in0:dram_interleaved),2.05,1,TM,,,,,
0.08,TypecastDeviceOperation (in0:dram_interleaved),1.98,1,TM,,,,,
0.06,ReshardDeviceOperation (in0:width_sharded),1.46,1,DM,,,,,
