Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL'.
Using operations until 'PERF_PREFILL_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                            Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
233    0.1 %         LayerNormDeviceOperation                                 3       116 μs                  110                                                  BF16, BF16 => BF16
234    0.3 %   SLOW  MatmulDeviceOperation b={32} x 128 x 2048 x 5120         3       355 μs         12 μs    100  195 GB/s  38.1 %  242.0 TFLOPs   43.8 %   LoFi BF16 x BFP8 => BF16
235    0.2 %         NlpCreateHeadsDeviceOperation                            3       220 μs          1 μs    110                                                        BF16 => BF16
236    0.0 %         SliceDeviceOperation                                     3         1 μs          1 μs     64                                                        BF16 => BF16
237    0.0 %         SliceDeviceOperation                                     3         1 μs          1 μs     64                                                        BF16 => BF16
238    0.0 %         PagedFillCacheDeviceOperation                            3         2 μs          1 μs     16                                                  BF16, BF16 => BF16
239    0.0 %         PagedFillCacheDeviceOperation                            3         2 μs          1 μs     16                                                  BF16, BF16 => BF16
240    0.0 %         SliceDeviceOperation                                     3         2 μs          1 μs     64                                                        BF16 => BF16
241    0.0 %         SliceDeviceOperation                                     3         2 μs          1 μs     64                                                        BF16 => BF16
242    0.0 %         PagedFillCacheDeviceOperation                            3         2 μs          1 μs     16                                                  BF16, BF16 => BF16
243    0.0 %         PagedFillCacheDeviceOperation                            3         2 μs          1 μs     16                                                  BF16, BF16 => BF16
244    0.0 %         SliceDeviceOperation                                     3         2 μs          1 μs     64                                                        BF16 => BF16
245    0.0 %         SliceDeviceOperation                                     3         2 μs          1 μs     64                                                        BF16 => BF16
246    0.0 %         PagedFillCacheDeviceOperation                            3         2 μs          1 μs     16                                                  BF16, BF16 => BF16
247    0.0 %         PagedFillCacheDeviceOperation                            3         1 μs          1 μs     16                                                  BF16, BF16 => BF16
248    0.0 %         SliceDeviceOperation                                     3         1 μs          5 μs     64                                                        BF16 => BF16
249    0.0 %         SliceDeviceOperation                                     3         1 μs          5 μs     64                                                        BF16 => BF16
250    0.0 %         PagedFillCacheDeviceOperation                            3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
251    0.0 %         PagedFillCacheDeviceOperation                            3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
252    0.0 %         SliceDeviceOperation                                     3         1 μs          5 μs     64                                                        BF16 => BF16
253    0.0 %         SliceDeviceOperation                                     3         1 μs          5 μs     64                                                        BF16 => BF16
254    0.0 %         PagedFillCacheDeviceOperation                            3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
255    0.0 %         PagedFillCacheDeviceOperation                            3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
256    0.0 %         SliceDeviceOperation                                     3         1 μs          5 μs     64                                                        BF16 => BF16
257    0.0 %         SliceDeviceOperation                                     3         1 μs          5 μs     64                                                        BF16 => BF16
258    0.0 %         PagedFillCacheDeviceOperation                            3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
259    0.0 %         PagedFillCacheDeviceOperation                            3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
260    0.0 %         SliceDeviceOperation                                     3         1 μs          5 μs     64                                                        BF16 => BF16
261    0.0 %         SliceDeviceOperation                                     3         1 μs          5 μs     64                                                        BF16 => BF16
262    0.0 %         PagedFillCacheDeviceOperation                            3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
263    0.0 %         PagedFillCacheDeviceOperation                            3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
264    0.0 %         SliceDeviceOperation                                     3         1 μs          5 μs     64                                                        BF16 => BF16
265    0.0 %         SliceDeviceOperation                                     3         1 μs          5 μs     64                                                        BF16 => BF16
266    0.0 %         PagedFillCacheDeviceOperation                            3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
267    0.0 %         PagedFillCacheDeviceOperation                            3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
