Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
65.47,MatmulDeviceOperation (in0:dram_interleaved),90523.31,18,Compute,13.78,66.73,28.07,20.46,14.83
12.81,BinaryNgDeviceOperation (in0:dram_interleaved),17706.05,10,Compute,,,,,
11.27,RepeatDeviceOperation (in0:dram_interleaved),15583.31,4,TM,,,,,
4.83,FastReduceNCDeviceOperation (in0:dram_interleaved),6679.53,4,Compute,,,,,
3.91,UnaryDeviceOperation (in0:dram_interleaved),5400.32,12,Compute,,,,,
0.43,SDPAOperation (in0:dram_interleaved),595.24,1,Compute,,,,,
0.37,ReshapeViewDeviceOperation (in0:dram_interleaved),511.88,4,TM,,,,,
0.16,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),219.74,1,TM,,,,,
0.16,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),217.45,1,TM,,,,,
0.13,SliceDeviceOperation (in0:dram_interleaved),184.39,76,TM,,,,,
0.08,LayerNormDeviceOperation (in0:dram_interleaved),116.04,1,Compute,,,,,
0.08,ScatterDeviceOperation (in0:dram_interleaved),110.59,4,Other,,,,,
0.07,TopKDeviceOperation (in0:dram_interleaved),102.12,4,Other,,,,,
0.07,PagedFillCacheDeviceOperation (in0:dram_interleaved),94.12,64,Other,,,,,
0.06,ConcatDeviceOperation (in0:dram_interleaved),89.13,1,TM,,,,,
0.06,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),83.83,8,TM,,,,,
0.01,UntilizeDeviceOperation (in0:dram_interleaved),19.85,4,TM,,,,,
0.01,TilizeDeviceOperation (in0:dram_interleaved),13.73,4,TM,,,,,
0.01,TransposeDeviceOperation (in0:dram_interleaved),10.86,4,TM,,,,,
