ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
210,0.13289358517151326,,LayerNormDeviceOperation,3,18.32,,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,212995.0,
211,0.7991387451102486,SLOW,MatmulDeviceOperation 128 x 2048 x 5120,3,57.972,52.193,32.0,212.52963499620506,41.5096943351963,46.30432898640723,26.168444025340452,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,4,214019.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x4 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
212,0.48493101357618235,,NlpCreateHeadsDeviceOperation,3,65.477,1.373,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,215043.0,
213,0.2140297614893831,,RotaryEmbeddingDeviceOperation,3,29.026,0.479,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,216067.0,
214,0.06495971917090071,,RotaryEmbeddingDeviceOperation,3,8.485,0.47,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,217091.0,
215,0.017873897044902217,,PagedFillCacheDeviceOperation,3,2.007,0.457,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,218115.0,
216,0.01830913804437224,,PagedFillCacheDeviceOperation,3,1.989,0.535,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,219139.0,
217,0.3399522366527182,,SDPAOperation,3,28.517,18.347,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,220163.0,
218,0.3933272912210585,,NLPConcatHeadsDeviceOperation,3,53.552,0.67,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,221187.0,
219,0.34989023947395026,SLOW,MatmulDeviceOperation 128 x 4096 x 2048,3,47.724,0.51,32.0,208.73086916436174,40.7677478836644,44.99798105774872,25.43017411846512,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,16,1,4,222211.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=16 and output subblock 1x4 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
220,0.017213781529039348,,SliceDeviceOperation,3,1.763,0.61,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,223235.0,
221,0.04010745810116249,,FillPadDeviceOperation,3,4.938,0.591,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,224259.0,
222,0.08329061926524645,SLOW,MatmulDeviceOperation 32 x 2048 x 128,3,7.37,4.112,4.0,88.92265943012211,17.367706919945725,2.276420081411126,20.583948942157896,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,16,1,1,225283.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy"
223,0.26752813434090655,,TopKDeviceOperation,3,24.128,12.752,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,226307.0,
224,0.014174348549407035,,SliceDeviceOperation,3,0.421,1.533,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,227331.0,
225,0.01392771198304069,,SliceDeviceOperation,3,0.413,1.507,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,228355.0,
226,0.37445233987737525,,UnaryDeviceOperation,3,1.63,49.99,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,229379.0,
227,0.24387278601971088,,UnaryDeviceOperation,3,0.987,32.632,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,230403.0,
228,0.107475510802464,,UntilizeDeviceOperation,3,3.436,11.38,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,231427.0,
229,0.14124295834467981,,UntilizeWithUnpaddingDeviceOperation,3,8.589,10.882,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_L1_INTERLEAVED,,,,232451.0,
