Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
64.22,SparseMatmulDeviceOperation (in0:dram_interleaved),8522.58,12,Compute,1.57,2.58,1.76,0.38,1.71
20.60,SparseMatmulDeviceOperation (in0:l1_interleaved),2734.12,6,Compute,0.92,1.48,1.03,0.22,1.00
3.69,UnaryDeviceOperation (in0:l1_interleaved),490.15,36,Compute,,,,,
3.07,BinaryNgDeviceOperation (in0:l1_interleaved),408.05,12,Compute,,,,,
1.13,MatmulDeviceOperation (in0:dram_interleaved),150.07,8,Compute,19.79,26.17,21.84,2.48,24.26
1.09,TopKDeviceOperation (in0:l1_interleaved),144.57,6,Other,,,,,
0.87,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),114.91,18,TM,,,,,
0.86,FastReduceNCDeviceOperation (in0:l1_interleaved),114.52,6,Compute,,,,,
0.60,UntilizeDeviceOperation (in0:dram_interleaved),79.81,4,TM,,,,,
0.49,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),65.48,1,TM,,,,,
0.49,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),65.33,5,TM,,,,,
0.40,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),53.55,1,TM,,,,,
0.33,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),44.28,6,TM,,,,,
0.33,ReshapeViewDeviceOperation (in0:l1_interleaved),43.47,6,TM,,,,,
0.28,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),37.51,2,Compute,,,,,
0.23,FillPadDeviceOperation (in0:dram_interleaved),29.93,6,TM,,,,,
0.21,SDPAOperation (in0:dram_interleaved),28.52,1,Compute,,,,,
0.16,UntilizeDeviceOperation (in0:l1_interleaved),21.18,6,TM,,,,,
0.15,ScatterDeviceOperation (in0:l1_interleaved),19.55,6,Other,,,,,
0.14,LayerNormDeviceOperation (in0:dram_interleaved),18.32,1,Compute,,,,,
0.11,SliceDeviceOperation (in0:l1_interleaved),14.45,18,TM,,,,,
0.09,TilizeDeviceOperation (in0:l1_interleaved),12.38,6,TM,,,,,
0.08,BinaryNgDeviceOperation (in0:dram_interleaved),11.24,2,Compute,,,,,
0.08,ReduceDeviceOperation (in0:l1_interleaved),10.33,6,Compute,,,,,
0.08,TransposeDeviceOperation (in0:l1_interleaved),10.08,6,TM,,,,,
0.07,CopyDeviceOperation (in0:l1_interleaved),9.79,6,DM,,,,,
0.07,SliceDeviceOperation (in0:dram_interleaved),9.56,6,TM,,,,,
0.03,PagedFillCacheDeviceOperation (in0:dram_interleaved),4.00,2,Other,,,,,
0.02,ConcatDeviceOperation (in0:dram_interleaved),3.10,1,TM,,,,,
