GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
1027,,,3,blackhole,,1,110,,,214,2470,1426554187966,1426554191301,2013,1426554188425,1426554191142,1893,1426554188587,1426554191142,1799,1496,1490,96,1521,,0,0
2051,,,3,blackhole,,88,110,,,401,4556,1426560622393,1426560628543,3613,1426560623517,1426560628394,3613,1426560623517,1426560628394,3613,3190,3207,265,3252,,4765260,4765260
3075,,,3,blackhole,,88,110,,,194,4639,1426560899323,1426560905586,3611,1426560900563,1426560905438,3610,1426560900564,1426560905438,3610,3187,3216,250,3259,,201600,201587
4099,,,3,blackhole,,88,110,,,200,4650,1426560970058,1426560976336,3618,1426560971304,1426560976188,3618,1426560971304,1426560976188,3613,3210,3236,254,3271,,48793,48793
5123,,,3,blackhole,,88,110,,,224,4635,1426561025749,1426561032006,3607,1426561026986,1426561031856,3607,1426561026987,1426561031856,3607,3196,3219,250,3262,,37624,37632
6147,,,3,blackhole,,88,110,,,207,4653,1426561081433,1426561087715,3621,1426561082681,1426561087569,3621,1426561082681,1426561087569,3617,3199,3217,253,3261,,37651,37651
7171,,,3,blackhole,,88,110,,,214,4647,1426561137297,1426561143571,3621,1426561138534,1426561143423,3621,1426561138534,1426561143423,3612,3232,3225,256,3280,,37747,37747
8195,,,3,blackhole,,88,110,,,214,4642,1426561192975,1426561199242,3617,1426561194211,1426561199094,3613,1426561194217,1426561199094,3613,3196,3227,253,3269,,37620,37629
9219,,,3,blackhole,,1,110,,,99,20734,1426565586835,1426565614826,20207,1426565587398,1426565614677,20195,1426565587414,1426565614677,20110,17989,18122,18077,18317,,3250649,3250637
10243,,,3,blackhole,,1,110,,,102,20673,1426565787991,1426565815900,20144,1426565788561,1426565815756,20144,1426565788562,1426565815756,20067,17946,18073,18024,18261,,128800,128806
11267,,,3,blackhole,,90,110,,,282,316813,1426586924928,1426587352626,309576,1426586934551,1426587352478,309576,1426586934551,1426587352478,309576,307229,307483,307376,307736,,15643574,15643574
12291,,,3,blackhole,,108,110,,,427,273152,1426631107291,1426631476046,257459,1426631128325,1426631475894,257456,1426631128328,1426631475894,257455,255461,255623,255541,255858,,32426614,32426518
13315,,,3,blackhole,,99,110,,,258,131401,1426642819439,1426642996831,120373,1426642834183,1426642996687,120373,1426642834183,1426642996687,120366,119177,119216,105772,119404,,8413524,8413524
14339,,,3,blackhole,,99,110,,,252,129095,1426644338211,1426644512489,118046,1426644352983,1426644512345,118044,1426644352985,1426644512345,118036,116842,116891,103420,117076,,1004664,1004661
15363,,,3,blackhole,,99,110,,,255,118367,1426651863870,1426652023666,115910,1426651867041,1426652023520,115896,1426651867061,1426652023520,115896,114696,114744,101574,114929,,5447906,5447959
16387,,,3,blackhole,,88,110,,,199,4536,1426652178074,1426652184197,3519,1426652179290,1426652184040,3519,1426652179290,1426652184040,3519,3064,3073,255,3132,,115401,115401
17411,,,3,blackhole,,88,110,,,169,3396,1426657566331,1426657570915,2365,1426657567566,1426657570759,2365,1426657567566,1426657570759,2365,956,1022,261,356,,3987485,3987485
18435,,,3,blackhole,,88,110,,,203,8433,1426663103955,1426663115339,7416,1426663105181,1426663115192,7416,1426663105181,1426663115192,7408,6476,6541,264,6647,,4099818,4099818
19459,,,3,blackhole,,110,110,,,220,8585,1426669444700,1426669456290,6644,1426669447174,1426669456144,6644,1426669447174,1426669456144,6629,3845,3876,3395,6125,,4690043,4690043
20483,,,3,blackhole,,1,110,,,110,6101,1426671383196,1426671391432,5578,1426671383756,1426671391286,5574,1426671383761,1426671391286,5468,4777,4768,107,4818,,1427918,1427845
21507,,,3,blackhole,,4,110,,,92,1703,1426671656870,1426671659169,1087,1426671657556,1426671659023,1084,1426671657560,1426671659023,1083,581,647,172,273,,197298,197294
22531,,,3,blackhole,,110,110,,,170,229749,1434268137161,1434268447322,229160,1434268137810,1434268447176,229159,1434268137812,1434268447176,229121,228774,228819,228381,228401,,5627021324,5627033148
23555,,,3,blackhole,,110,110,,,183,161752,1434274935698,1434275154063,159719,1434274938290,1434275153911,159719,1434274938290,1434275153911,159710,159410,159437,159041,159056,,4808225,4808225
24579,,,3,blackhole,,110,110,,,180,45186,1434281430809,1434281491810,43140,1434281433424,1434281491663,43140,1434281433424,1434281491663,43133,42752,42776,42370,42385,,4651491,4651491
25603,,,3,blackhole,,110,110,,,191,43644,1434281578889,1434281637808,41607,1434281581489,1434281637659,41601,1434281581498,1434281637659,41596,41299,41337,40931,40954,,66537,66545
26627,,,3,blackhole,,110,110,,,1176,45983,1434281633499,1434281695576,42293,1434281638332,1434281695428,42291,1434281638335,1434281695428,42291,41898,41942,41533,41558,,499,501
