Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
24.84,LayerNormDeviceOperation (in0:dram_interleaved),299.85,7,Compute,,,,,
20.44,MatmulDeviceOperation (in0:dram_interleaved),246.78,3,Compute,6.97,11.24,9.45,2.21,9.18
18.32,SparseMatmulDeviceOperation (in0:l1_interleaved),221.16,3,Compute,8.72,19.26,15.74,6.08,16.98
5.56,TransposeDeviceOperation (in0:l1_interleaved),67.10,4,TM,,,,,
4.73,LayerNormDeviceOperation (in0:l1_interleaved),57.07,4,Compute,,,,,
4.63,UnaryDeviceOperation (in0:l1_interleaved),55.92,4,Compute,,,,,
4.03,MatmulDeviceOperation (in0:width_sharded),48.67,2,Compute,33.30,36.49,34.89,2.26,35.36
3.68,SdpaDecodeDeviceOperation (in0:height_sharded),44.38,1,Other,,,,,
2.29,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),27.59,1,Other,,,,,
2.04,TopKDeviceOperation (in0:dram_interleaved),24.59,1,Other,,,,,
1.85,BinaryNgDeviceOperation (in0:dram_interleaved),22.29,8,Compute,,,,,
1.63,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),19.67,2,DM,,,,,
0.58,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),6.99,4,TM,,,,,
0.57,InterleavedToShardedDeviceOperation (in0:dram_interleaved),6.88,8,DM,,,,,
0.56,BinaryNgDeviceOperation (in0:l1_interleaved),6.71,2,Compute,,,,,
0.46,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),5.61,1,TM,,,,,
0.45,SliceDeviceOperation (in0:dram_interleaved),5.43,5,TM,,,,,
0.44,SoftmaxDeviceOperation (in0:dram_interleaved),5.31,1,Compute,,,,,
0.44,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),5.29,2,Other,,,,,
0.39,TypecastDeviceOperation (in0:dram_interleaved),4.69,3,TM,,,,,
0.37,ShardedToInterleavedDeviceOperation (in0:width_sharded),4.51,3,DM,,,,,
0.33,FillPadDeviceOperation (in0:dram_interleaved),3.94,1,TM,,,,,
0.28,ReshapeViewDeviceOperation (in0:dram_interleaved),3.41,1,Other,,,,,
0.28,UnaryDeviceOperation (in0:dram_interleaved),3.32,2,Compute,,,,,
0.25,ScatterDeviceOperation (in0:dram_interleaved),3.06,1,Other,,,,,
0.21,ReduceDeviceOperation (in0:l1_interleaved),2.49,1,Compute,,,,,
0.16,ShardedToInterleavedDeviceOperation (in0:height_sharded),1.92,3,DM,,,,,
0.11,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.37,1,TM,,,,,
0.11,CopyDeviceOperation (in0:dram_interleaved),1.33,1,DM,,,,,
