Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
43.82,SparseMatmulDeviceOperation (in0:l1_interleaved),10880.64,192,Compute,5.64,33.44,17.89,8.98,21.84
12.54,TransposeDeviceOperation (in0:l1_interleaved),3114.90,256,TM,,,,,
11.80,UnaryDeviceOperation (in0:l1_interleaved),2930.76,256,Compute,,,,,
5.85,ArgMaxDeviceOperation (in0:dram_interleaved),1451.99,1,Other,,,,,
4.69,MatmulDeviceOperation (in0:dram_interleaved),1163.59,5,Compute,1.62,10.96,6.33,4.33,4.42
3.99,UntilizeDeviceOperation (in0:dram_interleaved),989.72,118,TM,,,,,
3.19,AllGatherAsyncDeviceOperation (in0:dram_interleaved),792.75,1,Other,,,,,
2.42,LayerNormDeviceOperation (in0:dram_interleaved),601.23,14,Compute,,,,,
2.23,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),554.76,116,TM,,,,,
1.95,BinaryNgDeviceOperation (in0:l1_interleaved),484.45,128,Compute,,,,,
1.09,ReshapeViewDeviceOperation (in0:dram_interleaved),270.33,66,Other,,,,,
0.81,ReduceDeviceOperation (in0:l1_interleaved),200.70,64,Compute,,,,,
0.67,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),167.49,58,TM,,,,,
0.57,BinaryNgDeviceOperation (in0:dram_interleaved),141.82,19,Compute,,,,,
0.46,SliceDeviceOperation (in0:dram_interleaved),114.65,118,TM,,,,,
0.45,ReduceScatterDeviceOperation (in0:dram_interleaved),110.76,3,DM,,,,,
0.42,CopyDeviceOperation (in0:dram_interleaved),103.05,64,DM,,,,,
0.35,AllReduceAsyncDeviceOperation (in0:width_sharded),87.91,3,Other,,,,,
0.35,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),86.38,64,TM,,,,,
0.29,MatmulDeviceOperation (in0:width_sharded),71.98,6,Compute,16.59,38.94,26.20,8.50,27.77
0.22,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),54.39,2,Other,,,,,
0.22,LayerNormDeviceOperation (in0:l1_interleaved),54.16,6,Compute,,,,,
0.20,TopKDeviceOperation (in0:dram_interleaved),49.30,2,Other,,,,,
0.18,InterleavedToShardedDeviceOperation (in0:dram_interleaved),44.30,19,DM,,,,,
0.17,AllGatherDeviceOperation (in0:dram_interleaved),41.64,3,Other,,,,,
0.14,UnaryDeviceOperation (in0:dram_interleaved),34.08,5,Compute,,,,,
0.09,TransposeDeviceOperation (in0:dram_interleaved),22.14,4,TM,,,,,
0.09,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),22.03,2,TM,,,,,
0.09,SdpaDecodeDeviceOperation (in0:height_sharded),21.61,2,Other,,,,,
0.08,ShardedToInterleavedDeviceOperation (in0:width_sharded),19.90,11,DM,,,,,
0.08,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),19.44,4,DM,,,,,
0.07,TilizeDeviceOperation (in0:dram_interleaved),18.27,3,TM,,,,,
0.07,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),17.43,2,Other,,,,,
0.06,EmbeddingsDeviceOperation (in0:dram_interleaved),15.69,5,Compute,,,,,
0.05,ShardedToInterleavedDeviceOperation (in0:height_sharded),13.63,6,DM,,,,,
0.05,SoftmaxDeviceOperation (in0:dram_interleaved),12.84,2,Compute,,,,,
0.05,TypecastDeviceOperation (in0:dram_interleaved),12.72,6,TM,,,,,
0.04,AllBroadcastDeviceOperation (in0:dram_interleaved),11.17,1,Other,,,,,
0.03,ScatterDeviceOperation (in0:dram_interleaved),8.20,2,Other,,,,,
0.03,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),7.70,2,Other,,,,,
0.03,ConcatDeviceOperation (in0:l1_interleaved),7.30,2,TM,,,,,
0.01,ConcatDeviceOperation (in0:dram_interleaved),2.44,1,TM,,,,,
0.00,PlusOneDeviceOperation (in0:dram_interleaved),0.00,2,Other,,,,,
