ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
630,0.503789982836993,,LayerNormDeviceOperation,3,44.024,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,479235.0,
631,1.708175784528393,DRAM,MatmulDeviceOperation 32 x 2816 x 10240,3,143.638,5.632,107.0,407.3244127598547,79.55554936715912,12.84822790626436,4.343059039360086,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,2,1,3,480259.0,Try a DRAM-sharded program config (MatmulMultiCoreReuseMultiCastDRAMShardedProgramConfig) to improve throughput further • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
632,1.4982213320681366,,NlpCreateHeadsDeviceOperation,3,129.887,1.036,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,481283.0,
633,0.13607502012344824,,LayerNormDeviceOperation,3,11.355,0.536,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,482307.0,
634,0.13458736116994993,,LayerNormDeviceOperation,3,10.934,0.827,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,483331.0,
635,0.11358848286480087,,LayerNormDeviceOperation,3,9.1,0.826,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,484355.0,
636,0.3558594652072046,,RotaryEmbeddingHfDeviceOperation,3,30.563,0.534,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,485379.0,
637,0.32711331681345285,,RotaryEmbeddingHfDeviceOperation,3,27.299,1.286,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,486403.0,
638,0.03607000785712798,,PagedFillCacheDeviceOperation,3,1.979,1.173,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,487427.0,
639,0.03681383733387712,,PagedFillCacheDeviceOperation,3,2.057,1.16,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,488451.0,
