Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL_layer5_full_attention_seq1024_batch1'.
Using operations until 'PERF_PREFILL_layer5_full_attention_seq1024_batch1_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  748    0.0 %         LayerNormDeviceOperation                                          3        50 μs                   32                                                  BF16, BF16 => BF16
  749    0.1 %   SLOW  MatmulDeviceOperation 1024 x 2816 x 10240                         3       373 μs         27 μs    107  149 GB/s  29.1 %  158.2 TFLOPs   26.7 %   LoFi BF16 x BFP8 => BF16
  750    0.0 %         NlpCreateHeadsDeviceOperation                                     3       142 μs          1 μs     32                                                        BF16 => BF16
  751    0.0 %         LayerNormDeviceOperation                                          3        95 μs          0 μs    110                                                  BF16, BF16 => BF16
  752    0.0 %         LayerNormDeviceOperation                                          3        18 μs          1 μs     64                                                  BF16, BF16 => BF16
  753    0.0 %         LayerNormDeviceOperation                                          3        17 μs          1 μs     64                                                        BF16 => BF16
  754    0.1 %         RotaryEmbeddingHfDeviceOperation                                  3       223 μs          1 μs    110                                                  BF16, BF16 => BF16
  755    0.0 %         RotaryEmbeddingHfDeviceOperation                                  3        53 μs          1 μs     64                                                  BF16, BF16 => BF16
  756    0.0 %         PagedFillCacheDeviceOperation                                     3        12 μs          1 μs     64                                                  BF16, BF16 => BF16
  757    0.0 %         PagedFillCacheDeviceOperation                                     3        13 μs          1 μs     64                                                  BF16, BF16 => BF16
  758    0.5 %         SDPAOperation                                                     3     1,500 μs          1 μs    110                                                  BF16, BF16 => BF16
  759    0.0 %         NLPConcatHeadsDeviceOperation                                     3       120 μs          1 μs     32                                                        BF16 => BF16
  760    0.1 %   SLOW  MatmulDeviceOperation 1024 x 8192 x 2816                          3       313 μs          0 μs     88  146 GB/s  28.4 %  150.8 TFLOPs   31.0 %   LoFi BF16 x BFP8 => BF16
  761    0.0 %         LayerNormDeviceOperation                                          3        51 μs          1 μs     32                                                  BF16, BF16 => BF16
  762    0.0 %         BinaryNgDeviceOperation                                           3        40 μs          1 μs    110                                                  BF16, BF16 => BF16
  763    0.0 %         LayerNormDeviceOperation                                          3        48 μs          1 μs     32                                                  BF16, BF16 => BF16
  764    0.0 %   SLOW  MatmulDeviceOperation 1024 x 2816 x 4224                          3       102 μs          1 μs     88  257 GB/s  50.2 %  238.0 TFLOPs   48.9 %   LoFi BF16 x BFP8 => BF16
  765    0.0 %         SliceDeviceOperation                                              3        24 μs          1 μs    110                                                        BF16 => BF16
  766    0.0 %         SliceDeviceOperation                                              3        23 μs          1 μs    110                                                        BF16 => BF16
  767    0.0 %         BinaryNgDeviceOperation                                           3        32 μs          1 μs    110                                                  BF16, BF16 => BF16
  768    0.0 %   SLOW  MatmulDeviceOperation 1024 x 2112 x 2816                          3        65 μs          1 μs     88  249 GB/s  48.6 %  188.8 TFLOPs   38.8 %   LoFi BF16 x BFP8 => BF16
  769    0.0 %         LayerNormDeviceOperation                                          3        48 μs          1 μs     32                                                  BF16, BF16 => BF16
  770    0.0 %         LayerNormDeviceOperation                                          3        48 μs          1 μs     32                                                        BF16 => BF16
  771    0.1 %         BinaryNgDeviceOperation                                           3       293 μs          1 μs    110                                                  BF16, FP32 => BF16
  772    0.0 %         TypecastDeviceOperation                                           3        47 μs          1 μs    110                                                        BF16 => FP32
