Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
25.09,LayerNormDeviceOperation (in0:dram_interleaved),299.95,7,Compute,,,,,
19.92,MatmulDeviceOperation (in0:dram_interleaved),238.14,3,Compute,6.98,11.13,9.68,2.33,9.51
18.44,SparseMatmulDeviceOperation (in0:l1_interleaved),220.45,3,Compute,9.07,19.16,15.78,5.81,17.03
5.60,TransposeDeviceOperation (in0:l1_interleaved),66.90,4,TM,,,,,
4.77,LayerNormDeviceOperation (in0:l1_interleaved),57.04,4,Compute,,,,,
4.71,UnaryDeviceOperation (in0:l1_interleaved),56.30,4,Compute,,,,,
4.04,MatmulDeviceOperation (in0:width_sharded),48.25,2,Compute,33.54,36.83,35.19,2.33,35.67
3.54,SdpaDecodeDeviceOperation (in0:height_sharded),42.32,1,Compute,,,,,
2.34,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),27.92,1,Other,,,,,
2.06,TopKDeviceOperation (in0:dram_interleaved),24.58,1,Other,,,,,
1.84,BinaryNgDeviceOperation (in0:dram_interleaved),22.04,8,Compute,,,,,
1.65,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),19.68,2,DM,,,,,
0.58,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),6.88,4,TM,,,,,
0.57,BinaryNgDeviceOperation (in0:l1_interleaved),6.84,2,Compute,,,,,
0.56,InterleavedToShardedDeviceOperation (in0:dram_interleaved),6.69,8,DM,,,,,
0.47,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),5.58,1,TM,,,,,
0.46,SliceDeviceOperation (in0:dram_interleaved),5.50,5,TM,,,,,
0.44,SoftmaxDeviceOperation (in0:dram_interleaved),5.30,1,Compute,,,,,
0.44,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),5.29,2,Other,,,,,
0.39,TypecastDeviceOperation (in0:dram_interleaved),4.69,3,TM,,,,,
0.37,ShardedToInterleavedDeviceOperation (in0:width_sharded),4.47,3,DM,,,,,
0.33,FillPadDeviceOperation (in0:dram_interleaved),3.93,1,TM,,,,,
0.29,ReshapeViewDeviceOperation (in0:dram_interleaved),3.45,1,TM,,,,,
0.27,UnaryDeviceOperation (in0:dram_interleaved),3.20,2,Compute,,,,,
0.25,ScatterDeviceOperation (in0:dram_interleaved),3.04,1,Other,,,,,
0.21,ReduceDeviceOperation (in0:l1_interleaved),2.46,1,Compute,,,,,
0.16,ShardedToInterleavedDeviceOperation (in0:height_sharded),1.93,3,DM,,,,,
0.11,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.37,1,TM,,,,,
0.11,CopyDeviceOperation (in0:dram_interleaved),1.33,1,DM,,,,,
