Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
56.25,MatmulDeviceOperation (in0:dram_interleaved),6962.42,4,Compute,4.34,4.34,4.34,0.00,4.34
16.44,MatmulDeviceOperation (in0:width_sharded),2034.45,32,Compute,36.74,54.31,46.61,6.49,48.54
9.68,GenericOpDeviceOperation (in0:dram_interleaved),1197.86,4,Other,,,,,
2.59,BinaryNgDeviceOperation (in0:dram_interleaved),320.62,40,Compute,,,,,
2.08,LayerNormDeviceOperation (in0:width_sharded),257.36,36,Compute,,,,,
1.60,AllReduceAsyncDeviceOperation (in0:width_sharded),197.48,16,Other,,,,,
1.57,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),194.28,16,Other,,,,,
1.38,LayerNormDeviceOperation (in0:dram_interleaved),170.81,24,Compute,,,,,
1.20,InterleavedToShardedDeviceOperation (in0:dram_interleaved),148.21,100,DM,,,,,
1.08,ShardedToInterleavedDeviceOperation (in0:width_sharded),133.33,76,DM,,,,,
1.07,SdpaDecodeDeviceOperation (in0:dram_interleaved),132.83,8,Other,,,,,
1.00,UnaryDeviceOperation (in0:dram_interleaved),123.85,12,Compute,,,,,
0.70,AllBroadcastDeviceOperation (in0:dram_interleaved),86.72,8,Other,,,,,
0.50,EmbeddingsDeviceOperation (in0:dram_interleaved),61.79,20,Compute,,,,,
0.47,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),58.03,8,Other,,,,,
0.41,SliceDeviceOperation (in0:dram_interleaved),50.61,24,TM,,,,,
0.39,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),48.65,8,DM,,,,,
0.30,TypecastDeviceOperation (in0:dram_interleaved),37.11,16,TM,,,,,
0.22,ReshardDeviceOperation (in0:width_sharded),26.73,16,DM,,,,,
0.17,PagedFusedUpdateCacheDeviceOperation (in0:dram_interleaved),21.58,4,Other,,,,,
0.17,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),20.83,4,TM,,,,,
0.15,ShardedToInterleavedDeviceOperation (in0:height_sharded),19.13,24,DM,,,,,
0.14,BinaryNgDeviceOperation (in0:width_sharded),17.42,8,Compute,,,,,
0.11,TypecastDeviceOperation (in0:width_sharded),13.95,8,TM,,,,,
0.10,ConcatDeviceOperation (in0:dram_interleaved),12.08,8,TM,,,,,
0.10,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),11.83,8,TM,,,,,
0.05,CopyDeviceOperation (in0:dram_interleaved),6.54,4,DM,,,,,
0.05,PlusOneDeviceOperation (in0:dram_interleaved),6.40,8,Other,,,,,
0.02,CopyDeviceOperation (in0:height_sharded),2.58,4,DM,,,,,
0.01,GenericOpDeviceOperation (in0:height_sharded),1.68,4,Other,,,,,
