Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
68.55,MatmulDeviceOperation (in0:width_sharded),1938.76,16,Compute,36.76,54.26,47.06,4.68,47.79
10.57,GenericOpDeviceOperation (in0:dram_interleaved),299.01,1,Other,,,,,
2.88,BinaryNgDeviceOperation (in0:dram_interleaved),81.42,10,Compute,,,,,
2.26,LayerNormDeviceOperation (in0:width_sharded),63.78,9,Compute,,,,,
1.83,ShardedToInterleavedDeviceOperation (in0:width_sharded),51.90,27,DM,,,,,
1.78,AllReduceAsyncDeviceOperation (in0:width_sharded),50.20,4,Other,,,,,
1.71,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),48.50,4,Other,,,,,
1.51,LayerNormDeviceOperation (in0:dram_interleaved),42.62,6,Compute,,,,,
1.36,InterleavedToShardedDeviceOperation (in0:dram_interleaved),38.49,26,DM,,,,,
1.17,SdpaDecodeDeviceOperation (in0:dram_interleaved),33.14,2,Other,,,,,
1.10,UnaryDeviceOperation (in0:dram_interleaved),31.18,3,Compute,,,,,
0.94,ConcatDeviceOperation (in0:dram_interleaved),26.55,3,TM,,,,,
0.74,AllBroadcastDeviceOperation (in0:dram_interleaved),21.07,2,Other,,,,,
0.55,EmbeddingsDeviceOperation (in0:dram_interleaved),15.47,5,Compute,,,,,
0.51,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),14.48,2,Other,,,,,
0.45,SliceDeviceOperation (in0:dram_interleaved),12.60,6,TM,,,,,
0.44,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),12.31,2,DM,,,,,
0.33,TypecastDeviceOperation (in0:dram_interleaved),9.39,4,TM,,,,,
0.25,ReshardDeviceOperation (in0:width_sharded),7.05,4,DM,,,,,
0.19,PagedFusedUpdateCacheDeviceOperation (in0:dram_interleaved),5.35,1,Other,,,,,
0.18,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),5.22,1,TM,,,,,
0.17,ShardedToInterleavedDeviceOperation (in0:height_sharded),4.81,6,DM,,,,,
0.15,BinaryNgDeviceOperation (in0:width_sharded),4.30,2,Compute,,,,,
0.12,TypecastDeviceOperation (in0:width_sharded),3.40,2,TM,,,,,
0.10,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),2.96,2,TM,,,,,
0.06,CopyDeviceOperation (in0:dram_interleaved),1.61,1,DM,,,,,
0.05,PlusOneDeviceOperation (in0:dram_interleaved),1.54,2,Other,,,,,
0.02,CopyDeviceOperation (in0:height_sharded),0.64,1,DM,,,,,
0.01,GenericOpDeviceOperation (in0:height_sharded),0.42,1,Other,,,,,
