Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
68.31,MatmulDeviceOperation (in0:width_sharded),1935.15,16,Compute,36.69,54.27,47.11,4.77,47.88
10.55,GenericOpDeviceOperation (in0:dram_interleaved),298.93,1,Other,,,,,
2.90,BinaryNgDeviceOperation (in0:dram_interleaved),82.24,10,Compute,,,,,
2.25,LayerNormDeviceOperation (in0:width_sharded),63.74,9,Compute,,,,,
2.08,ShardedToInterleavedDeviceOperation (in0:width_sharded),58.81,27,DM,,,,,
1.77,AllReduceAsyncDeviceOperation (in0:width_sharded),50.28,4,Other,,,,,
1.71,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),48.35,4,Other,,,,,
1.50,LayerNormDeviceOperation (in0:dram_interleaved),42.52,6,Compute,,,,,
1.37,InterleavedToShardedDeviceOperation (in0:dram_interleaved),38.89,26,DM,,,,,
1.16,SdpaDecodeDeviceOperation (in0:dram_interleaved),32.95,2,Other,,,,,
1.10,UnaryDeviceOperation (in0:dram_interleaved),31.05,3,Compute,,,,,
0.92,ConcatDeviceOperation (in0:dram_interleaved),26.04,3,TM,,,,,
0.79,AllBroadcastDeviceOperation (in0:dram_interleaved),22.49,2,Other,,,,,
0.55,EmbeddingsDeviceOperation (in0:dram_interleaved),15.51,5,Compute,,,,,
0.51,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),14.48,2,Other,,,,,
0.45,SliceDeviceOperation (in0:dram_interleaved),12.76,6,TM,,,,,
0.43,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),12.11,2,DM,,,,,
0.33,TypecastDeviceOperation (in0:dram_interleaved),9.24,4,TM,,,,,
0.25,ReshardDeviceOperation (in0:width_sharded),7.04,4,DM,,,,,
0.19,PagedFusedUpdateCacheDeviceOperation (in0:dram_interleaved),5.35,1,Other,,,,,
0.18,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),5.21,1,TM,,,,,
0.17,ShardedToInterleavedDeviceOperation (in0:height_sharded),4.82,6,DM,,,,,
0.15,BinaryNgDeviceOperation (in0:width_sharded),4.38,2,Compute,,,,,
0.12,TypecastDeviceOperation (in0:width_sharded),3.43,2,TM,,,,,
0.10,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),2.97,2,TM,,,,,
0.06,PlusOneDeviceOperation (in0:dram_interleaved),1.66,2,Other,,,,,
0.06,CopyDeviceOperation (in0:dram_interleaved),1.61,1,DM,,,,,
0.02,CopyDeviceOperation (in0:height_sharded),0.64,1,DM,,,,,
0.02,GenericOpDeviceOperation (in0:height_sharded),0.43,1,Other,,,,,
