ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
523,0.14957657619561013,,UntilizeDeviceOperation,3,4.784,,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,91139.0,
527,0.08401176008311131,,EmbeddingsDeviceOperation,3,1.201,1.486,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,95235.0,
528,0.22161345570118826,,TilizeWithValPaddingDeviceOperation,3,5.593,1.495,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,96259.0,
530,0.18687692222432314,,RotaryEmbeddingDeviceOperation,3,4.453,1.524,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,98307.0,
534,0.7336881139226982,,SdpaDecodeDeviceOperation,3,16.399,7.067,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,102403.0,
548,0.07303739172093339,,ShardedToInterleavedDeviceOperation,3,1.733,0.603,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,116739.0,
550,0.08670063666187854,,SliceDeviceOperation,3,2.269,0.504,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,118787.0,
560,0.06922293889989148,,BinaryNgDeviceOperation,3,1.646,0.568,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,129027.0,
561,0.05133878305041635,,PlusOneDeviceOperation,3,0.624,1.018,1,,,,,INT32 => INT32,INT32,INT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,130051.0,
562,0.06697178641534217,,PlusOneDeviceOperation,3,0.628,1.514,1,,,,,UINT32 => UINT32,UINT32,UINT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,131075.0,
566,1.2934434324072315,SLOW,MatmulDeviceOperation 32 x 8192 x 2560,2,40.828,0.541,12,256.82766728715586,50.16165376702263,32.87394141275595,49.54237409088655,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,16,,,88066.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
568,0.2736088248929315,,NLPCreateQKVHeadsDecodeDeviceOperation,2,7.109,1.642,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,90114.0,
571,0.22483385439436301,,TilizeWithValPaddingDeviceOperation,2,5.687,1.504,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,93186.0,
578,0.14829466991968623,,PagedUpdateCacheDeviceOperation,2,3.244,1.499,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,100354.0,
580,0.7343134340572951,,SdpaDecodeDeviceOperation,2,16.381,7.105,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,102402.0,
587,0.07900919900633505,,ShardedToInterleavedDeviceOperation,2,1.964,0.563,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,109570.0,
591,0.0675345745364795,,BinaryNgDeviceOperation,2,1.61,0.55,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,113666.0,
592,0.2729835047583345,,LayerNormDeviceOperation,2,8.04,0.691,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,114690.0,
595,0.08876419310604873,,SliceDeviceOperation,2,2.272,0.567,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,117762.0,
596,0.0858251884734427,,SliceDeviceOperation,2,2.279,0.466,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,118786.0,
597,0.06750330852974964,,InterleavedToShardedDeviceOperation,2,1.599,0.56,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,119810.0,
599,0.42609313971441787,,BinaryNgDeviceOperation,2,13.113,0.515,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,121858.0,
602,0.07691437655543497,,ShardedToInterleavedDeviceOperation,2,1.911,0.549,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,124930.0,
605,0.07950945511401267,,InterleavedToShardedDeviceOperation,2,1.933,0.61,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,128002.0,
610,0.3629045401133877,,LayerNormDeviceOperation,1,7.324,4.283,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,86017.0,
611,0.07979084917458133,,ReshardDeviceOperation,1,1.202,1.35,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,87041.0,
612,1.2926930482457153,SLOW,MatmulDeviceOperation 32 x 8192 x 2560,1,40.812,0.533,12,256.928354405567,50.181319219837306,32.886829363912575,49.56179676033314,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,16,,,88065.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
615,0.16742946603835543,,UntilizeDeviceOperation,1,4.777,0.578,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,91137.0,
617,0.2245524603337943,,TilizeWithValPaddingDeviceOperation,1,5.669,1.513,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,93185.0,
623,0.15113987653210273,,PagedUpdateCacheDeviceOperation,1,3.301,1.533,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,99329.0,
