ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
518,0.036089530341733525,,LayerNormDeviceOperation,3,7.28,,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,86019.0,
519,0.01265612238495133,,ReshardDeviceOperation,3,1.212,1.341,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,87043.0,
524,0.013191516516394629,,EmbeddingsDeviceOperation,3,1.139,1.522,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,92163.0,
525,0.03565328327166861,,TilizeWithValPaddingDeviceOperation,3,5.668,1.524,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,93187.0,
534,0.08752206843177272,,SdpaDecodeDeviceOperation,3,12.271,5.384,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,102403.0,
536,0.009171103177500963,,NLPConcatHeadsDecodeDeviceOperation,3,1.307,0.543,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,104451.0,
538,0.011208575288826853,,ReshardDeviceOperation,3,1.684,0.577,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,106499.0,
545,0.010762413512624101,,BinaryNgDeviceOperation,3,1.674,0.497,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,113667.0,
546,0.043659408477973505,,LayerNormDeviceOperation,3,8.016,0.791,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,114691.0,
548,0.01158037676899581,,ShardedToInterleavedDeviceOperation,3,1.734,0.602,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,116739.0,
549,0.013593062114977104,,SliceDeviceOperation,3,2.208,0.534,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,117763.0,
550,0.013692209176355491,,SliceDeviceOperation,3,2.289,0.473,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,118787.0,
554,0.5367078300065631,SLOW,MatmulDeviceOperation 32 x 7168 x 8192,3,107.661,0.604,12,272.7090404138917,53.26348445583823,34.90675717297814,52.60591057366738,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,7,,,122883.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
559,0.011942263543026929,,InterleavedToShardedDeviceOperation,3,1.867,0.542,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,128003.0,
563,28.128522005708863,,InterleavedToShardedDeviceOperation,2,2.455,5671.646,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,84994.0,
564,0.06003354566461441,,LayerNormDeviceOperation,2,7.311,4.799,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,86018.0,
566,0.205160056757231,SLOW,MatmulDeviceOperation 32 x 8192 x 2560,2,40.85,0.535,12,256.6893512851897,50.134638922888605,32.85623696450428,49.51569276334678,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,16,,,88066.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
573,0.012794928270881077,,EmbeddingsDeviceOperation,2,1.094,1.487,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,95234.0,
575,0.029307871343451725,,RotaryEmbeddingDeviceOperation,2,4.399,1.513,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,97282.0,
578,0.02334913295461056,,PagedUpdateCacheDeviceOperation,2,3.216,1.494,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,100354.0,
586,0.018942046076341177,,ReshardDeviceOperation,2,3.156,0.665,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,108546.0,
592,0.043525559945112674,,LayerNormDeviceOperation,2,7.901,0.879,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,114690.0,
594,0.011560547356720132,,ShardedToInterleavedDeviceOperation,2,1.716,0.616,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,116738.0,
596,0.013652550351804134,,SliceDeviceOperation,2,2.264,0.49,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,118786.0,
598,0.011109428227448462,,InterleavedToShardedDeviceOperation,2,1.519,0.722,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,120834.0,
599,0.06791573704419632,,BinaryNgDeviceOperation,2,13.117,0.583,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,121858.0,
601,0.019249401966614184,,ReshardDeviceOperation,2,3.213,0.67,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,123906.0,
