Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
51.83,MatmulDeviceOperation (in0:width_sharded),522.38,4,Compute,49.53,49.58,49.56,0.02,49.56
11.97,TopKDeviceOperation (in0:l1_interleaved),120.66,1,Other,,,,,
11.58,MatmulDeviceOperation (in0:l1_interleaved),116.73,5,Compute,7.55,20.74,11.34,5.34,10.72
2.99,AllReduceAsyncDeviceOperation (in0:width_sharded),30.09,2,Other,,,,,
2.70,SamplingDeviceOperation (in0:dram_interleaved),27.21,1,Other,,,,,
1.80,ManualSeedDeviceOperation (in0:dram_interleaved),18.18,1,Other,,,,,
1.63,AllGatherDeviceOperation (in0:l1_interleaved),16.43,2,Other,,,,,
1.55,LayerNormDeviceOperation (in0:width_sharded),15.63,2,Compute,,,,,
1.24,ShardedToInterleavedDeviceOperation (in0:width_sharded),12.53,8,DM,,,,,
1.22,AllGatherAsyncDeviceOperation (in0:dram_interleaved),12.28,1,Other,,,,,
1.12,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),11.29,2,TM,,,,,
0.98,SdpaDecodeDeviceOperation (in0:dram_interleaved),9.89,1,Other,,,,,
0.88,BinaryNgDeviceOperation (in0:l1_interleaved),8.92,1,Compute,,,,,
0.85,LayerNormDeviceOperation (in0:block_sharded),8.54,1,Compute,,,,,
0.83,EmbeddingsDeviceOperation (in0:dram_interleaved),8.33,3,Compute,,,,,
0.76,BinaryNgDeviceOperation (in0:width_sharded),7.70,3,Compute,,,,,
0.76,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),7.64,2,DM,,,,,
0.66,FillPadDeviceOperation (in0:block_sharded),6.60,1,TM,,,,,
0.50,ConcatDeviceOperation (in0:l1_interleaved),5.09,1,TM,,,,,
0.46,ReshardDeviceOperation (in0:width_sharded),4.64,3,DM,,,,,
0.44,UntilizeDeviceOperation (in0:dram_interleaved),4.48,1,TM,,,,,
0.43,TypecastDeviceOperation (in0:l1_interleaved),4.36,1,TM,,,,,
0.43,TransposeDeviceOperation (in0:dram_interleaved),4.34,2,TM,,,,,
0.40,InterleavedToShardedDeviceOperation (in0:dram_interleaved),3.99,4,DM,,,,,
0.38,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),3.82,2,Other,,,,,
0.27,ReshardDeviceOperation (in0:block_sharded),2.70,1,DM,,,,,
0.26,BinaryNgDeviceOperation (in0:dram_interleaved),2.58,1,Compute,,,,,
0.22,SliceDeviceOperation (in0:dram_interleaved),2.21,1,TM,,,,,
0.20,NLPCreateQKVHeadsDecodeDeviceOperation (in0:width_sharded),2.03,1,Other,,,,,
0.20,TypecastDeviceOperation (in0:dram_interleaved),2.02,1,TM,,,,,
0.14,SliceDeviceOperation (in0:width_sharded),1.44,1,TM,,,,,
0.13,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.31,1,TM,,,,,
0.13,PlusOneDeviceOperation (in0:dram_interleaved),1.28,2,Other,,,,,
0.06,ShardedToInterleavedDeviceOperation (in0:height_sharded),0.58,1,DM,,,,,
