Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
78.85,MatmulDeviceOperation (in0:dram_interleaved),30272.57,72,Compute,4.14,7.10,5.04,1.15,4.54
17.21,LayerNormDeviceOperation (in0:dram_interleaved),6606.94,48,Compute,,,,,
1.47,SdpaDecodeDeviceOperation (in0:height_sharded),563.39,12,Compute,,,,,
0.78,BinaryNgDeviceOperation (in0:dram_interleaved),297.83,48,Compute,,,,,
0.40,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),153.29,12,Other,,,,,
0.37,UnaryDeviceOperation (in0:dram_interleaved),141.02,24,Compute,,,,,
0.26,LayerNormDeviceOperation (in0:l1_interleaved),98.54,24,Compute,,,,,
0.22,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),85.78,24,DM,,,,,
0.15,BinaryNgDeviceOperation (in0:height_sharded),58.12,12,Compute,,,,,
0.07,CopyDeviceOperation (in0:dram_interleaved),25.93,12,DM,,,,,
0.06,SliceDeviceOperation (in0:dram_interleaved),22.92,12,TM,,,,,
0.05,ShardedToInterleavedDeviceOperation (in0:width_sharded),18.33,12,DM,,,,,
0.04,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),16.05,12,TM,,,,,
0.04,ShardedToInterleavedDeviceOperation (in0:height_sharded),13.98,24,DM,,,,,
0.03,InterleavedToShardedDeviceOperation (in0:l1_interleaved),11.48,24,DM,,,,,
0.02,InterleavedToShardedDeviceOperation (in0:dram_interleaved),6.92,12,DM,,,,,
