Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
74.55,MatmulDeviceOperation (in0:dram_interleaved),75462.78,6,Compute,31.47,70.40,44.48,19.07,34.55
11.69,SDPAOperation (in0:dram_interleaved),11837.52,1,Compute,,,,,
5.16,BinaryNgDeviceOperation (in0:dram_interleaved),5220.55,10,Compute,,,,,
4.06,LayerNormDeviceOperation (in0:dram_interleaved),4111.90,6,Compute,,,,,
2.84,UnaryDeviceOperation (in0:dram_interleaved),2870.58,4,Compute,,,,,
0.48,SliceDeviceOperation (in0:dram_interleaved),488.16,7,TM,,,,,
0.42,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),426.46,1,TM,,,,,
0.36,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),368.44,1,TM,,,,,
0.36,ConcatDeviceOperation (in0:dram_interleaved),361.72,2,TM,,,,,
0.04,PagedFillCacheDeviceOperation (in0:dram_interleaved),42.89,2,Other,,,,,
0.04,TilizeDeviceOperation (in0:dram_interleaved),37.71,2,TM,,,,,
