Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
94.04,MatmulDeviceOperation (in0:dram_interleaved),20216.41,48,Compute,4.15,7.09,5.04,1.16,4.53
1.92,LayerNormDeviceOperation (in0:width_sharded),413.37,32,Compute,,,,,
1.33,SdpaDecodeDeviceOperation (in0:height_sharded),286.12,8,Compute,,,,,
0.74,BinaryNgDeviceOperation (in0:dram_interleaved),160.09,16,Compute,,,,,
0.48,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),102.46,8,Other,,,,,
0.32,ShardedToInterleavedDeviceOperation (in0:width_sharded),67.95,32,DM,,,,,
0.28,InterleavedToShardedDeviceOperation (in0:dram_interleaved),59.56,32,DM,,,,,
0.28,LayerNormDeviceOperation (in0:l1_interleaved),59.44,16,Compute,,,,,
0.27,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),57.14,16,DM,,,,,
0.15,BinaryNgDeviceOperation (in0:width_sharded),32.98,16,Compute,,,,,
0.07,SliceDeviceOperation (in0:dram_interleaved),15.26,8,TM,,,,,
0.05,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),10.53,8,TM,,,,,
0.04,ShardedToInterleavedDeviceOperation (in0:height_sharded),8.92,16,DM,,,,,
0.04,InterleavedToShardedDeviceOperation (in0:l1_interleaved),7.88,16,DM,,,,,
