ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
67,1.8268598018729936,,LayerNormDeviceOperation,3,877.284,,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,66563.0
68,4.437613557400293,FLOP,MinimalMatmulDeviceOperation 8192 x 6656 x 4608,3,2130.462,0.543,110.0,115.4167837774154,22.542340581526446,235.86957835061128,77.55602192189185,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,67587.0
69,0.6923493868434,,NlpCreateHeadsDeviceOperation,3,331.913,0.563,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,68611.0
70,0.7229836336156579,,LayerNormDeviceOperation,3,346.609,0.578,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,69635.0
71,0.043426455182425994,,LayerNormDeviceOperation,3,20.27,0.584,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,70659.0
72,0.003188160683048537,,SliceDeviceOperation,3,0.87,0.661,1,,,,,INT32 => INT32,INT32,INT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,71683.0
73,0.039888450609924714,,PagedFillCacheDeviceOperation,3,18.614,0.541,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,72707.0
74,0.039846802527847,,PagedFillCacheDeviceOperation,3,18.539,0.596,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,73731.0
75,14.766281687761037,,SDPAOperation,3,7090.386,0.592,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,74755.0
76,0.7690797308592652,,NLPConcatHeadsDeviceOperation,3,368.819,0.504,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,75779.0
77,3.8936708638284925,FLOP,MinimalMatmulDeviceOperation 8192 x 6656 x 4096,3,1869.292,0.504,110.0,123.4086060390779,24.1032433670074,238.954961977048,78.57052358778147,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,76803.0
78,1.0524511989118854,,BinaryNgDeviceOperation,3,504.81,0.592,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,77827.0
79,4.063428446377229,FLOP,MinimalMatmulDeviceOperation 8192 x 4096 x 6656,3,1950.823,0.493,110.0,118.25097407606943,23.09589337423231,228.968286094638,75.28681545094105,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,78851.0
80,1.8109148336495426,,LayerNormDeviceOperation,3,869.02,0.607,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,79875.0
81,1.2663744900999283,,BinaryNgDeviceOperation,3,607.59,0.541,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,80899.0
82,1.8270909487285245,,LayerNormDeviceOperation,3,876.838,0.557,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,81923.0
83,18.32275093745147,FLOP,MinimalMatmulDeviceOperation 8192 x 6656 x 19968,3,8798.285,0.56,110.0,79.79073558085466,15.584128043135676,247.4969177597679,81.37919486524355,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,82947.0
84,18.372691152670857,FLOP,MinimalMatmulDeviceOperation 8192 x 6656 x 19968,3,8822.243,0.584,110.0,79.57405299309937,15.541807225214722,246.824806239411,81.15819860039556,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,83971.0
85,5.268476135617733,,BinaryNgDeviceOperation,3,2529.404,0.593,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,84995.0
86,17.757070027439216,FLOP,MinimalMatmulDeviceOperation 8192 x 19968 x 6656,3,8526.698,0.499,110.0,82.33217970191977,16.080503848031206,255.38003328744605,83.97123358830692,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,86019.0
87,1.7856594366776206,,LayerNormDeviceOperation,3,856.915,0.584,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,87043.0
88,1.237903861191607,,BinaryNgDeviceOperation,3,593.93,0.529,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,88067.0
