Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
57.54,MatmulDeviceOperation (in0:dram_interleaved),483.16,6,Compute,39.31,50.86,45.31,3.96,43.88
8.96,LayerNormDeviceOperation (in0:width_sharded),75.24,4,Compute,,,,,
7.08,BinaryNgDeviceOperation (in0:dram_interleaved),59.45,4,Compute,,,,,
5.93,ReduceScatterDeviceOperation (in0:dram_interleaved),49.76,2,DM,,,,,
5.14,AllGatherDeviceOperation (in0:dram_interleaved),43.13,2,DM,,,,,
3.54,SDPAOperation (in0:dram_interleaved),29.75,1,Compute,,,,,
2.36,ShardedToInterleavedDeviceOperation (in0:width_sharded),19.81,4,DM,,,,,
2.07,InterleavedToShardedDeviceOperation (in0:dram_interleaved),17.39,4,DM,,,,,
2.07,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),17.38,1,TM,,,,,
1.99,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),16.75,2,Other,,,,,
1.64,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),13.79,1,TM,,,,,
1.10,LayerNormDeviceOperation (in0:dram_interleaved),9.21,2,Compute,,,,,
0.25,TypecastDeviceOperation (in0:dram_interleaved),2.12,2,TM,,,,,
0.23,PagedFillCacheDeviceOperation (in0:dram_interleaved),1.97,2,Other,,,,,
0.10,SliceDeviceOperation (in0:dram_interleaved),0.87,1,TM,,,,,
