ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
142,0.013328188683605751,,InterleavedToShardedDeviceOperation,3,1.714,,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,73731.0
143,0.1029007706243611,,LayerNormDeviceOperation,3,8.694,4.539,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,74755.0
144,0.45029682047271985,SLOW,MatmulDeviceOperation 32 x 6656 x 4608,3,57.288,0.62,12,267.6899874319229,52.28320067029743,34.26431839128613,51.637729057083895,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,13,,,75779.0
145,0.40748176394300384,SLOW,MatmulDeviceOperation 32 x 6656 x 4096,3,51.827,0.575,12,263.0190441275783,51.37090705616764,33.66643764833002,50.73669832707915,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,13,,,76803.0
146,0.01780720658428073,,ShardedToInterleavedDeviceOperation,3,1.701,0.589,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,77827.0
147,0.11282303944599524,,NLPCreateQKVHeadsDecodeDeviceOperation,3,12.799,1.71,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,78851.0
148,0.01684297356399653,,ShardedToInterleavedDeviceOperation,3,0.621,1.545,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,79875.0
149,0.04357711165865031,,LayerNormDeviceOperation,3,4.088,1.516,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,80899.0
150,0.015769875525293152,,InterleavedToShardedDeviceOperation,3,0.493,1.535,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,81923.0
151,0.016088694507806475,,ShardedToInterleavedDeviceOperation,3,0.564,1.505,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,82947.0
152,0.04398924351409436,,LayerNormDeviceOperation,3,4.127,1.53,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,83971.0
153,0.015591025852175922,,InterleavedToShardedDeviceOperation,3,0.484,1.521,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,84995.0
154,0.041671973836314595,,BinaryNgDeviceOperation,3,4.844,0.515,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,86019.0
