Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
83.62,MatmulDeviceOperation (in0:width_sharded),10379.43,72,Compute,49.63,55.88,52.71,2.17,53.96
4.30,SdpaDecodeDeviceOperation (in0:height_sharded),533.76,12,Compute,,,,,
3.75,BinaryNgDeviceOperation (in0:width_sharded),465.60,48,Compute,,,,,
3.58,LayerNormDeviceOperation (in0:width_sharded),444.37,48,Compute,,,,,
1.24,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),154.06,12,Other,,,,,
0.79,LayerNormDeviceOperation (in0:l1_interleaved),98.47,24,Compute,,,,,
0.68,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),84.82,24,DM,,,,,
0.68,ReshardDeviceOperation (in0:width_sharded),84.19,48,DM,,,,,
0.47,BinaryNgDeviceOperation (in0:height_sharded),58.08,12,Compute,,,,,
0.19,SliceDeviceOperation (in0:width_sharded),23.09,12,TM,,,,,
0.17,InterleavedToShardedDeviceOperation (in0:dram_interleaved),20.63,12,DM,,,,,
0.15,ShardedToInterleavedDeviceOperation (in0:width_sharded),18.42,12,DM,,,,,
0.14,InterleavedToShardedDeviceOperation (in0:l1_interleaved),17.66,36,DM,,,,,
0.13,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),15.85,12,TM,,,,,
0.11,ShardedToInterleavedDeviceOperation (in0:height_sharded),14.01,24,DM,,,,,
