Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
82.36,MatmulDeviceOperation (in0:width_sharded),10379.24,72,Compute,49.54,55.89,52.71,2.17,53.96
3.72,BinaryNgDeviceOperation (in0:width_sharded),468.99,48,Compute,,,,,
3.54,SdpaDecodeDeviceOperation (in0:height_sharded),446.74,12,Compute,,,,,
3.53,LayerNormDeviceOperation (in0:width_sharded),445.25,48,Compute,,,,,
1.22,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),154.19,12,Other,,,,,
1.07,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),134.63,24,TM,,,,,
0.78,LayerNormDeviceOperation (in0:l1_interleaved),98.73,24,Compute,,,,,
0.68,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),85.33,24,DM,,,,,
0.67,ReshardDeviceOperation (in0:width_sharded),84.32,48,DM,,,,,
0.46,BinaryNgDeviceOperation (in0:height_sharded),58.23,12,Compute,,,,,
0.41,TransposeDeviceOperation (in0:dram_interleaved),51.69,24,TM,,,,,
0.36,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),45.18,24,Other,,,,,
0.33,InterleavedToShardedDeviceOperation (in0:dram_interleaved),41.22,48,DM,,,,,
0.21,EmbeddingsDeviceOperation (in0:dram_interleaved),26.39,24,Compute,,,,,
0.18,SliceDeviceOperation (in0:width_sharded),23.13,12,TM,,,,,
0.15,ShardedToInterleavedDeviceOperation (in0:width_sharded),18.34,12,DM,,,,,
0.13,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),16.00,12,TM,,,,,
0.11,ShardedToInterleavedDeviceOperation (in0:height_sharded),13.87,24,DM,,,,,
0.09,InterleavedToShardedDeviceOperation (in0:l1_interleaved),11.40,24,DM,,,,,
