Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
48.70,MatmulDeviceOperation (in0:width_sharded),2032.03,48,Compute,30.82,51.99,42.70,9.28,47.23
23.16,SdpaDecodeDeviceOperation (in0:height_sharded),966.29,8,Compute,,,,,
6.63,LayerNormDeviceOperation (in0:width_sharded),276.44,32,Compute,,,,,
6.25,ReduceScatterDeviceOperation (in0:width_sharded),260.59,16,DM,,,,,
5.04,BinaryNgDeviceOperation (in0:width_sharded),210.42,32,Compute,,,,,
4.77,AllGatherDeviceOperation (in0:dram_interleaved),198.86,16,DM,,,,,
1.44,LayerNormDeviceOperation (in0:l1_interleaved),59.99,16,Compute,,,,,
1.12,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),46.63,16,DM,,,,,
0.69,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),28.64,8,Other,,,,,
0.68,InterleavedToShardedDeviceOperation (in0:dram_interleaved),28.47,24,DM,,,,,
0.55,ShardedToInterleavedDeviceOperation (in0:width_sharded),22.95,16,DM,,,,,
0.32,SliceDeviceOperation (in0:dram_interleaved),13.47,8,TM,,,,,
0.24,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),10.15,8,TM,,,,,
0.22,ShardedToInterleavedDeviceOperation (in0:height_sharded),9.12,16,DM,,,,,
0.19,InterleavedToShardedDeviceOperation (in0:l1_interleaved),8.10,16,DM,,,,,
