ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1011,0.044620183736794765,,InterleavedToShardedDeviceOperation,3,1.624,,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,79875.0,
1018,0.0558576561187831,,InterleavedToShardedDeviceOperation,3,0.527,1.506,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,87043.0,
1020,0.1434769701191763,,LayerNormDeviceOperation,3,3.765,1.457,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,89091.0,
1022,0.11822700161294819,,PagedUpdateCacheDeviceOperation,3,2.833,1.47,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,91139.0,
1032,0.5995150302566883,SLOW,MatmulDeviceOperation 32 x 1024 x 6656,3,21.259,0.561,12,320.60510842466715,62.618185239192805,20.5187269391787,30.922560611947063,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,2,,,101379.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1037,0.25552198814790106,,LayerNormDeviceOperation,3,8.667,0.633,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,106499.0,
1040,0.5098900060267471,,BinaryNgDeviceOperation,3,17.963,0.595,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,109571.0,
1041,1.7710696081735164,SLOW,MatmulDeviceOperation 32 x 5120 x 6656,3,63.889,0.571,12,266.7025622564135,52.090344190705764,34.137927968820925,51.4472535216847,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,10,,,110595.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1047,0.3544337254954757,,LayerNormDeviceOperation,2,7.801,5.099,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,80898.0,
1050,0.1416910637504006,,NLPCreateQKVHeadsDecodeDeviceOperation,2,3.563,1.594,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,83970.0,
1051,0.05580270515359001,,ShardedToInterleavedDeviceOperation,2,0.553,1.478,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,84994.0,
1054,0.05670939607927611,,ShardedToInterleavedDeviceOperation,2,0.596,1.468,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,88066.0,
1061,0.04970314801715623,,NLPConcatHeadsDecodeDeviceOperation,2,1.259,0.55,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,95234.0,
1065,0.05203856403786287,,InterleavedToShardedDeviceOperation,2,1.316,0.578,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,99330.0,
1079,0.256923237760325,,LayerNormDeviceOperation,2,8.792,0.559,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,113666.0,
1080,0.06335846286764084,,BinaryNgDeviceOperation,2,1.845,0.461,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,114690.0,
1085,0.14229552436752468,,NLPCreateQKVHeadsDecodeDeviceOperation,1,3.581,1.598,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,83969.0,
1087,0.1438341513929314,,LayerNormDeviceOperation,1,3.756,1.479,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,86017.0,
1088,0.05632473932292442,,InterleavedToShardedDeviceOperation,1,0.525,1.525,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,87041.0,
1090,0.14438366104486236,,LayerNormDeviceOperation,1,3.779,1.476,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,89089.0,
1095,0.059127238547772375,,InterleavedToShardedDeviceOperation,1,0.633,1.519,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,94209.0,
1096,0.04995042736052517,,NLPConcatHeadsDecodeDeviceOperation,1,1.256,0.562,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,95233.0,
1102,0.6001469663564089,SLOW,MatmulDeviceOperation 32 x 1024 x 6656,1,21.29,0.553,12,320.13828088304365,62.527007984969465,20.488849976514793,30.877534807392326,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,2,,,101377.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1107,0.25472519915260117,,LayerNormDeviceOperation,1,8.644,0.627,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,106497.0,
1110,0.5085437073795162,,BinaryNgDeviceOperation,1,17.974,0.535,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,109569.0,
1117,0.3539666422913343,,LayerNormDeviceOperation,0,7.812,5.071,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,80896.0,
1120,0.1420757205067523,,NLPCreateQKVHeadsDecodeDeviceOperation,0,3.579,1.592,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,83968.0,
1122,0.143312117223597,,LayerNormDeviceOperation,0,3.759,1.457,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,86016.0,
1133,0.062396820976761636,,SliceDeviceOperation,0,1.689,0.582,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,97280.0,
1135,0.05242322079421454,,InterleavedToShardedDeviceOperation,0,1.318,0.59,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,99328.0,
1138,0.40996854469374927,,ReduceScatterDeviceOperation,0,14.31725,0.604,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,102400.0,
1139,0.3765308823737497,,AllGatherDeviceOperation,0,12.33725,1.367,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,103424.0,
1140,0.25766507579043185,,LayerNormDeviceOperation,0,8.836,0.542,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,104448.0,
1141,0.0626441003201306,,BinaryNgDeviceOperation,0,1.776,0.504,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,105472.0,
