Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
59.50,MatmulDeviceOperation (in0:dram_interleaved),483.38,6,Compute,39.33,50.73,45.25,3.89,43.86
9.30,LayerNormDeviceOperation (in0:width_sharded),75.53,4,Compute,,,,,
7.33,BinaryNgDeviceOperation (in0:dram_interleaved),59.55,4,Compute,,,,,
6.17,AllGatherAsyncDeviceOperation (in0:dram_interleaved),50.16,2,Other,,,,,
5.02,ReduceScatterMinimalAsyncDeviceOperation (in0:dram_interleaved),40.81,2,Other,,,,,
2.49,SDPAOperation (in0:dram_interleaved),20.22,1,Compute,,,,,
2.39,ShardedToInterleavedDeviceOperation (in0:width_sharded),19.43,4,DM,,,,,
2.18,InterleavedToShardedDeviceOperation (in0:dram_interleaved),17.73,4,DM,,,,,
2.17,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),17.60,1,TM,,,,,
1.73,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),14.08,1,TM,,,,,
1.09,LayerNormDeviceOperation (in0:dram_interleaved),8.85,2,Compute,,,,,
0.27,TypecastDeviceOperation (in0:dram_interleaved),2.18,2,TM,,,,,
0.25,PagedFillCacheDeviceOperation (in0:dram_interleaved),2.04,2,Other,,,,,
0.11,SliceDeviceOperation (in0:dram_interleaved),0.90,1,TM,,,,,
