Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
57.94,MatmulDeviceOperation (in0:width_sharded),2027.72,48,Compute,30.66,52.05,42.82,9.23,47.33
7.71,LayerNormDeviceOperation (in0:width_sharded),269.90,32,Compute,,,,,
6.69,ReduceScatterDeviceOperation (in0:width_sharded),233.99,16,DM,,,,,
5.96,BinaryNgDeviceOperation (in0:width_sharded),208.62,32,Compute,,,,,
5.50,AllGatherDeviceOperation (in0:dram_interleaved),192.41,16,DM,,,,,
4.46,SdpaDecodeDeviceOperation (in0:height_sharded),156.01,8,Compute,,,,,
2.59,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),90.55,16,TM,,,,,
1.71,LayerNormDeviceOperation (in0:l1_interleaved),59.69,16,Compute,,,,,
1.34,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),46.99,16,DM,,,,,
1.09,InterleavedToShardedDeviceOperation (in0:dram_interleaved),38.19,40,DM,,,,,
0.97,TransposeDeviceOperation (in0:dram_interleaved),33.82,16,TM,,,,,
0.91,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),31.68,16,Other,,,,,
0.83,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),28.89,8,Other,,,,,
0.65,ShardedToInterleavedDeviceOperation (in0:width_sharded),22.64,16,DM,,,,,
0.51,EmbeddingsDeviceOperation (in0:dram_interleaved),17.90,16,Compute,,,,,
0.39,SliceDeviceOperation (in0:dram_interleaved),13.65,8,TM,,,,,
0.29,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),9.98,8,TM,,,,,
0.26,ShardedToInterleavedDeviceOperation (in0:height_sharded),9.14,16,DM,,,,,
0.23,InterleavedToShardedDeviceOperation (in0:l1_interleaved),8.09,16,DM,,,,,
