ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1235,0.04059115946719505,,InterleavedToShardedDeviceOperation,3,1.611,,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,86019.0,
1247,0.17982563942729424,,TilizeWithValPaddingDeviceOperation,3,5.675,1.462,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,98307.0,
1251,0.17748238813589196,,TilizeWithValPaddingDeviceOperation,3,5.636,1.408,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,102403.0,
1253,0.05197986466841923,,InterleavedToShardedDeviceOperation,3,0.59,1.473,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,104451.0,
1266,0.5517978847495788,SLOW,MatmulDeviceOperation 32 x 1024 x 6656,3,21.334,0.566,12,319.47801631199025,62.398050060935596,20.446593043967376,30.813851881943506,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,2,,,117763.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1272,1.6044468358485702,SLOW,MatmulDeviceOperation 32 x 6656 x 5120,3,63.148,0.53,12,269.83214036865775,52.701589915753466,34.538513967188194,52.050953003213294,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,13,,,123907.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1275,1.6196149786165723,SLOW,MatmulDeviceOperation 32 x 5120 x 6656,3,63.706,0.574,12,267.4686842683578,52.23997739616363,34.23599158634979,51.595039403618394,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,10,,,126979.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1282,0.5583489098653273,DRAM,MatmulDeviceOperation 32 x 6656 x 1280,2,21.697,0.463,12,392.6662672258837,76.69263031755541,25.130641102456558,37.8729038605212,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,13,,,88066.0,Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1283,0.05082083714794067,,ShardedToInterleavedDeviceOperation,2,1.473,0.544,14,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,89090.0,
1289,0.13162521232565297,,LayerNormDeviceOperation,2,3.76,1.464,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,95234.0,
