GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
1027,,,3,blackhole,,96,110,,,406,15307,15000268016280,15000268036944,14388,15000268017368,15000268036792,14388,15000268017368,15000268036792,14388,14001,14030,268,14064,,0,0
2051,,,3,blackhole,,8,110,,,102,1470,15000470665270,15000470667255,969,15000470665793,15000470667101,969,15000470665793,15000470667101,925,961,,,,,150112769,150112769
3075,,,3,blackhole,,8,110,,,367,6763,15000481510401,15000481519531,5807,15000481511521,15000481519361,5741,15000481511610,15000481519361,4161,5229,5730,5500,5676,,8032340,8032296
4099,,,3,blackhole,,80,110,,,195,54890,15000487533352,15000487607454,54296,15000487534005,15000487607305,54279,15000487534029,15000487607305,54223,41567,52847,52799,53051,,4455268,4455349
5123,,,3,blackhole,,32,110,,,247,21865,15000490418982,15000490448500,20922,15000490420080,15000490448325,20922,15000490420080,15000490448325,19511,20916,,,,,2083515,2083515
6147,,,3,blackhole,,1,110,,,34,1408,15000495681178,15000495683079,861,15000495681765,15000495682927,860,15000495681766,15000495682927,827,408,504,141,207,,3877790,3876623
7171,,,3,blackhole,,1,110,,,63,3001,15000501206634,15000501210686,2460,15000501207217,15000501210538,2459,15000501207218,15000501210538,2397,1741,1809,110,1854,,4092067,4091636
8195,,,3,blackhole,,1,110,,,44,2981,15000501354175,15000501358199,2445,15000501354751,15000501358052,2445,15000501354751,15000501358052,2401,1730,1807,111,1855,,106816,106816
9219,,,3,blackhole,,110,110,,,278,3816,15000504155270,15000504160421,3221,15000504155920,15000504160269,3221,15000504155920,15000504160269,3210,933,,,,,2072185,2072185
10243,,,3,blackhole,,110,110,,,167,3813,15000504323351,15000504328498,3221,15000504323997,15000504328345,3221,15000504323997,15000504328345,3220,933,,,,,121290,121290
11267,,,3,blackhole,,32,110,,,168,1901,15000506294227,15000506296793,959,15000506295332,15000506296627,959,15000506295332,15000506296627,959,943,,,,,1456634,1456634
12291,,,3,blackhole,,32,110,,,165,1902,15000506407345,15000506409913,973,15000506408455,15000506409768,973,15000506408455,15000506409768,973,956,,,,,82870,82870
13315,,,3,blackhole,,64,110,,,130,2130,15000509050748,15000509053623,1124,15000509051956,15000509053473,1124,15000509051956,15000509053473,1124,844,,,,,1957692,1957692
14339,,,3,blackhole,,32,110,,,207,3700,15000514360974,15000514365969,2764,15000514362091,15000514365823,2763,15000514362093,15000514365823,2755,208,411,416,888,,3931677,3932364
15363,,,3,blackhole,,110,110,,,170,2850,15000517343455,15000517347302,2273,15000517344088,15000517347156,2273,15000517344088,15000517347156,2273,1538,,,,,2206518,2206518
16387,,,3,blackhole,,32,110,,,123,4704,15000522637419,15000522643769,3742,15000522638576,15000522643628,3741,15000522638577,15000522643628,3741,3030,2931,202,533,,3919338,3919067
17411,,,3,blackhole,,110,110,,,176,1831,15000527983279,15000527985751,1247,15000527983920,15000527985604,1245,15000527983923,15000527985604,1206,643,684,748,386,,3954480,3955186
