GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
1027,,,3,blackhole,,96,110,,,390,15194,14610693318578,14610693339090,14273,14610693319669,14610693338937,14270,14610693319672,14610693338937,14270,13902,13933,262,13968,,0,0
2051,,,3,blackhole,,8,110,,,103,1470,14610904280330,14610904282315,979,14610904280847,14610904282168,979,14610904280847,14610904282168,934,965,,,,,156330151,156330151
3075,,,3,blackhole,,8,110,,,379,6661,14610915866922,14610915875915,5700,14610915868038,14610915875733,5639,14610915868121,14610915875733,4171,5102,5640,5392,5579,,8582126,8582920
4099,,,3,blackhole,,80,110,,,203,54878,14610921814044,14610921888129,54293,14610921814686,14610921887981,54274,14610921814711,14610921887981,54221,41548,52828,52781,53051,,4399257,4399237
5123,,,3,blackhole,,32,110,,,250,21407,14610924793533,14610924822433,20457,14610924794644,14610924822261,20457,14610924794644,14610924822261,19276,20456,,,,,2153080,2153080
6147,,,3,blackhole,,1,110,,,28,1409,14610930204383,14610930206285,864,14610930204967,14610930206133,855,14610930204979,14610930206133,836,403,509,144,210,,3988557,3988062
7171,,,3,blackhole,,1,110,,,71,2970,14610935614753,14610935618762,2432,14610935615331,14610935618614,2430,14610935615333,14610935618614,2361,1713,1780,110,1822,,4007057,4006204
8195,,,3,blackhole,,1,110,,,19,2999,14610935789043,14610935793092,2445,14610935789644,14610935792945,2445,14610935789644,14610935792945,2427,1730,1799,110,1876,,126679,126679
9219,,,3,blackhole,,110,110,,,273,3811,14610938538264,14610938543409,3221,14610938538905,14610938543254,3221,14610938538905,14610938543254,3198,939,,,,,2033740,2033740
10243,,,3,blackhole,,110,110,,,165,3826,14610938705273,14610938710438,3213,14610938705944,14610938710282,3213,14610938705944,14610938710282,3207,926,,,,,120499,120499
11267,,,3,blackhole,,32,110,,,171,1979,14610941104293,14610941106965,1039,14610941105415,14610941106817,1039,14610941105415,14610941106817,1039,199,,,,,1774995,1774995
12291,,,3,blackhole,,64,110,,,131,2224,14610943645501,14610943648503,1241,14610943646687,14610943648362,1241,14610943646687,14610943648362,1241,816,,,,,1881778,1881778
13315,,,3,blackhole,,32,110,,,221,4515,14610949122237,14610949128332,3584,14610949123338,14610949128176,3583,14610949123339,14610949128176,3583,1467,1516,1521,1844,,4055873,4055580
14339,,,3,blackhole,,110,110,,,161,7259,14610951984511,14610951994310,6673,14610951985157,14610951994165,6673,14610951985157,14610951994165,6667,5984,,,,,2116411,2116411
15363,,,3,blackhole,,32,110,,,115,4853,14610957368668,14610957375219,3882,14610957369830,14610957375071,3882,14610957369830,14610957375071,3882,3183,3097,207,518,,3981746,3981746
16387,,,3,blackhole,,110,110,,,181,2070,14610962914867,14610962917661,1477,14610962915521,14610962917515,1477,14610962915521,14610962917515,1435,837,873,937,382,,4103934,4103934
17411,,,3,blackhole,,32,110,,,110,11188,14610968275370,14610968290474,10219,14610968276531,14610968290327,10219,14610968276531,14610968290327,10217,1355,1401,1399,1671,,3969541,3969541
18435,,,3,blackhole,,32,110,,,114,11115,14610968400279,14610968415284,10145,14610968401439,14610968415135,10145,14610968401439,14610968415135,10145,1290,1336,1339,1614,,82304,82304
19459,,,3,blackhole,,64,110,,,139,7040,14610973848414,14610973857918,6036,14610973849621,14610973857770,6036,14610973849621,14610973857770,6036,4254,4481,4392,4792,,4025348,4025348
20483,,,3,blackhole,,64,110,,,142,7068,14610973969912,14610973979454,6072,14610973971109,14610973979306,6072,14610973971109,14610973979306,6067,4268,4507,4408,4847,,83957,83957
21507,,,3,blackhole,,110,110,,,167,12864,14610976673049,14610976690416,12266,14610976673708,14610976690267,12266,14610976673708,14610976690267,12261,11974,,,,,1995865,1995865
22531,,,3,blackhole,,96,110,,,180,9350,14610979477242,14610979489864,8305,14610979478502,14610979489714,8305,14610979478502,14610979489714,8305,6415,6636,6547,6944,,2065313,2065313
23555,,,3,blackhole,,32,110,,,121,4577,14610984089378,14610984095557,3601,14610984090547,14610984095408,3600,14610984090548,14610984095408,3600,2532,2461,202,2541,,3408270,3408025
24579,,,3,blackhole,,110,110,,,202,3507,14610989787182,14610989791916,2913,14610989787836,14610989791768,2898,14610989787856,14610989791768,2861,1647,1905,2460,1828,,4217203,4216952
25603,,,3,blackhole,,110,110,,,185,3527,14610990005745,14610990010507,2943,14610990006387,14610990010360,2930,14610990006405,14610990010360,2893,1678,1932,2491,1839,,158979,159010
26627,,,3,blackhole,,110,110,,,177,2729,14610995146154,14610995149838,2152,14610995146784,14610995149689,2152,14610995146784,14610995149689,2122,1723,1727,274,399,,3805020,3805020
27651,,,3,blackhole,,32,110,,,173,1902,14610995325634,14610995328202,969,14610995326742,14610995328050,969,14610995326742,14610995328050,969,198,,,,,131165,131165
28675,,,3,blackhole,,64,110,,,127,2210,14610995458897,14610995461880,1212,14610995460102,14610995461738,1212,14610995460102,14610995461738,1211,830,,,,,97828,97828
29699,,,3,blackhole,,32,110,,,207,4552,14610995514289,14610995520434,3616,14610995515407,14610995520288,3616,14610995515407,14610995520288,3616,1496,1544,1547,1847,,39760,39760
30723,,,3,blackhole,,110,110,,,162,7337,14610995578576,14610995588481,6741,14610995579230,14610995588331,6741,14610995579230,14610995588331,6741,6040,,,,,43658,43658
31747,,,3,blackhole,,32,110,,,131,4890,14610995627769,14610995634371,3932,14610995628915,14610995634223,3932,14610995628915,14610995634223,3932,3204,3121,208,508,,30063,30063
32771,,,3,blackhole,,110,110,,,181,2064,14610995706693,14610995709479,1484,14610995707329,14610995709333,1484,14610995707329,14610995709333,1446,848,892,957,467,,54136,54136
33795,,,3,blackhole,,32,110,,,112,11159,14610995781665,14610995796730,10184,14610995782834,14610995796582,10184,14610995782834,14610995796582,10179,1331,1373,1372,1650,,54447,54447
34819,,,3,blackhole,,32,110,,,111,11152,14610995800349,14610995815404,10185,14610995801507,14610995815257,10185,14610995801507,14610995815257,10179,1314,1358,1353,1642,,3648,3648
35843,,,3,blackhole,,64,110,,,1137,7227,14610995814182,14610995823939,5809,14610995815949,14610995823791,5803,14610995815957,14610995823791,5803,3968,4204,4110,4520,,513,519
36867,,,3,blackhole,,64,110,,,146,7030,14610995827157,14610995836648,6038,14610995828346,14610995836497,6036,14610995828348,14610995836497,6036,4195,4426,4335,4736,,3374,3375
37891,,,3,blackhole,,110,110,,,168,12856,14610995872686,14610995890042,12259,14610995873346,14610995889895,12259,14610995873346,14610995889895,12256,11967,,,,,27297,27297
38915,,,3,blackhole,,96,110,,,172,8822,14610995897653,14610995909563,7774,14610995898916,14610995909411,7774,14610995898916,14610995909411,7774,5856,6084,5994,6417,,6682,6682
39939,,,3,blackhole,,32,110,,,110,4519,14610995929126,14610995935226,3549,14610995930286,14610995935077,3549,14610995930286,14610995935077,3549,2588,2522,214,2601,,15463,15463
40963,,,3,blackhole,,110,110,,,190,3517,14610996009141,14610996013889,2907,14610996009814,14610996013738,2897,14610996009827,14610996013738,2861,1663,1938,2473,1832,,55367,55370
41987,,,3,blackhole,,110,110,,,181,3461,14610996056360,14610996061033,2873,14610996057008,14610996060886,2865,14610996057018,14610996060886,2839,1661,1924,2460,1832,,32056,32057
43011,,,3,blackhole,,110,110,,,171,2720,14610996107839,14610996111511,2129,14610996108489,14610996111363,2129,14610996108489,14610996111363,2090,1798,1787,272,373,,35263,35263
44035,,,3,blackhole,,32,110,,,170,1993,14610997882180,14610997884870,1070,14610997883274,14610997884719,1070,14610997883274,14610997884719,1056,1061,,,,,1312073,1312073
45059,,,3,blackhole,,32,110,,,168,1896,14610998005952,14610998008512,955,14610998007059,14610998008348,955,14610998007059,14610998008348,952,951,,,,,90640,90640
46083,,,3,blackhole,,32,110,,,96,1407,14611000746418,14611000748317,821,14611000747053,14611000748161,821,14611000747053,14611000748161,519,821,,,,,2029311,2029311
47107,,,3,blackhole,,88,110,,,387,38963,14611007244701,14611007297301,38387,14611007245335,14611007297158,38285,14611007245473,14611007297158,38176,36657,37605,37604,37801,,4812670,4812800
48131,,,3,blackhole,,110,110,,,658,192484,14611016203979,14611016463832,191864,14611016204659,14611016463675,191580,14611016205042,14611016463675,191448,183475,190908,191180,191070,,6598159,6598433
49155,,,3,blackhole,,32,110,,,150,1661,14611016866134,14611016868376,1120,14611016866717,14611016868229,1120,14611016866717,14611016868229,1090,1106,,,,,298550,298550
50179,,,3,blackhole,,32,110,,,187,5199,14611019716419,14611019723437,4259,14611019717529,14611019723278,4259,14611019717529,14611019723278,4256,3976,,,,,2110831,2110831
51203,,,3,blackhole,,8,110,,,121,1585,14611022344711,14611022346851,1066,14611022345270,14611022346709,1066,14611022345270,14611022346709,995,777,,,,,1942351,1942351
52227,,,3,blackhole,,80,110,,,210,20846,14611027361493,14611027389635,20276,14611027362117,14611027389489,20276,14611027362117,14611027389489,20181,16406,19301,19329,19543,,3715198,3715198
53251,,,3,blackhole,,110,110,,,195,1422,14611033438304,14611033440224,804,14611033438958,14611033440043,804,14611033438958,14611033440043,159,256,687,457,780,,4482740,4482740
54275,,,3,blackhole,,8,110,,,386,6707,14611033718876,14611033727931,5743,14611033719995,14611033727748,5693,14611033720062,14611033727748,4221,5185,5680,5440,5636,,207373,207409
55299,,,3,blackhole,,80,110,,,196,93126,14611040136197,14611040261917,92534,14611040136854,14611040261775,92526,14611040136865,14611040261775,92470,79423,90260,90291,90569,,4747482,4747498
56323,,,3,blackhole,,8,110,,,91,4401,14611040559286,14611040565228,3931,14611040559774,14611040565081,3931,14611040559774,14611040565081,3884,110,,,,,220734,220734
57347,,,3,blackhole,,110,110,,,164,3705,14611041111477,14611041116479,3110,14611041112135,14611041116333,3110,14611041112135,14611041116333,3101,2789,,,,,405273,405273
58371,,,3,blackhole,,110,110,,,164,3591,14611041598389,14611041603237,3008,14611041599036,14611041603097,3008,14611041599036,14611041603097,3006,2804,,,,,357540,357540
59395,,,3,blackhole,,110,110,,,176,5239,14611046459990,14611046467062,4659,14611046460626,14611046466916,4659,14611046460626,14611046466916,4644,2502,2538,4388,3438,,3597969,3597969
60419,,,3,blackhole,,110,110,,,181,7664,14611051552028,14611051562374,7085,14611051552668,14611051562233,7085,14611051552668,14611051562233,7044,4111,4149,4800,6347,,3767125,3767125
61443,,,3,blackhole,,80,110,,,190,48158,14611057699642,14611057764655,47583,14611057700275,14611057764512,47583,14611057700275,14611057764512,47527,42614,46607,46642,46902,,4546701,4546701
62467,,,3,blackhole,,110,110,,,186,1415,14611057975826,14611057977736,813,14611057976461,14611057977559,806,14611057976471,14611057977559,154,249,730,477,790,,156935,157021
63491,0,1,3,blackhole,,8,110,,,84,1546,14611082570816,14611082572903,1032,14611082571340,14611082572733,1032,14611082571340,14611082572733,988,1024,,,,,18220231,18220231
63491,0,2,3,blackhole,,8,110,,,89,1536,14611083656057,14611083658130,1026,14611083656589,14611083657974,1026,14611083656589,14611083657974,996,1019,,,,,14857,14857
63491,0,3,3,blackhole,,8,110,,,91,1513,14611084737114,14611084739157,1034,14611084737616,14611084739012,1034,14611084737616,14611084739012,993,1020,,,,,12891,12891
63491,0,4,3,blackhole,,8,110,,,82,1487,14611085814832,14611085816839,1002,14611085815338,14611085816691,1002,14611085815338,14611085816691,955,988,,,,,12899,12899
63491,0,5,3,blackhole,,8,110,,,94,1543,14611086897725,14611086899808,1037,14611086898227,14611086899627,1037,14611086898227,14611086899627,985,1030,,,,,13386,13386
63491,0,6,3,blackhole,,8,110,,,98,1537,14611087979334,14611087981409,1033,14611087979838,14611087981233,1033,14611087979838,14611087981233,971,1026,,,,,12995,12995
63491,0,7,3,blackhole,,8,110,,,79,1544,14611089065095,14611089067179,1027,14611089065617,14611089067004,1027,14611089065617,14611089067004,997,1020,,,,,14333,14333
63491,0,8,3,blackhole,,8,110,,,97,1500,14611090147751,14611090149776,1014,14611090148259,14611090149628,1014,14611090148259,14611090149628,977,1000,,,,,13437,13437
63491,0,9,3,blackhole,,8,110,,,91,1515,14611091232747,14611091234792,1000,14611091233278,14611091234628,1000,14611091233278,14611091234628,973,993,,,,,13661,13661
63491,0,10,3,blackhole,,8,110,,,83,1493,14611092315623,14611092317639,1009,14611092316130,14611092317492,1009,14611092316130,14611092317492,970,996,,,,,13101,13101
63491,0,11,3,blackhole,,8,110,,,94,1527,14611093421223,14611093423285,1033,14611093421747,14611093423142,1033,14611093421747,14611093423142,999,1019,,,,,32081,32081
63491,0,12,3,blackhole,,8,110,,,87,1550,14611094502078,14611094504171,1036,14611094502591,14611094503990,1036,14611094502591,14611094503990,984,1029,,,,,12930,12930
63491,0,13,3,blackhole,,8,110,,,80,1530,14611095584632,14611095586697,1054,14611095585129,14611095586552,1054,14611095585129,14611095586552,1007,1040,,,,,13086,13086
63491,0,14,3,blackhole,,8,110,,,87,1552,14611096664522,14611096666617,1021,14611096665063,14611096666441,1021,14611096665063,14611096666441,981,1013,,,,,13495,13495
63491,0,15,3,blackhole,,8,110,,,70,1539,14611097745619,14611097747696,1004,14611097746159,14611097747515,1004,14611097746159,14611097747515,976,997,,,,,13450,13450
63491,0,16,3,blackhole,,8,110,,,87,1530,14611098828486,14611098830552,1014,14611098829003,14611098830372,1014,14611098829003,14611098830372,983,1007,,,,,14961,14961
63491,0,17,3,blackhole,,7,110,,,90,1485,14611099911996,14611099914001,979,14611099912526,14611099913848,979,14611099912526,14611099913848,944,970,,,,,13060,13060
63491,0,18,3,blackhole,,4,110,,,93,1572,14611100993011,14611100995133,1087,14611100993516,14611100994983,1087,14611100993516,14611100994983,1040,1079,,,,,13071,13071
63491,0,19,3,blackhole,,4,110,,,82,1485,14611102077581,14611102079586,995,14611102078075,14611102079418,995,14611102078075,14611102079418,949,987,,,,,13949,13949
63491,0,20,3,blackhole,,4,110,,,86,1475,14611103157249,14611103159240,980,14611103157737,14611103159060,980,14611103157737,14611103159060,930,973,,,,,13028,13028
63491,0,21,3,blackhole,,1,110,,,75,1336,14611104238263,14611104240066,886,14611104238722,14611104239918,886,14611104238722,14611104239918,811,872,,,,,14006,14006
63491,0,22,3,blackhole,,1,110,,,76,1347,14611105318353,14611105320171,874,14611105318814,14611105319994,874,14611105318814,14611105319994,799,867,,,,,13180,13180
63491,0,23,3,blackhole,,1,110,,,85,1321,14611106395223,14611106397007,852,14611106395670,14611106396820,852,14611106395670,14611106396820,767,844,,,,,13179,13179
64515,0,1,3,blackhole,,8,110,,,382,6908,14611082576692,14611082586018,5921,14611082577837,14611082585830,5844,14611082577941,14611082585830,4219,5326,5842,5612,5784,,3781,3858
64515,0,2,3,blackhole,,8,110,,,376,6686,14611083661887,14611083670913,5704,14611083663032,14611083670732,5656,14611083663097,14611083670732,4223,5142,5657,5395,5596,,3747,3795
64515,0,3,3,blackhole,,8,110,,,373,6886,14611084742961,14611084752257,5910,14611084744091,14611084752070,5837,14611084744190,14611084752070,4249,5330,5838,5602,5778,,3762,3836
64515,0,4,3,blackhole,,8,110,,,374,6690,14611085820649,14611085829681,5736,14611085821774,14611085829517,5663,14611085821872,14611085829517,4221,5150,5667,5430,5605,,3765,3838
64515,0,5,3,blackhole,,8,110,,,384,6721,14611086903721,14611086912794,5764,14611086904848,14611086912630,5689,14611086904950,14611086912630,4213,5172,5688,5459,5624,,3867,3943
64515,0,6,3,blackhole,,8,110,,,356,6710,14611087985163,14611087994222,5759,14611087986277,14611087994052,5694,14611087986365,14611087994052,4217,5179,5692,5450,5630,,3736,3801
64515,0,7,3,blackhole,,8,110,,,364,6781,14611089070883,14611089080037,5804,14611089072026,14611089079862,5750,14611089072099,14611089079862,4260,5235,5741,5497,5689,,3720,3774
