ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
169,0.010323396139244908,,InterleavedToShardedDeviceOperation,3,1.376,,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,58371.0,
170,0.08413267754759621,,LayerNormDeviceOperation,3,6.127,5.087,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,59395.0,
171,0.4197330816905491,SLOW,MatmulDeviceOperation 32 x 3072 x 9216,3,55.33,0.616,12,255.84268931863363,49.96927525754563,32.747864232785105,49.35237062473642,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,6,,,60419.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
172,0.1268217211757238,,NLPCreateQKVHeadsDecodeDeviceOperation,3,16.329,0.575,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,61443.0,
173,0.01190641691350412,,TypecastDeviceOperation,3,0.87,0.717,1,,,,,INT32 => UINT32,UINT32,INT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,62467.0,
174,0.029304640494106547,,EmbeddingsDeviceOperation,3,2.399,1.507,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,63491.0,
175,0.028711945512274902,,EmbeddingsDeviceOperation,3,2.376,1.451,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,64515.0,
176,0.015207502888262668,,ShardedToInterleavedDeviceOperation,3,1.491,0.536,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,65539.0,
177,0.014794867141417848,,ShardedToInterleavedDeviceOperation,3,1.341,0.631,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,66563.0,
178,0.016655479236281755,,SliceDeviceOperation,3,1.613,0.607,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,67587.0,
179,0.036829616022931146,,UntilizeDeviceOperation,3,4.39,0.519,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,68611.0,
180,0.056185983784015354,,SliceDeviceOperation,3,6.956,0.533,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,69635.0,
181,0.03760987270787407,,TilizeWithValPaddingDeviceOperation,3,4.437,0.576,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,70659.0,
182,0.019686476358560055,,UnaryDeviceOperation,3,2.147,0.477,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,71683.0,
183,0.13462428802515308,,UntilizeWithUnpaddingDeviceOperation,3,10.169,7.775,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,72707.0,
184,0.09549891675613983,,UntilizeWithUnpaddingDeviceOperation,3,10.116,2.613,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,73731.0,
185,0.047468115823403004,,PermuteDeviceOperation,3,5.796,0.531,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,74755.0,
186,0.04991392043197412,,PermuteDeviceOperation,3,6.067,0.586,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,75779.0,
187,0.11189931207619026,,ConcatDeviceOperation,3,14.367,0.548,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,76803.0,
188,0.060229814103094574,,PermuteDeviceOperation,3,7.541,0.487,96,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,77827.0,
189,0.031930504337664485,,TilizeWithValPaddingDeviceOperation,3,3.601,0.655,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,78851.0,
190,0.032260612935140334,,BinaryNgDeviceOperation,3,3.754,0.546,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,79875.0,
191,0.02926712815348429,,BinaryNgDeviceOperation,3,3.36,0.541,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,80899.0,
