Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
30.79,MatmulDeviceOperation (in0:width_sharded),2152.49,40,Compute,43.89,52.39,49.50,3.07,50.74
27.49,SdpaDecodeDeviceOperation (in0:height_sharded),1922.36,10,Other,,,,,
5.82,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),406.68,40,TM,,,,,
5.56,PagedFusedUpdateCacheDeviceOperation (in0:dram_interleaved),388.56,10,Other,,,,,
5.51,PermuteDeviceOperation (in0:dram_interleaved),385.58,60,TM,,,,,
3.56,BinaryNgDeviceOperation (in0:dram_interleaved),248.97,70,Compute,,,,,
3.52,ConcatDeviceOperation (in0:dram_interleaved),246.35,20,TM,,,,,
3.27,SliceDeviceOperation (in0:dram_interleaved),228.39,60,TM,,,,,
3.06,NLPCreateQKVHeadsDecodeDeviceOperation (in0:width_sharded),213.89,10,Other,,,,,
2.28,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),159.74,40,TM,,,,,
1.82,LayerNormDeviceOperation (in0:width_sharded),126.94,20,Compute,,,,,
1.21,UnaryDeviceOperation (in0:dram_interleaved),84.33,30,Compute,,,,,
1.15,TransposeDeviceOperation (in0:dram_interleaved),80.37,20,TM,,,,,
1.14,UntilizeDeviceOperation (in0:dram_interleaved),79.66,20,TM,,,,,
0.71,EmbeddingsDeviceOperation (in0:dram_interleaved),49.59,20,Compute,,,,,
0.67,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),46.94,10,TM,,,,,
0.64,InterleavedToShardedDeviceOperation (in0:dram_interleaved),44.68,40,DM,,,,,
0.55,ShardedToInterleavedDeviceOperation (in0:width_sharded),38.61,10,DM,,,,,
0.49,BinaryNgDeviceOperation (in0:width_sharded),33.97,20,Compute,,,,,
0.35,ShardedToInterleavedDeviceOperation (in0:height_sharded),24.69,20,DM,,,,,
0.17,ReshardDeviceOperation (in0:width_sharded),11.87,10,DM,,,,,
0.13,TypecastDeviceOperation (in0:dram_interleaved),8.83,10,TM,,,,,
0.12,ReshardDeviceOperation (in0:height_sharded),8.29,10,DM,,,,,
