ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
361,0.013482895198202489,,InterleavedToShardedDeviceOperation,3,1.029,,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,257027.0
362,0.12627275123914228,,LayerNormDeviceOperation,3,5.812,3.825,8,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,258051.0
363,0.7230972346044728,SLOW,MatmulDeviceOperation 32 x 3072 x 9216,3,54.585,0.601,12,259.33454245671885,50.6512778235779,33.19482143446001,50.02595340600286,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,12,,,259075.0
364,0.29164458826199324,,NLPCreateQKVHeadsDecodeDeviceOperation,3,21.711,0.547,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,260099.0
365,0.020492952468404952,,TypecastDeviceOperation,3,0.895,0.669,1,,,,,INT32 => UINT32,UINT32,INT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,261123.0
366,0.05229371694463181,,EmbeddingsDeviceOperation,3,2.484,1.507,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,262147.0
367,0.05260818680348203,,EmbeddingsDeviceOperation,3,2.539,1.476,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,263171.0
368,0.06036510998845372,,TransposeDeviceOperation,3,4.077,0.53,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,264195.0
369,0.05952652369818651,,TransposeDeviceOperation,3,3.997,0.546,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,265219.0
370,0.027070613682688382,,InterleavedToShardedDeviceOperation,3,1.531,0.535,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,266243.0
