Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
59.29,MatmulDeviceOperation (in0:dram_interleaved),3024.02,15,Compute,3.33,4.43,3.99,0.49,4.00
8.69,LayerNormDeviceOperation (in0:dram_interleaved),443.45,10,Compute,,,,,
5.48,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),279.37,5,Other,,,,,
5.39,MatmulDeviceOperation (in0:width_sharded),275.01,5,Compute,12.29,12.74,12.41,0.19,12.41
5.28,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),269.30,10,DM,,,,,
3.84,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),196.01,20,TM,,,,,
2.62,BinaryNgDeviceOperation (in0:dram_interleaved),133.45,45,Compute,,,,,
2.51,PermuteDeviceOperation (in0:dram_interleaved),127.78,30,TM,,,,,
2.07,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),105.63,30,TM,,,,,
1.33,SliceDeviceOperation (in0:dram_interleaved),67.95,30,TM,,,,,
0.89,UnaryDeviceOperation (in0:dram_interleaved),45.14,15,Compute,,,,,
0.77,SdpaDecodeDeviceOperation (in0:height_sharded),39.21,5,Other,,,,,
0.67,UntilizeDeviceOperation (in0:dram_interleaved),34.21,10,TM,,,,,
0.36,ConcatDeviceOperation (in0:dram_interleaved),18.55,10,TM,,,,,
0.21,EmbeddingsDeviceOperation (in0:dram_interleaved),10.88,10,Compute,,,,,
0.16,InterleavedToShardedDeviceOperation (in0:dram_interleaved),8.17,15,DM,,,,,
0.15,SliceDeviceOperation (in0:width_sharded),7.47,5,TM,,,,,
0.11,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),5.38,5,TM,,,,,
0.10,ShardedToInterleavedDeviceOperation (in0:height_sharded),5.22,10,DM,,,,,
0.09,TypecastDeviceOperation (in0:dram_interleaved),4.50,5,TM,,,,,
