ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1674,0.8293932546103875,,LayerNormDeviceOperation,2,43.951,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,890882.0,
1675,2.925813923865507,DRAM,MatmulDeviceOperation 32 x 3072 x 9216,2,154.511,0.533,96.0,371.55630343470693,72.5695905145912,11.72692771388445,4.418239909564152,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,2,1,3,891906.0,Try a DRAM-sharded program config (MatmulMultiCoreReuseMultiCastDRAMShardedProgramConfig) to improve throughput further • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1676,1.0582401977666334,,NLPCreateQKVHeadsDecodeDeviceOperation,2,55.419,0.659,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,892930.0,
1677,0.04859246958252936,,TypecastDeviceOperation,2,1.03,1.545,1,,,,,INT32 => UINT32,UINT32,INT32,nan,False,DEV_1_DRAM_INTERLEAVED,,,,893954.0,
1678,0.049630366991088234,,EmbeddingsDeviceOperation,2,1.107,1.523,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,894978.0,
1679,0.11241372477791356,,TilizeWithValPaddingDeviceOperation,2,4.458,1.499,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,896002.0,
1680,0.05025310543622356,,EmbeddingsDeviceOperation,2,1.156,1.507,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,897026.0,
1681,0.11086631409606212,,TilizeWithValPaddingDeviceOperation,2,4.41,1.465,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,898050.0,
1682,0.03845881670259992,,ShardedToInterleavedDeviceOperation,2,0.525,1.513,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_HEIGHT_SHARDED,,,,899074.0,
1683,0.03740204843206726,,ShardedToInterleavedDeviceOperation,2,0.505,1.477,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_HEIGHT_SHARDED,,,,900098.0,
