Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
61.00,MatmulDeviceOperation (in0:dram_interleaved),3029.92,15,Compute,3.32,4.44,3.98,0.49,3.99
8.92,LayerNormDeviceOperation (in0:dram_interleaved),442.88,10,Compute,,,,,
5.68,MatmulDeviceOperation (in0:width_sharded),281.90,5,Compute,12.08,12.15,12.11,0.03,12.11
5.59,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),277.55,5,Other,,,,,
3.95,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),196.05,20,TM,,,,,
2.94,BinaryNgDeviceOperation (in0:dram_interleaved),146.03,45,Compute,,,,,
2.73,PagedFusedUpdateCacheDeviceOperation (in0:dram_interleaved),135.61,5,Other,,,,,
2.56,PermuteDeviceOperation (in0:dram_interleaved),127.06,30,TM,,,,,
2.12,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),105.53,30,TM,,,,,
1.38,SliceDeviceOperation (in0:dram_interleaved),68.37,30,TM,,,,,
0.76,SdpaDecodeDeviceOperation (in0:height_sharded),37.88,5,Other,,,,,
0.69,UntilizeDeviceOperation (in0:dram_interleaved),34.16,10,TM,,,,,
0.42,UnaryDeviceOperation (in0:dram_interleaved),20.74,10,Compute,,,,,
0.38,ConcatDeviceOperation (in0:dram_interleaved),18.69,10,TM,,,,,
0.22,EmbeddingsDeviceOperation (in0:dram_interleaved),11.00,10,Compute,,,,,
0.16,InterleavedToShardedDeviceOperation (in0:dram_interleaved),8.08,15,DM,,,,,
0.16,SliceDeviceOperation (in0:width_sharded),7.70,5,TM,,,,,
0.13,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),6.39,5,TM,,,,,
0.10,ShardedToInterleavedDeviceOperation (in0:height_sharded),5.14,10,DM,,,,,
0.09,TypecastDeviceOperation (in0:dram_interleaved),4.68,5,TM,,,,,
0.03,ReshardDeviceOperation (in0:height_sharded),1.36,5,DM,,,,,
