Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
42.50,MatmulDeviceOperation (in0:width_sharded),224.42,5,Compute,41.01,50.83,47.82,3.89,48.67
10.42,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),55.02,2,DM,,,,,
7.41,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),39.12,4,TM,,,,,
6.33,BinaryNgDeviceOperation (in0:width_sharded),33.41,3,Compute,,,,,
5.82,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),30.74,1,Other,,,,,
4.78,PermuteDeviceOperation (in0:dram_interleaved),25.22,6,TM,,,,,
4.01,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),21.16,6,TM,,,,,
3.52,SdpaDecodeDeviceOperation (in0:height_sharded),18.57,1,Other,,,,,
3.04,BinaryNgDeviceOperation (in0:dram_interleaved),16.04,6,Compute,,,,,
2.93,UntilizeDeviceOperation (in0:dram_interleaved),15.48,4,TM,,,,,
2.74,LayerNormDeviceOperation (in0:width_sharded),14.46,2,Compute,,,,,
1.33,SliceDeviceOperation (in0:dram_interleaved),7.02,4,TM,,,,,
0.82,TransposeDeviceOperation (in0:dram_interleaved),4.35,2,TM,,,,,
0.78,UnaryDeviceOperation (in0:dram_interleaved),4.13,2,Compute,,,,,
0.68,ConcatDeviceOperation (in0:dram_interleaved),3.58,2,TM,,,,,
0.60,SliceDeviceOperation (in0:width_sharded),3.18,1,TM,,,,,
0.56,ReshardDeviceOperation (in0:width_sharded),2.97,2,DM,,,,,
0.51,InterleavedToShardedDeviceOperation (in0:dram_interleaved),2.67,4,DM,,,,,
0.42,EmbeddingsDeviceOperation (in0:dram_interleaved),2.20,2,Compute,,,,,
0.37,ShardedToInterleavedDeviceOperation (in0:width_sharded),1.97,1,DM,,,,,
0.25,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.32,1,TM,,,,,
0.20,ShardedToInterleavedDeviceOperation (in0:height_sharded),1.03,2,DM,,,,,
