ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1162,0.6654886540402979,,LayerNormDeviceOperation,3,151.43,,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,496643.0,
1163,8.645327375767685,SLOW,MatmulDeviceOperation b={32} x 128 x 3072 x 9216,3,1966.738,0.481,64.0,58.38046145444894,11.402433877822059,117.9253332085921,33.322181195461724,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_2_DRAM_INTERLEAVED,1,1,4,497667.0,"If possible place input 0 in L1 (currently in DEV_2_DRAM_INTERLEAVED) • in0_block_w=1 is small, try in0_block_w=2 or above • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy"
1164,1.5970936651878813,,NlpCreateHeadsDeviceOperation,3,362.85,0.564,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,498691.0,
1165,0.4085747881273624,,SliceDeviceOperation,3,92.499,0.471,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,499715.0,
1166,0.7539143108318507,,UntilizeDeviceOperation,3,170.967,0.584,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,500739.0,
1167,2.7620789508702988,,SliceDeviceOperation,3,627.919,0.584,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,501763.0,
1168,1.3066394875293497,,TilizeWithValPaddingDeviceOperation,3,296.867,0.455,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,502787.0,
1169,0.3836744466244084,,UnaryDeviceOperation,3,86.851,0.453,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,503811.0,
1170,1.488171151218464,,UntilizeWithUnpaddingDeviceOperation,3,338.039,0.59,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,504835.0,
1171,1.4870241358403722,,UntilizeWithUnpaddingDeviceOperation,3,337.898,0.47,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,505859.0,
1172,2.4064602367123324,,PermuteDeviceOperation,3,547.113,0.47,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,506883.0,
1173,2.4209275724390746,,PermuteDeviceOperation,3,550.354,0.521,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,507907.0,
1174,1.6285860490936641,,ConcatDeviceOperation,3,370.061,0.519,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,508931.0,
1175,3.8761033540839103,,PermuteDeviceOperation,3,881.502,0.494,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,509955.0,
1176,1.2897023332490136,,TilizeWithValPaddingDeviceOperation,3,292.947,0.521,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,510979.0,
1177,0.013997103368674298,,TilizeDeviceOperation,3,2.559,0.626,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,512003.0,
1178,0.8849948766646444,,BinaryNgDeviceOperation,3,200.923,0.455,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,513027.0,
