ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1213,0.7668795263668682,,LayerNormDeviceOperation,3,149.544,,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,526339.0,
1214,6.077524348953158,SLOW,MatmulDeviceOperation b={32} x 128 x 3072 x 9216,3,1184.666,0.471,64.0,96.92104947723662,18.92989247602278,195.77520920158088,55.320233719883916,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_2_DRAM_INTERLEAVED,2,1,4,527363.0,If possible place input 0 in L1 (currently in DEV_2_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 1x4 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1215,1.8418923787167647,,NlpCreateHeadsDeviceOperation,3,358.633,0.542,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,528387.0,
1216,0.46241793406007325,,SliceDeviceOperation,3,89.707,0.466,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,529411.0,
1217,0.8884159622980642,,UntilizeDeviceOperation,3,172.663,0.581,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,530435.0,
1218,3.204664537642322,,SliceDeviceOperation,3,624.33,0.59,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,531459.0,
1219,1.5147234725575085,,TilizeWithValPaddingDeviceOperation,3,294.916,0.46,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,532483.0,
1220,0.45070530875767456,,UnaryDeviceOperation,3,87.433,0.456,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,533507.0,
1221,1.7356223550120318,,UntilizeWithUnpaddingDeviceOperation,3,337.858,0.594,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,534531.0,
1222,1.7357095330462442,,UntilizeWithUnpaddingDeviceOperation,3,337.904,0.565,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,535555.0,
1223,2.8154966647991766,,PermuteDeviceOperation,3,548.451,0.58,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,536579.0,
1224,2.8311374297607856,,PermuteDeviceOperation,3,551.555,0.526,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,537603.0,
1225,1.9006503737758216,,ConcatDeviceOperation,3,370.103,0.53,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,538627.0,
1226,4.549129309383305,,PermuteDeviceOperation,3,886.556,0.539,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,539651.0,
1227,1.5174618884557054,,TilizeWithValPaddingDeviceOperation,3,295.374,0.536,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,540675.0,
1228,0.012743377353967179,,TilizeDeviceOperation,3,1.927,0.558,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,541699.0,
1229,1.0331930365263142,,BinaryNgDeviceOperation,3,201.01,0.466,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,542723.0,
1230,0.012810042909541252,,TilizeDeviceOperation,3,1.933,0.565,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,543747.0,
1231,1.0297828369527173,,BinaryNgDeviceOperation,3,200.349,0.462,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,544771.0,
