ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
417,0.009520703500470396,,EmbeddingsDeviceOperation,3,2.658,,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,206851.0
418,0.01446731431091043,,EmbeddingsDeviceOperation,3,2.546,1.493,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,207875.0
419,0.016860026853541817,,TransposeDeviceOperation,3,4.012,0.695,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,208899.0
420,0.016680931603344856,,TransposeDeviceOperation,3,3.296,1.361,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,209923.0
421,0.008073613878878958,,SliceDeviceOperation,3,1.406,0.848,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,210947.0
422,0.010466326421510345,,SliceDeviceOperation,3,0.911,2.011,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,211971.0
423,0.007188883342905976,,InterleavedToShardedDeviceOperation,3,1.082,0.925,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,212995.0
424,0.007400215738138387,,InterleavedToShardedDeviceOperation,3,1.315,0.751,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,214019.0
425,0.009749945420722503,,InterleavedToShardedDeviceOperation,3,1.166,1.556,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,215043.0
426,0.03658557771023499,,LayerNormDeviceOperation,3,6.27,3.944,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,216067.0
427,0.6029671426481132,SLOW,MatmulDeviceOperation 32 x 4096 x 6144,3,167.653,0.684,12,300.21322612777584,58.63539572808122,9.606823236088827,57.91150195366046,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,True,DEV_0_L1_WIDTH_SHARDED,4,,,217091.0
428,0.007998393873796234,,ShardedToInterleavedDeviceOperation,3,1.721,0.512,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,218115.0
429,0.0657530301573119,,NLPCreateQKVHeadsDecodeDeviceOperation,3,17.621,0.736,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,219139.0
430,0.007239030012961124,,ShardedToInterleavedDeviceOperation,3,1.397,0.624,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,220163.0
431,0.020015685162012253,,LayerNormDeviceOperation,3,4.947,0.641,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,221187.0
432,0.007299922398028092,,InterleavedToShardedDeviceOperation,3,1.393,0.645,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,222211.0
433,0.007507672888256565,,ShardedToInterleavedDeviceOperation,3,1.441,0.655,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,223235.0
434,0.020090905167094976,,LayerNormDeviceOperation,3,4.913,0.696,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,224259.0
435,0.007085008097791739,,InterleavedToShardedDeviceOperation,3,1.316,0.662,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,225283.0
436,0.00340280975374224,,ReshardDeviceOperation,3,0.338,0.612,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,226307.0
437,0.013195738034512015,,RotaryEmbeddingLlamaFusedQKDeviceOperation,3,2.568,1.116,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,227331.0
438,0.03519579856870658,,PagedFusedUpdateCacheDeviceOperation,3,8.862,0.964,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,228355.0
439,0.06030495264632038,,SdpaDecodeDeviceOperation,3,11.437,5.399,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,229379.0
440,0.007199629057917793,,InterleavedToShardedDeviceOperation,3,1.411,0.599,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,230403.0
441,0.008005557683804112,,NLPConcatHeadsDecodeDeviceOperation,3,1.698,0.537,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,231427.0
442,0.41473087088110033,SLOW,MatmulDeviceOperation 32 x 4096 x 4096,3,115.213,0.572,12,291.23824568408077,56.88246986017202,9.319623861890584,56.18021714584891,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,True,DEV_0_L1_WIDTH_SHARDED,4,,,232451.0
443,0.007196047152913854,,ReshardDeviceOperation,3,1.5,0.509,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,233475.0
444,0.007135154767846888,,BinaryNgDeviceOperation,3,1.451,0.541,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,234499.0
445,0.007324995733055666,,ReshardDeviceOperation,3,1.439,0.606,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,235523.0
446,0.02875195146661996,,LayerNormDeviceOperation,3,7.521,0.506,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,236547.0
447,0.6664134259828882,SLOW,MatmulDeviceOperation 32 x 4096 x 12288,3,185.398,0.652,12,271.4789156301578,53.0232257090152,17.3746506003301,52.36861798421254,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,2,,,237571.0
448,0.6677745498843852,SLOW,MatmulDeviceOperation 32 x 4096 x 12288,3,185.803,0.627,12,270.8871654386635,52.907649499738966,17.336778588074466,52.2544686417175,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,2,,,238595.0
449,0.040196137954205714,,BinaryNgDeviceOperation,3,10.656,0.566,110,,,,,"BF16, BF16 => BFP8",BFLOAT8_B,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,239619.0
450,0.008739848209611649,,ReshardDeviceOperation,3,1.803,0.637,64,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,240643.0
451,0.6471714323017268,SLOW,MatmulDeviceOperation 32 x 12288 x 4096,3,180.155,0.523,12,279.3796897116372,54.56634564680414,17.88030014154478,53.892687058571994,HiFi2 BFP8 x BFP8 => BF16,BFLOAT16,BFLOAT8_B,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,6,,,241667.0
452,0.007239030012961124,,ReshardDeviceOperation,3,1.39,0.631,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,242691.0
