ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
417,0.00984904764799095,,EmbeddingsDeviceOperation,3,2.651,,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,206851.0
418,0.015228685895554475,,EmbeddingsDeviceOperation,3,2.6,1.499,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,207875.0
419,0.01739837424954418,,TransposeDeviceOperation,3,4.079,0.604,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,208899.0
420,0.017435526447386468,,TransposeDeviceOperation,3,3.513,1.18,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,209923.0
421,0.00839639671235743,,SliceDeviceOperation,3,1.639,0.621,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,210947.0
422,0.009912206384322844,,SliceDeviceOperation,3,0.913,1.755,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,211971.0
423,0.007437870008026363,,InterleavedToShardedDeviceOperation,3,1.084,0.918,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,212995.0
424,0.007638491876374726,,InterleavedToShardedDeviceOperation,3,1.307,0.749,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,214019.0
425,0.010105397813102747,,InterleavedToShardedDeviceOperation,3,1.169,1.551,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,215043.0
426,0.03859741833835458,,LayerNormDeviceOperation,3,6.29,4.099,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,216067.0
427,0.3505012648837278,SLOW,MatmulDeviceOperation 32 x 4096 x 6144,3,93.696,0.646,12,268.5901639344262,52.45901639344262,17.189770491803277,51.8113742157458,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,4,,,217091.0
428,0.008121470448324489,,ShardedToInterleavedDeviceOperation,3,1.659,0.527,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,218115.0
429,0.06848264628269227,,NLPCreateQKVHeadsDecodeDeviceOperation,3,17.653,0.78,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,219139.0
430,0.00761991577745358,,ShardedToInterleavedDeviceOperation,3,1.432,0.619,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,220163.0
431,0.02070120463772372,,LayerNormDeviceOperation,3,4.941,0.631,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,221187.0
432,0.007597624458748207,,InterleavedToShardedDeviceOperation,3,1.425,0.62,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,222211.0
433,0.007794531107312341,,ShardedToInterleavedDeviceOperation,3,1.456,0.642,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,223235.0
434,0.020860959088445565,,LayerNormDeviceOperation,3,4.996,0.619,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,224259.0
435,0.007352419952989096,,InterleavedToShardedDeviceOperation,3,1.366,0.613,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,225283.0
436,0.0035034522565279016,,ReshardDeviceOperation,3,0.335,0.608,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,226307.0
437,0.013597704410277963,,RotaryEmbeddingLlamaFusedQKDeviceOperation,3,2.551,1.109,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,227331.0
438,0.037415978446969776,,PagedFusedUpdateCacheDeviceOperation,3,9.08,0.991,4,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,228355.0
439,0.05719209335842048,,SdpaDecodeDeviceOperation,3,10.093,5.301,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_HEIGHT_SHARDED,,,,229379.0
440,0.006527641160890269,,InterleavedToShardedDeviceOperation,3,1.156,0.601,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,230403.0
441,0.008322092316672853,,NLPConcatHeadsDecodeDeviceOperation,3,1.689,0.551,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,231427.0
442,0.24954759768687443,SLOW,MatmulDeviceOperation 32 x 4096 x 4096,3,66.596,0.573,12,251.92528079764548,49.20415640579014,16.12321797104931,48.59669768473099,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,4,,,232451.0
443,0.007311552535362578,,ReshardDeviceOperation,3,1.454,0.514,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,233475.0
444,0.00730412209579412,,BinaryNgDeviceOperation,3,1.427,0.539,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,234499.0
445,0.007616200557669351,,ReshardDeviceOperation,3,1.429,0.621,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,235523.0
446,0.03018987596664446,,LayerNormDeviceOperation,3,7.625,0.501,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,236547.0
447,0.6924240872856708,SLOW,MatmulDeviceOperation 32 x 4096 x 12288,3,185.725,0.65,12,271.00093148472206,52.92986943060978,17.34405961502221,52.276414252454096,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,2,,,237571.0
448,0.6935795206385661,SLOW,MatmulDeviceOperation 32 x 4096 x 12288,3,186.059,0.627,12,270.51444971756274,52.834853460461474,17.312924781924014,52.18257131897429,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,2,,,238595.0
449,0.04418882411361916,,BinaryNgDeviceOperation,3,11.296,0.598,110,,,,,"BF16, BF16 => BFP8",BFLOAT8_B,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,239619.0
450,0.0077165114918435335,,ReshardDeviceOperation,3,1.522,0.555,64,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,240643.0
451,0.6718380544612583,SLOW,MatmulDeviceOperation 32 x 12288 x 4096,3,180.332,0.502,12,279.10547212918397,54.512787525231246,17.862750216267774,53.83979014837653,HiFi2 BFP8 x BFP8 => BF16,BFLOAT16,BFLOAT8_B,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,6,,,241667.0
452,0.007501028744358255,,ReshardDeviceOperation,3,1.4,0.619,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,242691.0
453,0.007107215447229985,,BinaryNgDeviceOperation,3,1.432,0.481,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,243715.0
454,0.0075196048432793995,,ReshardDeviceOperation,3,1.466,0.558,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,244739.0
455,0.02908645569072846,,LayerNormDeviceOperation,3,7.29,0.539,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,245763.0
456,0.010086821714181604,,ShardedToInterleavedDeviceOperation,3,1.514,1.201,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,246787.0
457,0.8857827009558666,SLOW,MatmulDeviceOperation 32 x 4096 x 16032,3,237.839,0.581,12,276.0988399715774,53.925554681948704,17.670325758180955,53.259807093282674,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,2,,,247811.0
458,0.009440373471725766,,ShardedToInterleavedDeviceOperation,3,1.949,0.592,63,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,248835.0
459,0.8856043704062239,SLOW,MatmulDeviceOperation 32 x 4096 x 16032,3,237.816,0.556,12,276.12554243616916,53.93077000706429,17.672034715914823,53.26495803166843,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,2,,,249859.0
460,0.00911343413071362,,ShardedToInterleavedDeviceOperation,3,1.854,0.599,63,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,250883.0
