Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'MULTICHIP_PREFILL'.
Using operations until 'MULTICHIP_PREFILL_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                   Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  657    4.0 %         TransposeDeviceOperation                        1       156 μs                  110                                                       BF16 => BF16
  660    2.2 %         LayerNormDeviceOperation                        2        86 μs          1 μs     18                                                 BF16, BF16 => BF16
  663    1.5 %   SLOW  MatmulDeviceOperation 576 x 5120 x 1536         3        58 μs          1 μs     72  199 GB/s  38.8 %  155.2 TFLOPs   39.0 %  LoFi BF16 x BFP4 => BF16
  669    1.0 %         TransposeDeviceOperation                        1        40 μs          1 μs    110                                                       BF16 => BF16
  671    0.6 %         NlpCreateHeadsDeviceOperation                   3        24 μs          1 μs     32                                                       BF16 => BF16
  677    0.1 %         SliceDeviceOperation                            1         2 μs          1 μs      4                                                       BF16 => BF16
  681    0.1 %         SliceDeviceOperation                            1         2 μs          1 μs      4                                                       BF16 => BF16
  684    1.4 %         RotaryEmbeddingDeviceOperation                  2        53 μs          0 μs    110                                                 BF16, BF16 => BF16
  689    0.5 %         RotaryEmbeddingDeviceOperation                  1        18 μs          0 μs     64                                                 BF16, BF16 => BF16
  694    0.3 %         SliceDeviceOperation                            0        12 μs          1 μs    110                                                       BF16 => BF16
  696    0.1 %         SliceDeviceOperation                            2         3 μs          1 μs    110                                                       BF16 => BF16
  700    0.1 %         TypecastDeviceOperation                         2         3 μs          0 μs    110                                                       BF16 => BFP8
  705    0.1 %         TypecastDeviceOperation                         1         3 μs          1 μs    110                                                       BF16 => BFP8
  710    0.2 %         SliceDeviceOperation                            0         1 μs          8 μs      8                                                       BFP8 => BFP8
  712    0.3 %         SliceDeviceOperation                            2         1 μs         13 μs      8                                                       BFP8 => BFP8
  718    0.6 %         UpdateKVCacheOperation                          0         2 μs         20 μs      2                                                 BFP8, BFP8 => BFP8
  722    0.3 %         UpdateKVCacheOperation                          0         2 μs         11 μs      2                                                 BFP8, BFP8 => BFP8
  726    0.4 %         SliceDeviceOperation                            0         1 μs         15 μs      8                                                       BFP8 => BFP8
  730    0.4 %         SliceDeviceOperation                            0         1 μs         15 μs      8                                                       BFP8 => BFP8
  733    0.3 %         UpdateKVCacheOperation                          1         2 μs          9 μs      2                                                 BFP8, BFP8 => BFP8
  735    0.2 %         UpdateKVCacheOperation                          3         2 μs          6 μs      2                                                 BFP8, BFP8 => BFP8
  741    0.5 %         SliceDeviceOperation                            1         1 μs         17 μs      8                                                       BFP8 => BFP8
  744    0.4 %         SliceDeviceOperation                            2         1 μs         15 μs      8                                                       BFP8 => BFP8
  750    0.4 %         UpdateKVCacheOperation                          0         2 μs         13 μs      2                                                 BFP8, BFP8 => BFP8
  752    0.2 %         UpdateKVCacheOperation                          2         2 μs          6 μs      2                                                 BFP8, BFP8 => BFP8
  755    0.4 %         SliceDeviceOperation                            3         1 μs         15 μs      8                                                       BFP8 => BFP8
