ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
456,0.11210176443717287,,LayerNormDeviceOperation,1,104.613,,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,335873.0,
457,5.595008889497502,SLOW,MatmulDeviceOperation b={32} x 32 x 5120 x 6144,1,5220.71,0.534,96.0,16.469643400993352,3.216727226756514,12.340181592158922,4.649289577967862,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,336897.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
458,0.03715186614509462,,TransposeDeviceOperation,1,34.122,0.548,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,337921.0,
459,0.019390337983717542,,NLPCreateQKVHeadsDecodeDeviceOperation,1,17.562,0.533,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,338945.0,
460,0.005406148390597125,,UntilizeDeviceOperation,1,4.13,0.915,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,339969.0,
461,0.0023714185110785806,,SliceDeviceOperation,1,0.799,1.414,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,340993.0,
462,0.007706842264653028,,TilizeWithValPaddingDeviceOperation,1,5.672,1.52,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,342017.0,
463,0.005690118524097272,,UntilizeDeviceOperation,1,4.71,0.6,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,343041.0,
464,0.002443214733510693,,SliceDeviceOperation,1,0.79,1.49,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,344065.0,
465,0.007592182625843535,,TilizeWithValPaddingDeviceOperation,1,5.598,1.487,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,345089.0,
466,0.00747216505998687,,RotaryEmbeddingDeviceOperation,1,6.453,0.52,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,346113.0,
467,0.007210698220084848,,RotaryEmbeddingDeviceOperation,1,6.192,0.537,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,347137.0,
468,0.0027046815734127145,,SliceDeviceOperation,1,1.0,1.524,1,,,,,INT32 => INT32,INT32,INT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,348161.0,
469,0.002951146217582653,,RepeatDeviceOperation,1,2.218,0.536,110,,,,,INT32 => INT32,INT32,INT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,349185.0,
470,0.02181855052149615,,PagedUpdateCacheDeviceOperation,1,19.816,0.545,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,350209.0,
471,0.022524725306313494,,PagedUpdateCacheDeviceOperation,1,20.488,0.532,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,351233.0,
472,0.002235327164080397,,ShardedToInterleavedDeviceOperation,1,1.525,0.561,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,352257.0,
473,0.06191620495712625,,SdpaDecodeDeviceOperation,1,57.193,0.587,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,353281.0,
474,0.0022889064345521233,,InterleavedToShardedDeviceOperation,1,1.581,0.555,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,354305.0,
475,0.0065109529477241105,,NLPConcatHeadsDecodeDeviceOperation,1,5.376,0.7,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,355329.0,
476,0.002274975824229474,,ShardedToInterleavedDeviceOperation,1,1.388,0.735,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,356353.0,
477,0.03665786527134531,,TransposeDeviceOperation,1,33.633,0.576,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,357377.0,
478,3.7071765135739385,SLOW,MatmulDeviceOperation b={32} x 32 x 4096 x 5120,1,3458.948,0.577,80.0,17.58263148217319,3.4341077113619516,12.41697561223817,5.61386701218812,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,358401.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
479,0.07678338092762069,,BinaryNgDeviceOperation,1,71.091,0.563,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,359425.0,
480,0.1118231522307199,,LayerNormDeviceOperation,1,103.864,0.489,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,360449.0,
481,29.94774210149665,SLOW,MatmulDeviceOperation b={32} x 32 x 5120 x 32768,1,27946.67,0.465,103.0,14.783118847433341,2.8873278998893244,12.294752243469436,4.317365691392708,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,5,361473.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 1x5 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
482,0.46652006592436307,,UnaryDeviceOperation,1,434.802,0.553,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,362497.0,
483,29.951951288984908,SLOW,MatmulDeviceOperation b={32} x 32 x 5120 x 32768,1,27950.481,0.582,103.0,14.781103194610496,2.8869342176973625,12.293075875152201,4.316777026008026,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,5,363521.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 1x5 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
484,0.4772680675809912,,BinaryNgDeviceOperation,1,444.844,0.541,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,364545.0,
485,29.213274247114008,SLOW,MatmulDeviceOperation b={32} x 32 x 32768 x 5120,1,27261.161,0.571,80.0,15.154855070185747,2.9599326308956537,12.603916013701689,5.698385061171553,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,365569.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
486,0.07603219955560711,,BinaryNgDeviceOperation,1,70.384,0.569,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,366593.0,
