ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1645,0.031005437070240338,,InterleavedToShardedDeviceOperation,3,0.976,,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,257027.0,
1654,0.08135750444353024,,EmbeddingsDeviceOperation,3,1.056,1.505,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,266243.0,
1661,0.09320691840582497,,RotaryEmbeddingHfDeviceOperation,3,1.425,1.509,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,273411.0,
1664,0.32266621344511387,,SdpaDecodeDeviceOperation,3,7.602,2.555,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_HEIGHT_SHARDED,,,,276483.0,
1673,0.135045197731139,,MorehSumOperation,3,3.647,0.604,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,285699.0,
1675,0.06318628517695495,,InterleavedToShardedDeviceOperation,3,1.335,0.654,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,287747.0,
1676,0.2752050218642337,,LayerNormDeviceOperation,3,7.765,0.898,10,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_BLOCK_SHARDED,,,,288771.0,
1679,0.7549633319408419,SLOW,MatmulDeviceOperation 32 x 2880 x 32,3,23.091,0.674,1.0,24.12437746308085,4.711792473257979,0.255434584903209,18.477617542188153,HiFi4 FP32 x BF16 => FP32,FLOAT32,FLOAT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,291843.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • HiFi2 is sufficient for BFP8 multiplication and has 2x the throughput of HiFi4"
1693,0.1103933338310299,,TilizeWithValPaddingDeviceOperation,3,1.988,1.487,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,306179.0,
1696,0.1124900129771732,,TilizeWithValPaddingDeviceOperation,3,2.04,1.501,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,309251.0,
1697,0.1390479488283217,,UnaryDeviceOperation,3,3.854,0.523,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,310275.0,
1699,0.19927982248116563,,ReshapeViewDeviceOperation,3,5.719,0.554,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,312323.0,
1700,0.08844173852822654,,BinaryNgDeviceOperation,3,2.295,0.489,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,313347.0,
1701,0.14190705675488072,,UnaryDeviceOperation,3,3.992,0.475,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,314371.0,
1703,0.20528394912693965,,ReshapeViewDeviceOperation,3,5.913,0.549,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,316419.0,
1712,0.3150419256409564,,ReshapeViewDeviceOperation,3,9.372,0.545,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,325635.0,
1713,0.18358649675094152,,UnaryDeviceOperation,3,5.293,0.486,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,326659.0,
1718,0.18168042479990218,,BinaryNgDeviceOperation,3,5.19,0.529,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,331779.0,
1720,0.08583677352847274,,ReduceDeviceOperation,3,2.227,0.475,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,333827.0,
1722,0.13415569748732065,,ConcatDeviceOperation,3,3.693,0.53,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,335875.0,
1725,5.651344495502465,,InterleavedToShardedDeviceOperation,2,0.99,176.905,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,257026.0,
1727,0.06496528566459168,,ReshardDeviceOperation,2,0.759,1.286,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_BLOCK_SHARDED,,,,259074.0,
1732,0.08167518310203678,,EmbeddingsDeviceOperation,2,1.045,1.526,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,264194.0,
1733,0.15156448797348018,,TilizeWithValPaddingDeviceOperation,2,3.227,1.544,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,265218.0,
1738,0.08542379127241422,,TransposeDeviceOperation,2,2.157,0.532,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,270338.0,
1744,0.3236510172864842,,SdpaDecodeDeviceOperation,2,7.621,2.567,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_HEIGHT_SHARDED,,,,276482.0,
1745,0.06490174993289038,,InterleavedToShardedDeviceOperation,2,0.494,1.549,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,277506.0,
1748,0.0638851782256694,,ShardedToInterleavedDeviceOperation,2,1.509,0.502,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,280578.0,
1754,0.08901356011353835,,BinaryNgDeviceOperation,2,2.23,0.572,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,286722.0,
1762,0.23848136894087524,,PadDeviceOperation,2,6.89,0.617,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,294914.0,
1769,0.08682157736984308,,UntilizeWithUnpaddingDeviceOperation,2,1.241,1.492,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,302082.0,
1773,0.11042510169688056,,TilizeWithValPaddingDeviceOperation,2,1.975,1.501,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,306178.0,
1774,0.08669450590644046,,UntilizeWithUnpaddingDeviceOperation,2,1.235,1.494,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,307202.0,
1775,0.08018209340705595,,MeshPartitionDeviceOperation,2,0.996,1.528,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,308226.0,
1776,0.11204526285526402,,TilizeWithValPaddingDeviceOperation,2,2.038,1.489,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,309250.0,
1778,2.8494822632062986,DRAM,SparseMatmulDeviceOperation active=4/8 x 32 x 2880 x 2880,2,89.084,0.613,45.0,380.7067486866328,74.35678685285797,23.835552961250055,9.578974151736936,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,45,1,2,311298.0,Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1782,2.8557723006447286,DRAM,SparseMatmulDeviceOperation active=4/8 x 32 x 2880 x 2880,2,89.362,0.533,45.0,379.5223920682169,74.1254672008236,23.761401938184015,9.54917451862462,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,45,1,2,315394.0,Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
