Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
30.66,SparseMatmulDeviceOperation (in0:dram_interleaved),263.82,2,Compute,3.22,3.25,3.23,0.02,3.23
14.94,SparseMatmulDeviceOperation (in0:l1_interleaved),128.54,1,Compute,3.32,3.32,3.32,,3.32
8.44,MatmulDeviceOperation (in0:width_sharded),72.66,1,Compute,2.94,2.94,2.94,,2.94
6.78,MatmulDeviceOperation (in0:l1_interleaved),58.32,1,Compute,2.60,2.60,2.60,,2.60
5.47,TypecastDeviceOperation (in0:l1_interleaved),47.03,8,TM,,,,,
5.26,TransposeDeviceOperation (in0:l1_interleaved),45.23,5,TM,,,,,
5.23,LayerNormDeviceOperation (in0:dram_interleaved),45.01,1,Compute,,,,,
4.30,UnaryDeviceOperation (in0:l1_interleaved),36.96,7,Compute,,,,,
2.84,BinaryNgDeviceOperation (in0:l1_interleaved),24.40,8,Compute,,,,,
2.72,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),23.38,1,Other,,,,,
1.82,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),15.64,2,DM,,,,,
1.68,TopKDeviceOperation (in0:l1_interleaved),14.48,1,Other,,,,,
1.14,SdpaDecodeDeviceOperation (in0:height_sharded),9.77,1,Other,,,,,
1.01,FillPadDeviceOperation (in0:l1_interleaved),8.65,2,TM,,,,,
0.91,MatmulDeviceOperation (in0:height_sharded),7.87,1,Compute,54.23,54.23,54.23,,54.23
0.88,InterleavedToShardedDeviceOperation (in0:dram_interleaved),7.57,4,DM,,,,,
0.87,RotaryEmbeddingDeviceOperation (in0:height_sharded),7.52,2,Other,,,,,
0.84,LayerNormDeviceOperation (in0:block_sharded),7.25,1,Compute,,,,,
0.73,SoftmaxDeviceOperation (in0:l1_interleaved),6.27,1,Compute,,,,,
0.44,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),3.79,4,TM,,,,,
0.40,ShardedToInterleavedDeviceOperation (in0:width_sharded),3.48,3,DM,,,,,
0.28,TypecastDeviceOperation (in0:dram_interleaved),2.44,1,TM,,,,,
0.27,BinaryNgDeviceOperation (in0:dram_interleaved),2.33,1,Compute,,,,,
0.26,ReduceDeviceOperation (in0:l1_interleaved),2.20,1,Compute,,,,,
0.23,SliceDeviceOperation (in0:width_sharded),2.02,1,TM,,,,,
0.23,PadDeviceOperation (in0:l1_interleaved),1.96,1,TM,,,,,
0.21,ReshardDeviceOperation (in0:block_sharded),1.83,1,DM,,,,,
0.21,CopyDeviceOperation (in0:l1_interleaved),1.76,1,DM,,,,,
0.19,TilizeWithValPaddingDeviceOperation (in0:block_sharded),1.67,1,TM,,,,,
0.15,ScatterDeviceOperation (in0:l1_interleaved),1.32,1,Other,,,,,
0.15,BinaryNgDeviceOperation (in0:width_sharded),1.32,1,Compute,,,,,
0.15,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.31,1,TM,,,,,
0.10,SliceDeviceOperation (in0:l1_interleaved),0.82,2,TM,,,,,
0.09,TypecastDeviceOperation (in0:height_sharded),0.80,1,TM,,,,,
0.08,ShardedToInterleavedDeviceOperation (in0:block_sharded),0.68,2,DM,,,,,
0.04,ShardedToInterleavedDeviceOperation (in0:height_sharded),0.36,1,DM,,,,,
