Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
79.18,MatmulDeviceOperation (in0:dram_interleaved),4636.55,4,Compute,5.77,18.63,10.49,5.79,9.02
5.44,BinaryNgDeviceOperation (in0:dram_interleaved),318.35,9,Compute,,,,,
4.14,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),242.58,4,TM,,,,,
2.93,SliceDeviceOperation (in0:dram_interleaved),171.51,5,TM,,,,,
1.53,LayerNormDeviceOperation (in0:dram_interleaved),89.78,2,Compute,,,,,
1.28,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),74.95,6,TM,,,,,
1.23,MatmulDeviceOperation (in0:width_sharded),71.79,1,Compute,5.94,5.94,5.94,,5.94
1.13,UnaryDeviceOperation (in0:dram_interleaved),66.36,3,Compute,,,,,
0.73,FillPadDeviceOperation (in0:dram_interleaved),42.46,3,TM,,,,,
0.72,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),42.43,1,Other,,,,,
0.27,FastReduceNCDeviceOperation (in0:dram_interleaved),15.63,1,Other,,,,,
0.26,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),15.42,2,DM,,,,,
0.26,TopKDeviceOperation (in0:dram_interleaved),14.95,1,Other,,,,,
0.23,SdpaDecodeDeviceOperation (in0:height_sharded),13.63,1,Other,,,,,
0.13,RotaryEmbeddingDeviceOperation (in0:height_sharded),7.44,2,Other,,,,,
0.12,PadDeviceOperation (in0:dram_interleaved),6.98,1,TM,,,,,
0.11,SoftmaxDeviceOperation (in0:dram_interleaved),6.51,1,Compute,,,,,
0.07,RepeatDeviceOperation (in0:dram_interleaved),4.17,1,Other,,,,,
0.06,TypecastDeviceOperation (in0:dram_interleaved),3.54,2,TM,,,,,
0.05,ReshapeViewDeviceOperation (in0:dram_interleaved),2.71,1,Other,,,,,
0.04,ScatterDeviceOperation (in0:dram_interleaved),2.11,1,Other,,,,,
0.03,SliceDeviceOperation (in0:width_sharded),2.02,1,TM,,,,,
0.03,TransposeDeviceOperation (in0:dram_interleaved),2.01,1,TM,,,,,
0.02,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.32,1,TM,,,,,
0.01,InterleavedToShardedDeviceOperation (in0:dram_interleaved),0.59,1,DM,,,,,
