Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
67.73,SparseMatmulDeviceOperation (in0:dram_interleaved),2379.46,3,Compute,8.58,8.62,8.61,0.03,8.61
9.12,BinaryNgDeviceOperation (in0:dram_interleaved),320.46,10,Compute,,,,,
5.30,MatmulDeviceOperation (in0:dram_interleaved),186.10,3,Compute,3.41,18.51,9.23,8.12,6.22
4.52,UnaryDeviceOperation (in0:dram_interleaved),158.69,6,Compute,,,,,
2.55,LayerNormDeviceOperation (in0:dram_interleaved),89.71,2,Compute,,,,,
2.04,TransposeDeviceOperation (in0:dram_interleaved),71.73,4,TM,,,,,
1.93,PermuteDeviceOperation (in0:dram_interleaved),67.91,2,TM,,,,,
1.85,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),65.13,1,TM,,,,,
1.49,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),52.33,1,TM,,,,,
0.46,FillPadDeviceOperation (in0:dram_interleaved),16.28,4,TM,,,,,
0.46,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),16.20,3,TM,,,,,
0.45,FastReduceNCDeviceOperation (in0:dram_interleaved),15.74,1,Other,,,,,
0.42,TopKDeviceOperation (in0:dram_interleaved),14.80,1,Other,,,,,
0.41,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),14.57,2,Other,,,,,
0.28,SDPAOperation (in0:dram_interleaved),9.73,1,Compute,,,,,
0.17,SliceDeviceOperation (in0:dram_interleaved),5.93,5,TM,,,,,
0.17,PadDeviceOperation (in0:dram_interleaved),5.88,1,TM,,,,,
0.16,TypecastDeviceOperation (in0:dram_interleaved),5.67,4,TM,,,,,
0.16,SoftmaxDeviceOperation (in0:dram_interleaved),5.45,1,Compute,,,,,
0.14,ReshapeViewDeviceOperation (in0:dram_interleaved),4.76,1,Other,,,,,
0.07,UpdateKVCacheOperation (in0:dram_interleaved),2.45,2,Other,,,,,
0.06,ScatterDeviceOperation (in0:dram_interleaved),2.24,1,Other,,,,,
0.06,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),1.94,1,TM,,,,,
