ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
198,0.09189352060791842,,LayerNormDeviceOperation,0,46.413,,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,100352.0,
199,0.22480877765768426,SLOW,MatmulDeviceOperation 128 x 2880 x 2560,1,73.296,40.249,80.0,220.1790002182929,43.00371098013534,25.750884086444003,23.284581241359234,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,4,1,101377.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • HiFi2 may also work, it discards the lowest bit of the activations and has 2x the throughput of HiFi4"
202,0.06844347734244999,,NlpCreateHeadsDeviceOperation,0,33.861,0.708,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,102400.0,
203,0.004363719635012867,,SliceDeviceOperation,1,1.599,0.605,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,103425.0,
205,0.014712704449991204,,SliceDeviceOperation,1,0.849,6.582,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,104449.0,
208,0.11288649669232924,,RotaryEmbeddingDeviceOperation,0,13.284,43.732,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,105472.0,
210,0.024568691901485782,,RotaryEmbeddingDeviceOperation,0,4.433,7.976,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,106496.0,
211,0.052299298620174635,,PagedFillCacheDeviceOperation,1,1.121,25.294,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,107521.0,
214,0.027984035082246766,,PagedFillCacheDeviceOperation,0,1.102,13.032,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,108544.0,
216,0.13370326086770368,,SDPAOperation,0,27.22,40.31,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,109568.0,
218,0.0558235368009019,,NLPConcatHeadsDeviceOperation,0,27.539,0.656,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,110592.0,
220,0.13058688395957743,SLOW,MatmulDeviceOperation 128 x 2048 x 2880,0,57.768,8.188,90.0,226.04293034205787,44.14900983243318,26.138163689239715,21.008683520800954,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,4,1,111616.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • HiFi2 may also work, it discards the lowest bit of the activations and has 2x the throughput of HiFi4"
221,0.06833953211520946,,ReduceScatterDeviceOperation,0,27.1995,7.317,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,112640.0,
223,0.1138220037374942,,AllGatherDeviceOperation,0,26.6945,30.794,9,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,113664.0,
226,0.11740068941820461,,BinaryNgDeviceOperation,0,7.0,52.296,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,114688.0,
228,0.16136061095005158,,LayerNormDeviceOperation,0,46.019,35.48,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,115712.0,
229,0.014976032359000604,,TypecastDeviceOperation,1,7.0,0.564,110,,,,,BF16 => FP32,FLOAT32,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,116737.0,
