ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice,Raw OP Code
2348,0.08842568816550696,,NLPCreateQKVHeadsDecodeDeviceOperation,3,8.173,,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,545795.0,,NLPCreateQKVHeadsDecodeDeviceOperation
2353,0.06551052757153367,,LayerNormDeviceOperation,3,5.502,0.553,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,550915.0,,LayerNormDeviceOperation
2365,0.13829158768279823,,UntilizeWithUnpaddingDeviceOperation,3,4.961,7.821,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,563203.0,,UntilizeWithUnpaddingDeviceOperation
2366,0.13916794651571224,,UntilizeWithUnpaddingDeviceOperation,3,5.055,7.808,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,564227.0,,UntilizeWithUnpaddingDeviceOperation
2367,0.06527250418481628,,ConcatDeviceOperation,3,5.327,0.706,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,565251.0,,ConcatDeviceOperation
2373,0.07451213928739099,,TilizeWithValPaddingDeviceOperation,3,6.229,0.658,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,571395.0,,TilizeWithValPaddingDeviceOperation
2374,0.12600092553230077,,UntilizeWithUnpaddingDeviceOperation,3,4.995,6.651,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,572419.0,,UntilizeWithUnpaddingDeviceOperation
2382,0.25631872976006675,SLOW,MatmulDeviceOperation 32 x 2048 x 5120,3,23.11,0.581,12,226.86629164863695,44.3098225876244,29.038885331025526,43.76278774086361,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,8,,,580611.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy,MatmulDeviceOperation
2385,0.022201090433821156,,BinaryNgDeviceOperation,3,1.515,0.537,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,583683.0,,BinaryNgDeviceOperation
2389,1.2827404887545175,SLOW,MatmulDeviceOperation 32 x 5120 x 12800,3,118.045,0.516,12,277.58905502139015,54.216612308865265,35.53139904273794,53.54727141616322,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,8,,,587779.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy,MatmulDeviceOperation
