ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice,Raw OP Code
954,0.9000982553319185,,ReshapeViewDeviceOperation,0,43.523,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,243712.0,,ReshapeViewDeviceOperation
955,10.652818889840903,,AllGatherAsyncDeviceOperation,0,83.04425,432.058,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,244736.0,,AllGatherAsyncDeviceOperation
960,1.5655708022627475,,LayerNormDeviceOperation,2,75.218,0.483,17,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,245762.0,,LayerNormDeviceOperation
963,1.5320055731102602,SLOW,MatmulDeviceOperation 544 x 5120 x 2560,3,73.517,0.561,90.0,202.80261708176337,39.60988614878191,193.9773603384251,38.97757529948421,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_0_DRAM_INTERLEAVED,10,1,4,246787.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=10 and output subblock 1x4 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy,MatmulDeviceOperation
970,1.9587575777692712,,ReshapeViewDeviceOperation,0,94.174,0.539,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,247808.0,,ReshapeViewDeviceOperation
972,0.8028976533499772,,NlpCreateHeadsDeviceOperation,2,38.227,0.596,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,248834.0,,NlpCreateHeadsDeviceOperation
978,0.5710018341960403,,LayerNormDeviceOperation,0,27.133,0.477,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,249856.0,,LayerNormDeviceOperation
982,0.13707352977368184,,LayerNormDeviceOperation,0,6.109,0.519,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,250880.0,,LayerNormDeviceOperation
985,0.042933712705214774,,SliceDeviceOperation,1,1.335,0.741,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,251905.0,,SliceDeviceOperation
989,0.04723535636739428,,SliceDeviceOperation,1,1.413,0.871,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,252929.0,,SliceDeviceOperation
992,1.953008265566935,,RotaryEmbeddingDeviceOperation,2,84.693,9.742,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,253954.0,,RotaryEmbeddingDeviceOperation
996,0.3831358196420081,,RotaryEmbeddingDeviceOperation,2,18.05,0.476,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,254978.0,,RotaryEmbeddingDeviceOperation
999,0.481432513518639,,SliceDeviceOperation,3,22.803,0.476,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,256003.0,,SliceDeviceOperation
1006,0.07776048158555277,,SliceDeviceOperation,0,3.182,0.578,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,257024.0,,SliceDeviceOperation
1009,0.045167258452884905,,SliceDeviceOperation,1,1.34,0.844,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,258049.0,,SliceDeviceOperation
1014,0.20639617186803635,,CloneOperation,0,1.067,8.913,8,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,259072.0,,CloneOperation
1017,0.5888908811565465,,UpdateKVCacheOperation,1,2.061,26.414,2,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,260097.0,,UpdateKVCacheOperation
1019,0.5423793590592305,,SliceDeviceOperation,3,0.866,25.36,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,261123.0,,SliceDeviceOperation
1024,0.34454511255726306,,CloneOperation,2,1.051,15.609,8,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,262146.0,,CloneOperation
1027,0.1918160815707452,,UpdateKVCacheOperation,3,1.979,7.296,2,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,263171.0,,UpdateKVCacheOperation
1032,1.0001528324358822,,SliceDeviceOperation,2,0.879,47.482,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,264194.0,,SliceDeviceOperation
1038,0.32589086936838846,,CloneOperation,0,1.07,14.688,8,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,265216.0,,CloneOperation
1039,0.2003986879159591,,UpdateKVCacheOperation,3,2.01,7.68,2,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,266243.0,,UpdateKVCacheOperation
1045,0.37056178432179104,,SliceDeviceOperation,1,0.86,17.058,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,267265.0,,SliceDeviceOperation
1048,0.38681703392983485,,CloneOperation,2,0.973,17.731,8,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,268290.0,,CloneOperation
1052,0.1884450819700949,,UpdateKVCacheOperation,2,2.059,7.053,2,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,269314.0,,UpdateKVCacheOperation
1055,0.3596215463540364,,SliceDeviceOperation,3,0.889,16.5,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,270339.0,,SliceDeviceOperation
1059,0.3190041033130722,,CloneOperation,3,1.009,14.416,8,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,271363.0,,CloneOperation
1063,0.16979083878122028,,UpdateKVCacheOperation,3,2.109,6.101,2,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,272387.0,,UpdateKVCacheOperation
1067,0.40154189108114163,,SliceDeviceOperation,3,0.882,18.534,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,273411.0,,SliceDeviceOperation
1073,0.3039897124537341,,CloneOperation,1,1.01,13.689,8,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,274433.0,,CloneOperation
1075,0.18832099609522435,,UpdateKVCacheOperation,3,2.067,7.039,2,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,275459.0,,UpdateKVCacheOperation
1082,0.37087199900896756,,SliceDeviceOperation,0,0.856,17.077,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,276480.0,,SliceDeviceOperation
1086,0.27178942792482297,,CloneOperation,0,1.039,12.103,8,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,277504.0,,CloneOperation
1087,0.16449650812007627,,UpdateKVCacheOperation,3,1.996,5.958,2,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,278531.0,,UpdateKVCacheOperation
1092,0.3439040022037651,,SliceDeviceOperation,2,0.926,15.703,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,279554.0,,SliceDeviceOperation
1097,0.2825642180594169,,CloneOperation,1,1.006,12.657,8,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,280577.0,,CloneOperation
1100,0.18633562209729532,,UpdateKVCacheOperation,2,1.994,7.016,2,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,281602.0,,UpdateKVCacheOperation
1103,0.3199554283537465,,SliceDeviceOperation,3,0.894,14.577,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,282627.0,,SliceDeviceOperation
