ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1020,9.455353075170844,SLOW,MatmulDeviceOperation 32 x 2560 x 1536,1,41.509,,48.0,53.680503023440686,10.48447324676576,6.062739165000361,2.2841989644369844,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_1_DRAM_INTERLEAVED,2,1,1,336897.0,"If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy"
1030,0.48564920273348516,,InterleavedToShardedDeviceOperation,1,0.589,1.543,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,347137.0,
1033,1.3414578587699317,,LayerNormDeviceOperation,1,5.276,0.613,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,350209.0,
1040,1.225968109339408,,PagedUpdateCacheDeviceOperation,1,3.85,1.532,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,357377.0,
1041,1.1820045558086563,,PagedUpdateCacheDeviceOperation,1,3.707,1.482,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,358401.0,
1045,0.47220956719817775,,SliceDeviceOperation,1,1.47,0.603,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_WIDTH_SHARDED,,,,362497.0,
1049,0.6763097949886105,,BinaryNgDeviceOperation,1,2.383,0.586,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,366593.0,
1063,1.5177676537585423,,ReshapeViewDeviceOperation,3,5.546,1.117,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,340995.0,
1065,1.337585421412301,,LayerNormDeviceOperation,3,5.315,0.557,8,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,343043.0,
1068,0.5211845102505694,,SliceDeviceOperation,3,1.66,0.628,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,346115.0,
1071,0.6444191343963555,,TransposeDeviceOperation,3,2.315,0.514,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,349187.0,
1074,1.0940774487471527,,TransposeDeviceOperation,3,4.273,0.53,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,352259.0,
1078,0.4694760820045558,,InterleavedToShardedDeviceOperation,3,0.553,1.508,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,356355.0,
